,id_recipe,name,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Stand Time:,Cool Time:,Chill Time:,Soak Time:,Yield:,Additional Time:
30,6649873,Easy Garlic Kale,7 mins,15 mins,4 ,4,87,4g,1g,,48mg,11g,2g,,4g,135mg,153mg,2mg,504mg,4.4,100,8 mins,,,,,,
31,6663460,Easy Sweet Potato Casserole,10 mins, 1 hr,10 ,10,385,1g,1g,3mg,168mg,91g,9g,,4g,7mg,105mg,2mg,939mg,4.5,61,50 mins,,,,,,
32,6737944,Fresh Raspberry Sauce,5 mins,55 mins,12 ,12,44,0g,,,,11g,4g,7g,1g,15mg,13mg,0mg,88mg,4.8,84,5 mins,,,,,3 cups,45 mins
33,6648532,Laura's Quick Slow Cooker Turkey Chili,15 mins, 4 hrs 15 mins,8 ,8,276,8g,2g,42mg,547mg,33g,11g,1g,21g,24mg,78mg,4mg,428mg,4.7,"1,654", 4 hrs,,,,,,
34,6664101,Green Salad,15 mins,30 mins,8 ,8,47,2g,0g,3mg,163mg,5g,2g,2g,3g,22mg,45mg,1mg,303mg,4.7,18,15 mins,,,,,,
35,6651088,Baked Sweet Potatoes,5 mins, 1 hr 5 mins,4 ,4,181,7g,1g,0mg,115mg,28g,4g,9g,3g,26mg,52mg,1mg,643mg,4.6,705, 1 hr,,,,,,
36,6650991,Italian Seasoning,5 mins,5 mins,10 ,10,14,0g,0g,0mg,3mg,3g,2g,0g,1g,2mg,73mg,3mg,84mg,4.8,80,,,,,,10 tablespoons,
37,6650922,Fruit and Yogurt Smoothie,5 mins,5 mins,2 ,2,146,1g,1g,4mg,45mg,31g,3g,22g,5g,56mg,132mg,1mg,519mg,4.7,99,,,,,,,
38,6651175,Strawberry Oatmeal Breakfast Smoothie,5 mins,5 mins,2 ,2,142,4g,1g,,63mg,21g,3g,,7g,,41mg,2mg,217mg,4.4,"1,230",,,,,,,
39,6664127,Brazilian Grilled Pineapple,10 mins,20 mins,6 ,6,255,0g,,,13mg,66g,4g,58g,1g,109mg,68mg,1mg,300mg,4.9,94,10 mins,,,,,6 wedges,
40,6738656,German Potato Pancakes,20 mins,45 mins,6 ,6,283,11g,2g,62mg,246mg,41g,5g,2g,7g,43mg,47mg,2mg,943mg,4.6,889,25 mins,,,,,,
41,6648403,Easy Pizza Sauce,5 mins,5 mins,24 ,24,11,0g,,,148mg,3g,1g,2g,1g,3mg,8mg,1mg,138mg,4.5,"1,091",,,,,,2 3/4 cups,
