,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6584971,Phenomenal Pork Tacos,30 mins,10 mins,40 mins,6 ,6 tacos,6,392,17g,6g,35mg,660mg,45g,4g,5g,15g,25mg,127mg,3mg,394mg,4.8,13,
1,6584393,Shrimp Tacos with Cilantro-Lime Crema,45 mins,30 mins, 1 hr 15 mins,20 ,20 tacos,20,147,6g,1g,70mg,163mg,15g,4g,1g,10g,7mg,47mg,2mg,248mg,4.9,45,
2,6827018,Barbacoa Tacos,45 mins, 2 hrs, 2 hrs 45 mins,6 ,,6,771,56g,19g,161mg,1146mg,25g,8g,,43g,,,,1124mg,,,
3,6598317,Traditional Mexican Street Tacos,10 mins,0 mins,10 mins,2 ,6 tacos,2,697,30g,7g,158mg,177mg,44g,10g,2g,64g,18mg,111mg,4mg,1140mg,4.4,9,
4,6649262,Birria de Pollo (Chicken Birria) Tacos,,,,6 ,12 tacos,6,255,11g,1g,70mg,1676mg,8g,1g,,28g,,,,350mg,,,
5,6737168,Ground Turkey Taco Meat,10 mins,20 mins,30 mins,3 ,,3,201,10g,3g,89mg,799mg,6g,2g,,21g,4mg,50mg,3mg,403mg,4.7,206,
6,6738970,Sarah's Easy Shredded Chicken Taco Filling,15 mins,15 mins,30 mins,4 ,,4,213,6g,1g,96mg,158mg,1g,0g,1g,35g,1mg,20mg,1mg,343mg,4.4,128,
7,6736676,Authentic Tacos al Pastor,30 mins,30 mins, 5 hrs,10 ,,10,204,6g,2g,44mg,748mg,23g,3g,16g,17g,84mg,45mg,1mg,512mg,4.5,4, 4 hrs
8,6665001,Fish Tacos,40 mins,20 mins, 1 hr,8 ,,8,409,19g,3g,54mg,407mg,43g,5g,5g,17g,25mg,145mg,2mg,511mg,4.7,"2,866",
9,6648384,Easy Chorizo Street Tacos,10 mins,10 mins,20 mins,2 ,2 tacos,2,262,13g,5g,26mg,466mg,26g,4g,1g,10g,2mg,49mg,1mg,246mg,4.6,40,
10,6604031,Navajo Fry Bread,15 mins,25 mins,40 mins,18 ,18 rounds,18,335,25g,4g,3mg,831mg,23g,1g,,4g,0mg,137mg,2mg,81mg,3.4,108,
11,6822295,Ground Pork Tacos with Pineapple Salsa,30 mins,10 mins,40 mins,8 ,8 tacos,8,166,12g,5g,41mg,47mg,4g,1g,,10g,,,,208mg,5.0,1,
12,6598350,Low-Carb Keto Cheese Taco Shells,10 mins,10 mins,30 mins,4 ,4 taco shells,4,228,19g,12g,59mg,351mg,1g,,0g,14g,,407mg,0mg,55mg,4.9,19,10 mins
13,6594289,Arrachera (Mexican Skirt Steak for Tacos),10 mins,15 mins, 1 hr 25 mins,6 ,,6,174,6g,3g,34mg,414mg,6g,1g,1g,19g,8mg,29mg,2mg,288mg,4.8,11, 1 hr
14,6664888,Birria de Res Tacos (Beef Birria Tacos),20 mins, 3 hrs 45 mins, 4 hrs 15 mins,18 ,18 tacos,18,268,21g,8g,73mg,70mg,1g,0g,,17g,2mg,19mg,2mg,305mg,4.8,27,10 mins
15,6650908,Taqueria-Style Tacos - Carne Asada,30 mins,30 mins, 2 hrs,16 ,,16,369,20g,7g,44mg,840mg,32g,5g,2g,18g,12mg,182mg,3mg,391mg,4.7,"1,264", 1 hr
16,6649548,Mexican Breakfast Tacos,5 mins,10 mins,15 mins,4 ,,4,537,34g,14g,343mg,1298mg,28g,4g,3g,31g,1mg,324mg,3mg,512mg,4.5,287,
17,6649619,Taco in a Bag,10 mins,20 mins,30 mins,4 ,4 taco bags,4,902,61g,23g,134mg,1390mg,54g,5g,4g,35g,5mg,420mg,4mg,642mg,4.7,209,
18,6604812,Air Fryer Oven Taco Shells,5 mins,5 mins,10 mins,4 ,4 taco shells,4,41,1g,0g,,8mg,8g,1g,0g,1g,,15mg,0mg,35mg,5.0,1,
