,id_recipe,name,Prep Time:,Bake Time:,Chill Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Vitamin C,Additional Time:
0,6664789,The Best Rolled Sugar Cookies,20 mins,6 mins, 1 hr, 1 hr 26 mins,60 ,60 cookies,60,110,5g,3g,25mg,93mg,15g,0g,7g,2g,14mg,1mg,17mg,4.5,"11,117",,,
1,6649411,Sarah's Homemade Applesauce,10 mins,,,25 mins,4 ,,4,121,0g,,,3mg,32g,4g,27g,0g,13mg,0mg,150mg,4.8,"3,300",15 mins,6mg,
2,6649259,Potato Pancakes,10 mins,,,25 mins,6 ,,6,283,8g,1g,31mg,415mg,47g,6g,3g,7g,39mg,2mg,1077mg,4.6,290,15 mins,50mg,
3,6649241,Old-Fashioned Apple Dumplings,30 mins,,, 1 hr 30 mins,6 ,6 dumplings,6,899,35g,15g,41mg,434mg,148g,7g,115g,5g,52mg,2mg,319mg,4.8,405, 1 hr,11mg,
4,6648875,Rosemary Braised Lamb Shanks,20 mins,,, 3 hrs 25 mins,6 ,,6,481,22g,8g,93mg,759mg,18g,3g,7g,30g,99mg,5mg,1020mg,4.7,512, 3 hrs 5 mins,19mg,
5,6664120,Crispy and Creamy Doughnuts,10 mins,,, 2 hrs 40 mins,18 ,18 doughnuts,18,331,13g,4g,31mg,171mg,47g,1g,20g,5g,34mg,2mg,93mg,4.7,"1,356",30 mins,, 2 hrs
6,6665002,Acorn Squash,5 mins,,, 1 hr 5 mins,2 ,,2,189,6g,4g,15mg,51mg,36g,3g,18g,2g,84mg,2mg,768mg,4.6,"1,000", 1 hr,24mg,
7,6650768,Beignets,30 mins,,, 3 hrs,10 ,,10,543,18g,4g,45mg,277mg,83g,3g,16g,12g,86mg,4mg,202mg,4.7,321,30 mins,1mg, 2 hrs
8,6737419,"Sweet, Salty, Spicy Party Nuts",10 mins,,,30 mins,16 ,4 cups,16,219,18g,2g,2mg,206mg,13g,2g,8g,5g,38mg,1mg,171mg,4.8,432,20 mins,0mg,
9,6738656,German Potato Pancakes,20 mins,,,45 mins,6 ,,6,283,11g,2g,62mg,246mg,41g,5g,2g,7g,47mg,2mg,943mg,4.6,889,25 mins,43mg,
