,id_recipe,Prep Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Cholesterol,Cook Time:
34,6582627,20 mins, 1 hr,14 ,1 - 10x15 inch pan,14,390,18g,9g,401mg,57g,2g,38g,4g,8mg,82mg,1mg,191mg,4.8,120,,18mg,40 mins
35,6569269,5 mins, 4 hrs 5 mins,9 ,9 servings,9,274,3g,1g,728mg,30g,1g,23g,29g,5mg,20mg,1mg,308mg,4.2,123,,78mg, 4 hrs
36,6602110,10 mins,15 mins,4 ,4 pancakes,4,236,4g,2g,165mg,50g,9g,1g,5g,51mg,139mg,2mg,922mg,4.3,3,,84mg,5 mins
37,6585670,10 mins, 2 hrs 25 mins,12 ,,12,465,30g,5g,232mg,41g,2g,3g,8g,0mg,27mg,2mg,151mg,4.0,3, 2 hrs,15mg,15 mins
38,6583074,15 mins,25 mins,6 ,6 servings,6,381,30g,5g,528mg,1g,0g,0g,25g,3mg,50mg,4mg,223mg,4.7,63,,244mg,10 mins
39,6737932,15 mins,30 mins,4 ,4 servings,4,294,20g,9g,923mg,10g,1g,0g,20g,8mg,68mg,4mg,274mg,4.7,32,,203mg,15 mins
40,6575606,30 mins, 8 hrs 50 mins,20 ,,20,387,28g,4g,346mg,30g,4g,3g,6g,28mg,34mg,2mg,632mg,4.7,44, 8 hrs,59mg,20 mins
41,6591319,20 mins,25 mins,8 ,,8,512,23g,10g,789mg,53g,4g,8g,23g,28mg,177mg,4mg,380mg,4.4,24,,49mg,5 mins
42,6663834,10 mins,10 mins,6 ,,6,416,29g,9g,555mg,19g,2g,15g,22g,9mg,88mg,2mg,365mg,4.4,133,,80mg,
43,6571346,15 mins, 1 hr 15 mins,8 ,1 9-inch pie,8,519,30g,14g,176mg,60g,2g,45g,8g,10mg,170mg,1mg,364mg,4.5,46, 1 hr,17mg,
44,6576962,,,20 ,20 servings,20,615,28g,7g,1112mg,72g,5g,2g,19g,6mg,44mg,6mg,427mg,4.3,44,,48mg,
45,6590087,15 mins, 2 hrs 15 mins,6 ,,6,474,30g,11g,662mg,20g,0g,17g,30g,7mg,62mg,2mg,456mg,4.2,82, 2 hrs,120mg,
46,6579618,20 mins, 1 hr 20 mins,4 ,,4,203,6g,1g,78mg,3g,1g,1g,34g,5mg,40mg,1mg,718mg,4.9,21, 1 hr,64mg,
47,6593185,15 mins, 1 hr 40 mins,10 ,10 servings,10,378,17g,6g,887mg,43g,1g,11g,12g,1mg,16mg,2mg,56mg,5.0,2, 1 hr,52mg,25 mins
48,6589896,20 mins,20 mins,4 ,1 pound,4,191,6g,1g,1026mg,4g,1g,2g,28g,30mg,32mg,5mg,621mg,5.0,5,,51mg,
49,6739503,15 mins, 1 hr 20 mins,6 ,12 skewers,6,404,30g,5g,954mg,7g,0g,5g,25g,4mg,58mg,4mg,241mg,4.7,31, 1 hr,244mg,5 mins
50,6603581,30 mins,50 mins,30 ,,30,168,9g,4g,349mg,18g,1g,1g,5g,1mg,28mg,1mg,64mg,4.7,97,,21mg,20 mins
51,6589616,30 mins, 2 hrs 20 mins,16 ,,16,300,16g,6g,955mg,16g,2g,5g,20g,13mg,37mg,3mg,617mg,4.2,6,,63mg, 1 hr 50 mins
52,6585023,,,12 ,1 9x13-inch cake,12,297,9g,2g,131mg,52g,2g,34g,5g,5mg,24mg,2mg,151mg,4.4,84,,31mg,
53,6568817,20 mins,20 mins,6 ,6 servings,6,136,6g,1g,841mg,10g,2g,4g,14g,32mg,275mg,5mg,457mg,,,,6mg,
54,6597911,15 mins, 1 hr,8 ,,8,224,3g,1g,56mg,31g,2g,28g,19g,60mg,33mg,1mg,485mg,4.5,24,,49mg,45 mins
55,6595733,15 mins,45 mins,4 ,,4,602,24g,8g,629mg,61g,2g,3g,32g,3mg,66mg,6mg,541mg,4.5,12,,259mg,30 mins
56,6576622,10 mins, 1 hr 45 mins,8 ,8 servings,8,152,0g,,10mg,39g,3g,23g,1g,87mg,37mg,1mg,277mg,4.1,18, 1 hr 35 mins,,
57,6588277,20 mins, 1 hr 35 mins,6 ,6 sandwiches,6,554,19g,8g,1400mg,53g,2g,29g,38g,11mg,292mg,2mg,330mg,4.5,89, 1 hr,92mg,15 mins
58,6581543,5 mins, 2 hrs 15 mins,24 ,24 pieces,24,52,4g,4g,15mg,4g,0g,2g,0g,0mg,4mg,1mg,42mg,3.7,29, 2 hrs,,10 mins
