,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Marinate Time:,Additional Time:
0,6778805,Southwestern Breakfast Burrito,5 mins,5 mins,10 mins,2 ,2 breakfast burritos,2,388,30g,14g,430mg,595mg,13g,8g,1g,25g,0mg,274mg,2mg,215mg,4.0,2,,
1,6784720,Minute Breakfast Burrito,5 mins,,5 mins,1 ,1 serving,1,465,23g,9g,392mg,1148mg,41g,3g,4g,25g,1mg,303mg,4mg,342mg,4.7,3,,
2,6648394,Fabulous Wet Burritos,15 mins,30 mins,45 mins,6 ,,6,916,42g,20g,123mg,2285mg,92g,10g,10g,44g,57mg,521mg,9mg,1032mg,4.5,"1,335",,
3,6739809,Delicious Black Bean Burritos,10 mins,15 mins,25 mins,2 ,,2,692,36g,13g,47mg,1803mg,70g,15g,4g,21g,42mg,204mg,8mg,296mg,4.5,"2,255",,
4,7561794,Steak Burrito,10 mins,,10 mins,1 ,,1,2456,83g,29g,161mg,2931mg,321g,22g,2g,101g,2mg,458mg,23mg,1476mg,5.0,1,,
5,6591608,Easy Mexican Pork Burritos,30 mins, 2 hrs 45 mins, 3 hrs 15 mins,10 ,20 burritos,10,832,39g,14g,114mg,1747mg,71g,6g,,44g,16mg,367mg,7mg,884mg,4.8,56,,
6,7108700,Chicken Fajita Burrito,15 mins,25 mins, 2 hrs 40 mins,4 ,,4,792,29g,10g,72mg,1318mg,95g,9g,,37g,,,,771mg,5.0,3, 2 hrs,
7,6604670,Chorizo Breakfast Burritos,15 mins,15 mins,30 mins,4 ,4 burritos,4,822,54g,21g,243mg,1760mg,43g,3g,4g,40g,29mg,346mg,5mg,616mg,4.3,114,,
8,6739118,Sweet Potato Burritos,15 mins,25 mins,40 mins,12 ,12 burritos,12,505,9g,4g,20mg,1029mg,77g,13g,5g,20g,15mg,307mg,5mg,503mg,4.3,"2,789",,
9,6648343,Black Bean and Rice Burritos,10 mins,20 mins,35 mins,8 ,8 burritos,8,428,10g,4g,8mg,895mg,73g,8g,3g,12g,6mg,147mg,6mg,481mg,4.3,41,,5 mins
10,6663324,Southwest Breakfast Burritos,50 mins,15 mins, 1 hr 5 mins,20 ,20 burritos,20,296,19g,7g,140mg,707mg,19g,1g,2g,12g,2mg,137mg,2mg,192mg,4.6,98,,
11,6649217,Spicy Beef Burritos,30 mins,20 mins,50 mins,6 ,6 servings,6,723,39g,19g,108mg,2043mg,60g,9g,7g,34g,70mg,459mg,6mg,855mg,4.9,33,,
12,6739706,Burrito Pie,30 mins,30 mins, 1 hr,16 ,16 servings,16,432,24g,10g,68mg,847mg,33g,5g,1g,20g,8mg,159mg,4mg,388mg,4.6,"4,114",,
13,6601563,Roast Beef Burritos,20 mins,30 mins,50 mins,6 ,6 servings,6,405,19g,9g,54mg,1267mg,38g,4g,6g,22g,29mg,295mg,3mg,573mg,4.6,115,,
14,6663572,New Mexico Green Chile Breakfast Burritos,10 mins,30 mins,40 mins,6 ,6 burritos,6,873,50g,17g,492mg,1291mg,66g,6g,5g,40g,37mg,454mg,6mg,1086mg,4.6,50,,
15,6649179,Vegan Bean Taco Filling,15 mins,15 mins,30 mins,8 ,8 servings,8,142,3g,0g,,596mg,24g,9g,2g,8g,17mg,63mg,3mg,503mg,4.6,434,,
16,6737679,Gary's Turkey Burritos,5 mins,20 mins,25 mins,6 ,6 burritos,6,571,8g,2g,76mg,1549mg,78g,8g,14g,34g,1mg,347mg,5mg,385mg,4.4,225,,
17,6582853,Fiesta Chicken Burritos,10 mins,30 mins,40 mins,4 ,4 burritos,4,711,37g,18g,147mg,1320mg,50g,4g,4g,46g,21mg,141mg,4mg,443mg,4.8,26,,
18,6570144,Smothered Burritos,15 mins,40 mins,55 mins,4 ,,4,1136,63g,31g,159mg,2692mg,91g,11g,5g,51g,14mg,290mg,9mg,944mg,4.6,43,,
19,6738513,Salsa Chicken Burrito Filling,5 mins,30 mins,35 mins,4 ,4 servings,4,107,2g,0g,30mg,923mg,10g,1g,3g,12g,3mg,23mg,1mg,243mg,4.5,903,,
20,6591734,Sausage and Pepper Sunrise Burrito,15 mins,10 mins,25 mins,4 ,4 burritos,4,341,20g,9g,235mg,582mg,30g,3g,2g,20g,25mg,47mg,2mg,285mg,4.4,16,,
