,id_recipe,name,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Saturated Fat,Cholesterol,Yield:,Cook Time:,Cool Time:,Stand Time:,Freeze Time:,Additional Time:
43,6648298,Blue Hawaiian Cocktail,5 mins,5 mins,1 ,1,369,7g,31mg,49g,1g,43g,0g,20mg,20mg,0mg,128mg,4.6,55,5g,,1 cocktail,,,,,
44,6650671,Mai Tai,5 mins,5 mins,1 ,,,,,,,,,,,,,4.7,124,,,,,,,,
45,6663369,Cosmopolitan Cocktail,5 mins,5 mins,1 ,1,131,,1mg,6g,0g,4g,0g,7mg,3mg,0mg,17mg,4.7,29,,,1 cocktail,,,,,
46,6648215,The Perfect Margarita,10 mins,10 mins,1 ,1,321,0g,331mg,30g,2g,20g,1g,31mg,34mg,4mg,125mg,4.7,43,,,1 margarita,,,,,
47,6650358,Classic Bloody Mary,2 mins,2 mins,1 ,1,141,0g,510mg,9g,2g,,2g,,,,449mg,4.4,59,,,,,,,,
48,6648443,Ultimate Frozen Strawberry Margarita,5 mins,5 mins,4 ,,,,,,,,,,,,,4.8,408,,,,,,,,
49,6649462,Dirty Martini,5 mins,5 mins,2 ,2,207,1g,269mg,0g,0g,,0g,,,,10mg,4.6,91,0g,,,,,,,
50,6663228,Jamaican Rum Punch,10 mins,10 mins,8 ,8,254,1g,10mg,30g,2g,20g,2g,73mg,50mg,1mg,350mg,4.8,25,0g,5mg,7 cups,,,,,
51,6650193,Hot Toddy,5 mins,10 mins,1 ,,,,,,,,,,,,,4.6,174,,,,,,,,5 mins
52,6663122,Gluehwein,5 mins,40 mins,6 ,,,,,,,,,,,,,4.8,316,,,3 cups,35 mins,,,,
53,6738485,Budget Jungle Juice for a Crowd,10 mins,10 mins,96 ,,,,,,,,,,,,,4.7,16,,,6 gallons,,,,,
54,6649382,Mojitos by the Pitcher,10 mins,10 mins,6 ,6,160,0g,6mg,20g,1g,17g,0g,10mg,17mg,0mg,37mg,4.9,113,,,,,,,,
55,6591157,The Real Rum Runner,5 mins,5 mins,1 ,1,511,0g,25mg,50g,1g,42g,1g,26mg,29mg,0mg,141mg,4.6,5,,,,,,,,
56,6590089,Classic Canadian Caesar,5 mins,5 mins,1 ,1,204,1g,5408mg,31g,2g,10g,3g,17mg,96mg,2mg,474mg,4.6,31,0g,,,,,,,
57,6741019,Orange Crush! Fresh Squeezed Orange and Vodka Cocktail,10 mins,10 mins,1 ,1,325,0g,7mg,35g,1g,27g,1g,90mg,24mg,0mg,361mg,4.7,15,0g,,1 cocktail,,,,,
58,6596085,Virgin Strawberry Daiquiri,5 mins,5 mins,1 ,1,287,0g,25mg,74g,1g,52g,0g,28mg,14mg,0mg,78mg,4.3,52,,,,,,,,
59,6649156,Grateful Dead Cocktail,5 mins,5 mins,1 ,1,403,0g,11mg,19g,,18g,,,7mg,,4mg,3.5,10,,,,,,,,
