,id_recipe,Prep Time:,Cook Time:,Stand Time:,Cool Time:,Chill Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rest Time:,Servings:,Servings Per Recipe,Additional Time:,Yield:
0,7566683,15 mins,10 mins,45 mins,45 mins, 2 hrs, 3 hrs 55 mins,966,83g,12g,0mg,7606mg,55g,16g,23g,23g,215mg,326mg,8mg,3431mg,5.0,1,,,,,
1,7550363,5 mins,30 mins,30 mins,,, 1 hr 20 mins,1079,76g,34g,310mg,1646mg,1g,0g,0g,99g,0mg,54mg,10mg,1125mg,,,15 mins,4 ,4,,
2,7558651,10 mins,5 mins,,,,15 mins,22,1g,1g,4mg,90mg,0g,0g,0g,2g,0mg,67mg,0mg,5mg,,,,15 ,15,,
3,6603055,10 mins, 1 hr 30 mins,,,, 17 hrs 40 mins,54,1g,0g,27mg,181mg,0g,0g,,10g,,5mg,0mg,90mg,4.0,1,,6 ,6, 16 hrs,6 skewers
4,6649651,10 mins,20 mins,,,,30 mins,58,3g,0g,,185mg,8g,2g,,3g,90mg,104mg,1mg,337mg,4.5,"2,653",,6 ,6,,6 servings
5,6649708,5 mins,5 mins,,,,10 mins,141,9g,3g,330mg,281mg,2g,,2g,12g,0mg,82mg,2mg,164mg,4.7,75,,2 ,2,,2 servings
6,6650074,10 mins,20 mins,,,,30 mins,213,14g,4g,71mg,355mg,1g,0g,0g,19g,1mg,12mg,1mg,192mg,4.7,151,,4 ,4,,
7,6739695,25 mins,10 mins,,,,35 mins,616,57g,25g,456mg,743mg,9g,2g,5g,20g,11mg,87mg,6mg,306mg,4.9,62,,2 ,2,,
8,6595647,5 mins,15 mins,,,,20 mins,99,8g,3g,20mg,425mg,0g,,,7g,,2mg,0mg,104mg,4.7,17,,8 ,8,,16 slices
9,6650642,10 mins,,,,,10 mins,373,38g,24g,128mg,227mg,7g,2g,1g,5g,0mg,79mg,1mg,234mg,4.8,147,,2 ,2,,2 servings
10,6664900,5 mins,30 mins,,,,35 mins,134,10g,3g,27mg,574mg,0g,,,9g,,3mg,0mg,140mg,4.8,63,,6 ,6,,
