,id_recipe,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:,Yield:,Cool Time:,Additional Time:,Soak Time:
0,7971118,20 mins,15 mins,10 mins,45 mins,4 ,4,694,44g,15g,170mg,1481mg,34g,3g,5g,43g,8mg,425mg,4mg,1024mg,,,,,,,
1,7969063,10 mins,8 mins,,38 mins,4 ,4,470,22g,6g,120mg,662mg,32g,2g,4g,35g,4mg,166mg,5mg,456mg,,,20 mins,,,,
2,7570594,15 mins,25 mins,,40 mins,4 ,4,487,32g,11g,194mg,988mg,14g,3g,3g,37g,4mg,273mg,4mg,473mg,,,,,,,
3,7553187,20 mins,10 mins,30 mins, 1 hr 30 mins,4 ,4,590,47g,9g,215mg,973mg,2g,1g,0g,42g,13mg,40mg,3mg,525mg,4.3,3,30 mins,,,,
4,7500680,30 mins,15 mins,,45 mins,12 ,12,310,14g,5g,64mg,421mg,30g,4g,8g,17g,7mg,110mg,3mg,459mg,,,,12 sliders,,,
5,7254949,15 mins,25 mins,,45 mins,12 sliders,12,256,15g,6g,51mg,640mg,20g,1g,7g,12g,0mg,163mg,1mg,215mg,4.7,6,,12 ,5 mins,,
6,7112974,10 mins,8 mins,,18 mins,4 ,4,652,47g,21g,135mg,592mg,25g,1g,,30g,,,,381mg,,,,4 smash burgers,,,
7,6835064,30 mins,35 mins,40 mins, 1 hr 45 mins,2 ,2,935,72g,24g,204mg,460mg,39g,1g,,31g,,,,374mg,5.0,5,,,,,
8,6663165,15 mins,10 mins,,35 mins,8 ,8,288,18g,7g,96mg,196mg,9g,1g,2g,22g,1mg,53mg,3mg,314mg,4.4,"1,286",,8 servings,,10 mins,
9,6600519,10 mins,20 mins,,40 mins,6 ,6,315,11g,3g,115mg,920mg,25g,1g,3g,28g,1mg,96mg,3mg,287mg,4.5,680,,6 burgers,,10 mins,
