,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Freeze Time:,Cool Time:,Stand Time:,Chill Time:,Yield:,Soak Time:,Marinate Time:,Additional Time:
0,7970816,Air Fryer Honey-Mustard Chicken Thighs,5 mins,15 mins,20 mins,4 ,4,364,20g,6g,201mg,612mg,10g,1g,9g,38g,0mg,25mg,2mg,438mg,,,,,,,,,,
1,7814346,Air Fryer Hearts of Palm Sticks,15 mins,12 mins,47 mins,2 ,2,257,7g,2g,98mg,1497mg,37g,6g,1g,14g,16mg,220mg,8mg,462mg,5.0,1,20 mins,,,,,,,
2,7560981,Air Fryer Cheesy Bacon Ranch French Fries,5 mins,15 mins,20 mins,4 ,4,527,29g,5g,7mg,1253mg,61g,5g,2g,9g,20mg,101mg,2mg,1152mg,,,,,,,,,,
3,7509612,Air Fryer Mini Dark Chocolate Cake with Brown Butter Frosting,20 mins,25 mins, 1 hr 15 mins,6 ,6,331,16g,8g,57mg,286mg,46g,1g,39g,3g,2mg,44mg,2mg,75mg,,,,30 mins,,,,,,
4,7510155,Air Fryer Spanakopita,40 mins,15 mins,55 mins,24 ,24,122,7g,4g,16mg,194mg,12g,1g,0g,4g,3mg,85mg,2mg,140mg,,,,,,,,,,
5,7510184,Air Fryer Pecan Crusted Trout,10 mins,10 mins,20 mins,4 ,4,387,24g,3g,130mg,359mg,9g,2g,3g,34g,9mg,94mg,3mg,651mg,,,,,,,,,,
6,7546676,Air Fryer Blooming Onion,15 mins,20 mins,35 mins,4 ,4,871,25g,5g,64mg,955mg,149g,16g,84g,20g,77mg,420mg,6mg,2081mg,4.2,5,,,,,,,,
7,7510181,Air Fryer Tempura Vegetables,10 mins,10 mins,20 mins,4 ,4,142,1g,0g,1mg,563mg,27g,5g,5g,6g,4mg,39mg,2mg,306mg,,,,,,,,,,
8,7511366,Air Fryer Turtle Cheesecake,20 mins,35 mins, 5 hrs 40 mins,8 ,8,382,29g,16g,118mg,309mg,27g,1g,20g,6g,0mg,73mg,1mg,128mg,5.0,2,,,45 mins, 4 hrs,,,,
9,7510128,Air Fryer Samosas,25 mins,25 mins,50 mins,12 ,12,141,3g,1g,19mg,321mg,20g,2g,2g,7g,6mg,44mg,1mg,269mg,,,,,,,12 samosas,,,
10,7510058,Air Fryer Roasted Vegetables with Gremolata and Red Pepper Aioli,10 mins,15 mins,25 mins,4 ,4,304,27g,4g,12mg,323mg,13g,4g,7g,4g,103mg,68mg,2mg,754mg,,,,,,,,,,
11,7511370,Crab Rangoon in the Air Fryer,30 mins,8 mins,38 mins,9 ,9,187,6g,3g,43mg,475mg,25g,1g,9g,8g,6mg,48mg,1mg,153mg,,,,,,,18 crab rangoon,,,
12,7509518,Air Fryer Everything-Bagel Salmon Dinner,15 mins,20 mins,35 mins,2 ,2,589,32g,6g,109mg,2351mg,33g,8g,15g,43g,119mg,132mg,3mg,1428mg,4.0,1,,,,,,,,
