,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Cool Time:,Vitamin C
0,6663365,Mrs. Sigg's Snickerdoodles,20 mins,10 mins,30 mins,48 ,48 cookies,48,92,4g,2g,13mg,55mg,12g,0g,7g,1g,4mg,0mg,33mg,4.8,"6,979",,,
1,6648644,Grandma Ruth's Easy Snickerdoodle Cookies,20 mins,10 mins,35 mins,36 ,36 cookies,36,120,6g,3g,24mg,92mg,17g,0g,9g,1g,6mg,1mg,44mg,4.8,468,5 mins,,
2,6569977,Snickerdoodles III,,,,24 ,4 dozen,24,146,4g,3g,26mg,84mg,25g,1g,14g,2g,8mg,1mg,44mg,4.4,699,,,
3,7255290,Banana Snickerdoodle Bars,10 mins,25 mins,45 mins,16 servings,,16,132,6g,4g,15mg,74mg,19g,0g,11g,1g,7mg,1mg,62mg,4.6,19,,10 mins,1mg
4,7108668,Snickerdoodle Bars,10 mins,20 mins, 1 hr 30 mins,16 ,16 snickerdoodle bars,16,133,6g,4g,27mg,107mg,18g,0g,,2g,,,38mg,4.7,9,, 1 hr,
5,6599779,Simple Gluten-Free Snickerdoodle Cookies,15 mins,12 mins,30 mins,24 ,24 cookies,24,95,4g,3g,18mg,88mg,14g,1g,9g,1g,15mg,0mg,5mg,4.4,24,3 mins,,
6,6649539,Snickerdoodles I,15 mins,10 mins,30 mins,36 ,3 dozen,36,125,6g,2g,10mg,71mg,17g,0g,9g,1g,4mg,1mg,42mg,4.7,976,5 mins,,
7,6736837,Chef John's Pumpkin Spice Snickerdoodles,15 mins,10 mins,30 mins,18 ,18 to 20 cookies,18,144,6g,3g,24mg,95mg,22g,1g,14g,2g,13mg,1mg,33mg,4.8,74,5 mins,,0mg
8,6588377,Snickerdoodles V,,,,18 ,3 dozen,18,250,12g,3g,21mg,143mg,33g,1g,18g,3g,9mg,1mg,84mg,4.6,484,,,
9,6572421,Ultimate Maple Snickerdoodles,15 mins,10 mins,35 mins,36 ,3 dozen,36,91,3g,1g,5mg,61mg,16g,0g,11g,1g,17mg,0mg,18mg,4.6,383,10 mins,,
10,6738023,Pumpkin Snickerdoodles,25 mins,15 mins, 1 hr 45 mins,24 ,24 cookies,24,220,9g,2g,8mg,151mg,33g,1g,17g,2g,30mg,1mg,68mg,4.0,100, 1 hr 5 mins,,0mg
11,6589026,Apple Butter Snickerdoodles,15 mins,10 mins, 2 hrs 30 mins,46 ,46 cookies,46,85,2g,1g,9mg,42mg,16g,0g,9g,1g,6mg,0mg,21mg,4.7,9, 2 hrs 5 mins,,
12,6593199,Cinnamon Roll Cookies,25 mins,12 mins, 2 hrs 37 mins,16 ,16 cookies,16,269,13g,6g,39mg,202mg,36g,1g,19g,3g,17mg,1mg,37mg,4.1,7, 2 hrs,,
13,6582243,Snickerdoodle Mix in a Jar,15 mins,,15 mins,36 ,3 dozen,36,67,0g,,,51mg,16g,0g,8g,1g,2mg,1mg,38mg,4.7,65,,,
14,6574788,Chai Snickerdoodle Cookies,10 mins,10 mins,30 mins,24 ,24 cookies,24,191,8g,5g,36mg,137mg,28g,1g,16g,2g,11mg,1mg,25mg,4.4,7,10 mins,,
15,6592344,Vegan Snickerdoodles,10 mins,10 mins,20 mins,14 ,14 cookies,14,174,8g,1g,,130mg,25g,2g,8g,2g,5mg,1mg,60mg,4.5,37,,,0mg
16,6582522,Chocolate Snickerdoodles,20 mins,6 mins,26 mins,50 ,50 cookies,50,90,5g,1g,7mg,51mg,12g,0g,7g,1g,3mg,1mg,94mg,4.3,3,,,
17,6598573,Caramel Snickerdoodle Bars,25 mins,30 mins, 2 hrs 15 mins,24 ,1 9x13-inch pan,24,389,16g,9g,47mg,283mg,59g,1g,43g,5g,78mg,1mg,91mg,4.7,7, 1 hr 20 mins,,0mg
18,6590943,Cranberry Snickerdoodle Cookies,15 mins,10 mins, 1 hr 25 mins,48 ,4 dozen,48,120,6g,3g,18mg,81mg,16g,1g,10g,1g,10mg,1mg,39mg,3.8,4, 1 hr,,
19,6571453,Brown Butter Snickerdoodles with White Chocolate,30 mins,25 mins, 2 hrs 35 mins,24 ,24 cookies,24,228,11g,7g,43mg,149mg,29g,1g,17g,3g,25mg,1mg,89mg,3.8,5, 1 hr 40 mins,,
20,6593417,Pumpkin Spice Snickerdoodles,20 mins,8 mins,48 mins,60 ,5 dozen,60,78,4g,1g,6mg,39mg,11g,1g,6g,1g,4mg,0mg,47mg,3.5,2,20 mins,,0mg
21,6601674,Eggnog Snickerdoodles,30 mins,8 mins,53 mins,48 ,48 cookies,48,94,4g,2g,12mg,55mg,13g,0g,7g,1g,3mg,0mg,32mg,3.5,2,15 mins,,
22,6587989,Zesty Lemon Snickerdoodles,25 mins,10 mins,40 mins,18 ,18 cookies,18,229,12g,6g,55mg,126mg,29g,1g,16g,2g,14mg,1mg,42mg,,,5 mins,,1mg
23,6587337,Peanut Butter Snickerdoodles,20 mins,8 mins,28 mins,48 ,4 dozen,48,141,8g,3g,13mg,109mg,16g,1g,10g,3g,17mg,1mg,82mg,,,,,
