,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
48,6577586,10 mins,30 mins,40 mins,5 ,5,735,31g,17g,66mg,1296mg,82g,4g,3g,32g,,494mg,4mg,491mg,4.0,56,5 servings,
49,6663897,20 mins,55 mins, 1 hr 15 mins,10 ,10,505,28g,17g,83mg,1157mg,41g,2g,,21g,,,,284mg,5.0,11,1 9x13-inch casserole,
50,6738682,15 mins,10 mins,25 mins,4 ,4,360,21g,13g,72mg,784mg,31g,2g,1g,12g,11mg,184mg,1mg,128mg,4.4,54,4 servings,
51,6650256,20 mins, 1 hr, 1 hr 20 mins,8 ,8,942,60g,36g,197mg,1475mg,57g,2g,7g,46g,6mg,1040mg,3mg,449mg,4.5,264,1 - 9x13 inch casserole,
52,6605993,20 mins, 1 hr 10 mins, 1 hr 45 mins,8 ,8,581,25g,13g,115mg,913mg,61g,4g,6g,28g,4mg,444mg,4mg,454mg,4.1,34,8 servings,15 mins
53,6581256,10 mins,50 mins, 1 hr,10 ,10,426,20g,12g,60mg,467mg,41g,3g,5g,21g,3mg,453mg,3mg,410mg,4.5,14,10 servings,
54,6579598,20 mins,45 mins, 1 hr 20 mins,8 ,8,600,38g,19g,101mg,912mg,39g,2g,6g,24g,1mg,368mg,2mg,368mg,4.4,377,8 servings,15 mins
55,6581282,30 mins,45 mins, 1 hr 15 mins,6 ,6,740,38g,23g,104mg,797mg,71g,4g,8g,28g,27mg,499mg,4mg,335mg,4.0,101,1 - 9x13 pan,
56,6589449,20 mins,55 mins, 1 hr 25 mins,20 ,20,479,27g,13g,59mg,997mg,42g,2g,5g,18g,0mg,311mg,2mg,203mg,4.2,38,20 servings,10 mins
57,6574326,,,,10 ,10,529,27g,16g,82mg,1203mg,47g,2g,9g,25g,2mg,580mg,2mg,335mg,4.1,580,10 servings,
58,6586818,10 mins,35 mins,45 mins,8 ,8,538,25g,16g,76mg,518mg,55g,2g,6g,24g,,466mg,2mg,304mg,4.5,22,,
59,6737711,20 mins,30 mins,50 mins,6 ,6,634,40g,25g,118mg,719mg,46g,2g,6g,22g,3mg,444mg,3mg,334mg,4.5,265,6 servings,
60,6588004,15 mins,45 mins, 1 hr,15 ,15,413,22g,14g,65mg,550mg,36g,1g,4g,19g,0mg,414mg,2mg,222mg,4.3,111,15 servings,
61,6568076,15 mins,50 mins, 1 hr 5 mins,4 ,4,455,17g,10g,55mg,582mg,53g,2g,8g,22g,3mg,364mg,3mg,426mg,4.0,2,4 servings,
