,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
43,6573078,30 mins, 1 hr 45 mins, 2 hrs 15 mins,6 ,6,320,23g,7g,69mg,50mg,9g,2g,3g,20g,94mg,44mg,3mg,365mg,4.2,90,6 servings,
44,6564666,20 mins, 1 hr 50 mins, 2 hrs 10 mins,4 ,4,254,12g,3g,45mg,527mg,17g,3g,5g,19g,8mg,53mg,3mg,568mg,5.0,1,4 servings,
45,6586286,,,,6 ,6,329,16g,6g,54mg,393mg,30g,6g,7g,18g,29mg,70mg,3mg,1015mg,4.5,90,6 servings,
46,6598566,20 mins, 2 hrs 20 mins, 2 hrs 40 mins,12 ,12,485,27g,10g,99mg,678mg,26g,4g,9g,34g,26mg,81mg,6mg,1094mg,4.8,12,3 quarts,
47,6581042,30 mins, 3 hrs 20 mins, 6 hrs 50 mins,8 ,8,504,24g,8g,70mg,401mg,28g,4g,6g,26g,25mg,69mg,4mg,992mg,4.0,1,8 servings, 3 hrs
48,6576826,15 mins, 8 hrs 10 mins, 8 hrs 25 mins,4 ,4,291,19g,7g,63mg,442mg,8g,2g,4g,21g,12mg,61mg,5mg,461mg,4.3,297,4 servings,
49,6578971,30 mins, 1 hr 30 mins, 2 hrs,6 ,6,398,12g,3g,65mg,279mg,38g,7g,6g,27g,47mg,88mg,5mg,1222mg,4.4,49,6 servings,
50,6737086,30 mins, 4 hrs, 4 hrs 30 mins,6 ,6,467,21g,7g,69mg,1110mg,44g,6g,8g,25g,35mg,97mg,5mg,1245mg,4.7,358,6 servings,
51,6736998,20 mins, 1 hr 25 mins, 1 hr 45 mins,6 ,6,611,24g,9g,84mg,810mg,66g,10g,7g,33g,68mg,101mg,6mg,1976mg,4.7,28,6 servings,
52,6582396,28 mins, 8 hrs, 8 hrs 28 mins,6 ,6,382,24g,9g,85mg,905mg,9g,1g,3g,27g,,27mg,3mg,380mg,4.2,128,,
53,6572631,15 mins,40 mins, 4 hrs 55 mins,6 ,6,423,32g,8g,81mg,587mg,6g,1g,3g,26g,7mg,32mg,3mg,441mg,4.6,91,6 servings, 4 hrs
54,6572714,40 mins, 2 hrs 40 mins, 3 hrs 30 mins,8 ,8,351,10g,3g,172mg,490mg,43g,5g,8g,22g,51mg,149mg,3mg,1061mg,4.5,2,8 servings,10 mins
55,6738092,5 mins,15 mins,20 mins,2 ,2,242,17g,3g,99mg,415mg,7g,2g,1g,20g,2mg,629mg,10mg,308mg,3.9,16,2 servings,
56,6581373,15 mins,30 mins,45 mins,8 ,8,406,17g,7g,39mg,1153mg,45g,6g,1g,18g,5mg,45mg,4mg,394mg,4.3,38,8 servings,
57,6580814,20 mins, 3 hrs 15 mins, 3 hrs 55 mins,10 ,10,437,32g,9g,67mg,835mg,15g,3g,3g,21g,28mg,75mg,4mg,451mg,4.6,50,10 servings,20 mins
58,6591960,20 mins,45 mins, 1 hr 15 mins,4 ,4,594,25g,10g,118mg,1000mg,44g,4g,5g,37g,11mg,103mg,6mg,1024mg,4.3,6,4 servings,10 mins
59,6578896, 1 hr, 2 hrs, 3 hrs,8 ,8,453,24g,10g,89mg,651mg,30g,3g,4g,25g,19mg,66mg,4mg,847mg,4.7,325,8 servings,
60,6596111,25 mins,20 mins,45 mins,4 ,4,562,42g,25g,74mg,852mg,24g,6g,6g,27g,44mg,79mg,7mg,902mg,4.6,47,4 servings,
61,6590998,20 mins, 1 hr 5 mins, 1 hr 25 mins,6 ,6,518,36g,12g,86mg,1168mg,25g,4g,15g,26g,45mg,80mg,5mg,897mg,4.0,6,6 servings,
