,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Average_Review,Review_Count,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Additional Time:,Chill Time:
18,6737787,15 mins,23 mins,38 mins,12 ,12 empanadas,4.4,5,12,224,9g,5g,18mg,377mg,31g,2g,3g,6g,1mg,69mg,1mg,108mg,,
19,6589181,20 mins,20 mins,55 mins,8 ,16 empanadas,3.3,7,8,343,14g,8g,57mg,287mg,39g,1g,2g,15g,,320mg,2mg,126mg,15 mins,
20,6601838,20 mins,35 mins, 9 hrs 25 mins,10 ,10 empanadas,4.3,3,10,374,25g,15g,68mg,198mg,36g,2g,15g,4g,2mg,27mg,1mg,99mg, 8 hrs 30 mins,
21,6593676, 1 hr,15 mins, 1 hr 20 mins,36 ,36 empanadas,4.1,17,36,292,15g,9g,41mg,115mg,38g,1g,24g,3g,1mg,18mg,1mg,45mg,5 mins,
22,6575176,30 mins,35 mins, 1 hr 20 mins,10 ,20 empanadas,4.0,1,10,424,18g,5g,126mg,649mg,48g,3g,6g,20g,6mg,32mg,2mg,259mg,15 mins,
23,6563017,30 mins,15 mins, 2 hrs 20 mins,15 ,15 empanadas,,,15,212,15g,9g,44mg,191mg,18g,1g,5g,3g,6mg,18mg,1mg,39mg, 1 hr 35 mins,
24,6598087,15 mins, 1 hr, 1 hr 40 mins,8 ,1 9-inch pie,3.3,3,8,441,30g,8g,56mg,428mg,27g,3g,1g,17g,3mg,34mg,3mg,298mg,25 mins,
25,6602690,30 mins,30 mins, 1 hr 5 mins,12 ,12 empanadas,5.0,1,12,437,28g,7g,,1216mg,32g,4g,3g,14g,1mg,76mg,3mg,224mg,5 mins,
26,6595126,20 mins,25 mins,45 mins,12 ,12 empanadas,,,12,168,7g,3g,19mg,355mg,21g,1g,0g,7g,0mg,11mg,0mg,47mg,,
27,6594548,25 mins,40 mins, 1 hr 5 mins,36 ,36 pies,3.9,14,36,215,13g,4g,33mg,667mg,16g,2g,2g,10g,3mg,27mg,2mg,211mg,,
28,6580751,15 mins,15 mins,30 mins,10 ,10 empanadas,,,10,320,15g,8g,49mg,199mg,45g,3g,16g,5g,5mg,29mg,1mg,285mg,,
29,6577844,30 mins, 1 hr 10 mins, 1 hr 55 mins,10 ,20 empanadas,5.0,1,10,374,14g,4g,50mg,1851mg,47g,3g,4g,17g,19mg,28mg,2mg,309mg,15 mins,
30,6563529,35 mins,30 mins, 1 hr 10 mins,24 ,24 empanadas,,,24,195,9g,2g,8mg,16mg,27g,0g,13g,2g,,4mg,1mg,20mg,5 mins,
31,6604305,40 mins,20 mins, 1 hr,8 ,16 empanadas,4.3,14,8,308,20g,5g,27mg,286mg,28g,4g,3g,5g,40mg,35mg,2mg,356mg,,
32,6575814,20 mins,20 mins,45 mins,12 ,12 empanadas,,,12,189,7g,3g,85mg,533mg,21g,1g,0g,10g,1mg,47mg,1mg,91mg,5 mins,
33,6603980,20 mins,25 mins,55 mins,12 ,12 empanadas,,,12,153,6g,2g,23mg,333mg,21g,1g,1g,6g,5mg,54mg,0mg,22mg,10 mins,
34,6601143,30 mins,35 mins, 2 hrs 5 mins,6 ,18 empanadas,5.0,2,6,535,32g,15g,189mg,1051mg,40g,2g,2g,21g,27mg,48mg,5mg,334mg, 1 hr,
35,6567763,20 mins,15 mins,35 mins,10 ,10 empanadas,,,10,377,24g,9g,48mg,554mg,24g,2g,2g,17g,19mg,183mg,1mg,147mg,,
36,6581604,10 mins,10 mins,30 mins,3 ,3 plantain empanadas,,,3,243,14g,4g,13mg,87mg,29g,2g,14g,4g,17mg,91mg,1mg,457mg,10 mins,
37,6597915,30 mins,20 mins,50 mins,8 ,16 empanadas,4.0,1,8,382,15g,2g,,1170mg,55g,7g,2g,11g,9mg,38mg,1mg,241mg,,
38,6592388,30 mins,15 mins, 1 hr 15 mins,12 ,12 empanadas,,,12,188,5g,3g,41mg,207mg,31g,1g,14g,3g,,9mg,1mg,35mg,30 mins,
39,6596250,20 mins,10 mins,30 mins,12 ,12 servings,4.6,18,12,124,6g,1g,41mg,287mg,13g,1g,2g,5g,6mg,9mg,1mg,92mg,,
40,6597077,25 mins,35 mins, 1 hr,10 ,10 empanadas,5.0,1,10,192,7g,3g,23mg,318mg,24g,2g,1g,9g,1mg,63mg,0mg,48mg,,
41,6564573,35 mins,20 mins, 1 hr 25 mins,6 ,6 empanadas,,,6,403,16g,4g,34mg,761mg,42g,3g,6g,22g,24mg,294mg,4mg,498mg,30 mins,
42,6580185,40 mins, 4 hrs 30 mins, 5 hrs 40 mins,36 ,36 empanadas,,,36,132,5g,1g,7mg,231mg,18g,1g,1g,6g,2mg,8mg,0mg,106mg,30 mins,
43,6565904, 1 hr,40 mins, 1 hr 50 mins,30 ,30 empanadas,,,30,211,9g,2g,35mg,287mg,27g,2g,4g,8g,5mg,12mg,1mg,168mg,10 mins,
