,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Stand Time:,Additional Time:
30,6650512,Manicotti,30 mins,55 mins, 1 hr 25 mins,4 ,4,676,31g,17g,189mg,1255mg,53g,4g,13g,46g,2mg,1044mg,3mg,708mg,4.7,779,,,
31,6665025,Simple Beef Stroganoff,5 mins,15 mins,20 mins,4 ,4,679,41g,17g,159mg,660mg,48g,3g,2g,29g,1mg,76mg,4mg,460mg,4.1,992,,,
32,6651067,Old-Fashioned Potato Cakes,10 mins,10 mins,20 mins,4 ,4,255,5g,1g,49mg,627mg,45g,3g,3g,7g,9mg,44mg,2mg,407mg,4.4,272,,,
33,6573719,Campbell's Tuna Noodle Casserole,10 mins,35 mins,45 mins,8 ,,,,,,,,,,,,,,,4.4,511,,,
34,6663813,Perfect Baked Potato,1 mins, 1 hr 30 mins, 1 hr 31 mins,1 ,1,419,25g,13g,58mg,1448mg,38g,5g,2g,13g,42mg,282mg,2mg,946mg,4.7,891,1 baked potato,,
35,6649259,Potato Pancakes,10 mins,15 mins,25 mins,6 ,6,283,8g,1g,31mg,415mg,47g,6g,3g,7g,50mg,39mg,2mg,1077mg,4.6,290,,,
36,6592169,"Chicken, Broccoli, and Cheddar Casserole",20 mins,30 mins,50 mins,8 ,8,474,30g,16g,104mg,944mg,22g,2g,2g,29g,12mg,335mg,3mg,280mg,4.7,65,1 2-quart casserole,,
37,6663336,Dad's Leftover Turkey Pot Pie,25 mins,45 mins, 1 hr 20 mins,12 ,12,539,33g,13g,65mg,651mg,40g,4g,3g,20g,6mg,76mg,4mg,323mg,4.9,"1,471",2 9-inch pot pies,,10 mins
38,6650561,Quick and Easy Home Fries,5 mins,20 mins,25 mins,4 ,4,199,9g,6g,23mg,71mg,28g,4g,1g,3g,32mg,22mg,1mg,675mg,4.7,562,,,
39,6648527,"Broccoli, Rice, Cheese, and Chicken Casserole",15 mins,30 mins,45 mins,8 ,8,756,31g,15g,110mg,1642mg,83g,3g,8g,36g,34mg,416mg,7mg,485mg,4.3,"1,112",,,
40,6650502,Baked Spaghetti,15 mins, 1 hr 15 mins, 1 hr 30 mins,8 ,8,797,41g,21g,126mg,1326mg,61g,5g,,44g,2mg,667mg,4mg,722mg,4.7,"1,504",1 9x13-inch casserole,,
41,6650844,Classic Hash Browns,15 mins,10 mins,25 mins,2 ,2,334,19g,12g,49mg,13mg,38g,5g,2g,4g,42mg,27mg,2mg,911mg,4.7,358,,,
42,6650288,Classic Goulash,8 mins,27 mins,35 mins,8 ,8,476,26g,10g,85mg,1476mg,32g,4g,,27g,17mg,97mg,7mg,900mg,4.5,"2,198",,,
43,6649926,Cheesy Potato Casserole from Ore-Ida,10 mins,50 mins, 1 hr,8 ,8,434,29g,18g,73mg,857mg,32g,3g,1g,13g,3mg,281mg,3mg,149mg,4.8,112,1 9x13-inch casserole,,
44,6663132,Hamburger Potato Casserole,20 mins, 1 hr 20 mins, 1 hr 40 mins,6 ,6,403,27g,12g,83mg,538mg,17g,1g,4g,22g,7mg,219mg,2mg,515mg,4.3,"1,453",,,
