,id_recipe,Prep Time:,Chill Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Stand Time:,Bake Time:,Cool Time:,Additional Time:,Cook Time:
0,7565344,15 mins, 2 hrs, 2 hrs 15 mins,8 ,1 9- to 10-inch crust,8,159,12g,7g,31mg,170mg,12g,0g,0g,2g,0mg,6mg,1mg,20mg,,,,,,,
1,6751344,20 mins, 3 hrs, 4 hrs 35 mins,12 ,2 9 1/2-inch tart shells,12,324,18g,11g,82mg,166mg,37g,1g,,4g,,,,45mg,,,10 mins,25 mins,40 mins,,
2,6648423,5 mins,,5 mins,8 ,1 8- or 9-inch crust,8,176,10g,6g,23mg,157mg,21g,1g,13g,1g,,8mg,1mg,25mg,4.7,"1,184",,,,,
3,6649097,15 mins,, 4 hrs 15 mins,8 ,1 (9-inch) single pie crust,8,173,12g,7g,31mg,158mg,15g,1g,0g,2g,0mg,7mg,1mg,24mg,4.7,"2,137",,,, 4 hrs,
4,6604880,10 mins,,20 mins,8 ,1 9-inch pie crust,8,365,18g,8g,23mg,271mg,49g,1g,,2g,,24mg,2mg,57mg,4.3,15,,,,,10 mins
5,6650424,10 mins,,40 mins,8 ,2 pie crusts,8,346,23g,15g,61mg,150mg,30g,1g,0g,4g,,13mg,2mg,50mg,4.7,487,,,,30 mins,
6,6663360,20 mins,,50 mins,16 ,2 9-inch pie crusts,16,170,13g,3g,,146mg,12g,0g,,2g,,3mg,1mg,17mg,4.5,"1,079",,,,30 mins,
7,6565652,10 mins,,10 mins,2 ,2 cups,2,849,24g,15g,61mg,196mg,156g,2g,107g,7g,,108mg,4mg,220mg,4.5,200,,,,,
8,6562954,15 mins,, 1 hr 15 mins,8 ,1 double-crust pie pastry,8,268,17g,7g,16mg,292mg,24g,1g,0g,3g,,5mg,2mg,34mg,4.4,39,,,, 1 hr,
9,6566403,10 mins,,20 mins,8 ,1 9-inch pie crust,8,112,8g,4g,15mg,190mg,9g,0g,,1g,,25mg,1mg,21mg,4.6,16,,,,,10 mins
10,6663832,10 mins,,10 mins,24 ,,24,126,9g,2g,8mg,28mg,10g,0g,0g,2g,,3mg,1mg,17mg,4.7,291,,,,,
11,6740972,15 mins,, 1 hr 15 mins,6 ,1 pound pie dough,6,295,16g,10g,41mg,498mg,34g,1g,2g,5g,,12mg,2mg,49mg,4.6,70,,,, 1 hr,
12,6663613,5 mins,,20 mins,8 ,1 9-inch pie crust,8,215,14g,1g,0mg,293mg,19g,1g,1g,3g,,8mg,1mg,31mg,4.3,650,,,,,15 mins
13,6578940,10 mins,,40 mins,8 ,1 pie crust,8,207,14g,6g,15mg,147mg,18g,1g,0g,3g,,6mg,1mg,27mg,4.4,167,,,,30 mins,
14,6566166,5 mins,, 1 hr 5 mins,8 ,1 9-inch pie crust,8,175,10g,6g,23mg,157mg,20g,0g,13g,1g,,6mg,1mg,24mg,4.8,108,,,, 1 hr,
15,6741740,15 mins,,30 mins,8 ,1 to 9 - inch pie crust,8,348,23g,15g,61mg,179mg,32g,1g,8g,4g,,20mg,2mg,40mg,4.6,141,,,,,15 mins
16,6566200,,,,24 ,1 - 9 inch double or 3 single crusts,24,154,11g,3g,8mg,52mg,12g,0g,0g,2g,,4mg,1mg,20mg,4.8,64,,,,,
17,6566436,,,,12 ,12 to 5 - inch pastry shells,12,233,14g,3g,16mg,200mg,24g,1g,0g,4g,,7mg,2mg,39mg,3.9,25,,,,,
18,6597378,10 mins,,20 mins,6 ,6 servings,6,178,13g,8g,36mg,111mg,12g,0g,0g,3g,,40mg,1mg,25mg,4.6,72,,,,,10 mins
