,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Cool Time:,Refrigerate Time:,Yield:,Additional Time:
37,6566331,15 mins, 1 hr 15 mins, 1 hr 30 mins,8 ,8,577,23g,9g,78mg,128mg,89g,10g,29g,7g,34mg,86mg,2mg,1762mg,,,,,,8 servings,
38,6737314,20 mins,25 mins,45 mins,8 ,8,602,16g,4g,31mg,1182mg,91g,7g,4g,22g,12mg,212mg,6mg,714mg,4.8,156,,,,16 tacos,
39,6599197,15 mins, 2 hrs 15 mins, 2 hrs 30 mins,8 ,8,280,7g,5g,15mg,138mg,55g,0g,35g,2g,3mg,60mg,1mg,499mg,,,,,,8 servings,
40,6602756,5 mins, 1 hr 15 mins, 1 hr 35 mins,8 ,8,393,6g,4g,15mg,106mg,83g,6g,68g,2g,26mg,53mg,2mg,452mg,4.0,1,,,,8 servings,15 mins
41,6563416,10 mins,40 mins,50 mins,8 ,8,293,9g,1g,,132mg,51g,4g,41g,2g,13mg,36mg,1mg,273mg,,,,,,8 servings,
42,6594518,20 mins,35 mins, 1 hr 25 mins,24 ,24,276,15g,4g,45mg,241mg,32g,1g,19g,3g,3mg,38mg,1mg,184mg,4.6,13,,,,24 cupcakes,30 mins
43,6567449,15 mins, 1 hr 5 mins, 1 hr 20 mins,10 ,10,678,28g,18g,73mg,233mg,103g,11g,27g,5g,46mg,73mg,2mg,2245mg,4.0,1,,,,10 servings,
44,6584117,15 mins,30 mins,45 mins,12 ,12,352,14g,7g,31mg,168mg,54g,3g,30g,4g,36mg,40mg,1mg,438mg,4.9,7,,,,1 9x9-inch pan,
45,6579727,20 mins,26 mins,46 mins,4 ,4,528,26g,22g,,619mg,72g,12g,6g,7g,43mg,122mg,7mg,2036mg,4.4,20,,,,4 servings,
46,6586293,20 mins,45 mins, 1 hr 15 mins,10 ,10,309,15g,7g,47mg,467mg,30g,5g,4g,14g,34mg,91mg,2mg,817mg,4.9,8,,,,,10 mins
47,6604459,15 mins, 1 hr 25 mins, 1 hr 40 mins,8 ,8,370,9g,5g,25mg,101mg,70g,9g,8g,4g,39mg,51mg,1mg,1852mg,4.6,12,,,,8 servings,
48,6603779,15 mins,35 mins,50 mins,8 ,8,383,19g,9g,82mg,194mg,50g,3g,41g,5g,14mg,84mg,2mg,305mg,4.7,82,,,,8 servings,
49,6572123,25 mins, 1 hr 43 mins, 3 hrs 8 mins,8 ,8,776,11g,2g,,587mg,144g,37g,12g,32g,63mg,188mg,8mg,3268mg,4.0,2,,,,8 servings, 1 hr
50,6582921,5 mins,20 mins,25 mins,6 ,6,326,11g,1g,,113mg,58g,6g,47g,3g,16mg,43mg,2mg,393mg,3.7,11,,,,6 servings,
51,6588448,20 mins,12 mins, 2 hrs 12 mins,16 ,16,200,5g,3g,34mg,128mg,33g,2g,7g,6g,4mg,45mg,2mg,195mg,5.0,2,,,,16 servings, 1 hr 40 mins
52,6592342,20 mins,40 mins, 1 hr,8 ,8,180,3g,2g,8mg,126mg,39g,3g,25g,2g,7mg,38mg,1mg,308mg,4.3,106,,,,8 servings,
53,6586371,20 mins,40 mins, 1 hr,4 ,4,703,40g,11g,36mg,246mg,76g,17g,4g,15g,93mg,313mg,3mg,2490mg,4.2,97,,,,4 servings,
54,6576295,35 mins,25 mins, 1 hr,4 ,4,387,13g,2g,,683mg,63g,13g,7g,11g,95mg,158mg,5mg,1694mg,4.5,4,,,,6 cups,
55,6603482,15 mins,55 mins, 1 hr 10 mins,8 ,8,321,10g,3g,8mg,41mg,58g,7g,18g,3g,30mg,44mg,1mg,1208mg,4.3,11,,,,4 cups,
56,6600706,15 mins,45 mins, 1 hr 10 mins,6 ,6,694,35g,16g,99mg,265mg,78g,4g,58g,20g,20mg,69mg,2mg,637mg,4.3,3,,,,6 servings,10 mins
57,6579847,20 mins,35 mins, 1 hr 10 mins,5 ,5,453,16g,2g,,57mg,69g,10g,5g,13g,48mg,117mg,5mg,1230mg,5.0,2,,,,5 servings,15 mins
58,6578819,15 mins,45 mins, 1 hr 15 mins,4 ,4,510,12g,2g,,244mg,98g,10g,57g,6g,72mg,148mg,2mg,1467mg,4.6,14,,,,4 servings,15 mins
59,6563021,5 mins,,5 mins,6 ,6,294,23g,20g,,12mg,23g,3g,6g,4g,5mg,28mg,2mg,522mg,,,,,,6 servings,
