,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
34,6569294,20 mins,50 mins, 1 hr 15 mins,16 ,1 (9x5-inch) loaf,16,190,7g,4g,39mg,277mg,30g,1g,15g,3g,3mg,17mg,1mg,148mg,4.7,24,5 mins
35,6738551,15 mins, 1 hr 5 mins, 1 hr 20 mins,12 ,1 9x5-inch loaf,12,196,5g,3g,41mg,197mg,35g,2g,14g,4g,4mg,22mg,1mg,203mg,4.5,138,
36,6649322,5 mins,2 mins,12 mins,2 ,2 servings,2,602,30g,14g,46mg,444mg,81g,4g,38g,8g,9mg,86mg,3mg,505mg,5.0,12,5 mins
37,6590106,15 mins, 1 hr, 1 hr 25 mins,12 ,12 servings,12,264,9g,5g,51mg,223mg,44g,2g,23g,4g,4mg,22mg,1mg,208mg,4.8,46,10 mins
38,6574096,15 mins, 1 hr 15 mins, 2 hrs,12 ,1 5x9-inch loaf,12,339,17g,9g,64mg,256mg,44g,2g,23g,5g,4mg,60mg,1mg,210mg,4.6,167,30 mins
39,6588986,15 mins, 1 hr, 1 hr 15 mins,10 ,1 - 8x4 inch loaf,10,248,6g,3g,31mg,283mg,47g,2g,24g,4g,3mg,10mg,1mg,162mg,4.6,744,
40,6597753,15 mins,35 mins, 1 hr,10 ,1 9x5-inch loaf,10,193,5g,1g,1mg,187mg,31g,3g,16g,7g,3mg,95mg,4mg,248mg,5.0,2,10 mins
41,6569003,20 mins, 1 hr 15 mins, 1 hr 35 mins,24 ,2 loaves,24,366,20g,3g,31mg,232mg,45g,2g,23g,5g,5mg,87mg,2mg,246mg,4.5,59,
42,6582458,15 mins,25 mins,40 mins,10 ,10 muffins,10,195,1g,0g,37mg,373mg,42g,2g,20g,4g,3mg,11mg,1mg,167mg,4.3,557,
43,6573969,10 mins,35 mins,55 mins,12 ,1 loaf,12,210,13g,2g,14mg,135mg,22g,1g,10g,3g,1mg,55mg,1mg,91mg,4.4,50,10 mins
44,6590119,15 mins, 1 hr, 1 hr 25 mins,12 ,1 -9x5 inch loaf,12,277,13g,6g,51mg,286mg,38g,2g,20g,4g,2mg,51mg,1mg,144mg,4.6,350,10 mins
45,6737924,15 mins,30 mins,45 mins,16 ,16 servings,16,132,7g,4g,39mg,156mg,19g,1g,14g,1g,4mg,32mg,0mg,197mg,4.0,163,
46,6591285,10 mins,50 mins, 1 hr,24 ,2 loaves,24,236,10g,1g,23mg,159mg,35g,1g,21g,3g,3mg,9mg,1mg,108mg,4.0,6,
47,6570117,20 mins,55 mins, 1 hr 25 mins,10 ,1 9x5-inch loaf,10,260,16g,6g,25mg,290mg,33g,2g,,4g,0mg,40mg,0mg,33mg,4.9,12,10 mins
48,6594232,25 mins, 1 hr, 1 hr 55 mins,10 ,1 loaf,10,273,12g,2g,37mg,136mg,38g,1g,22g,4g,2mg,12mg,1mg,77mg,4.6,65,30 mins
49,6583740,15 mins,45 mins, 1 hr,16 ,2 9x5-inch loaves,16,306,17g,2g,47mg,318mg,35g,2g,21g,4g,2mg,57mg,1mg,127mg,4.8,79,
50,6603464,15 mins,55 mins, 1 hr 10 mins,10 ,1 9x5-inch loaf,10,299,10g,6g,43mg,246mg,51g,3g,,4g,4mg,80mg,3mg,709mg,3.8,68,
51,6577787,15 mins, 1 hr, 1 hr 20 mins,12 ,1 loaf,12,272,11g,2g,47mg,467mg,41g,1g,21g,5g,3mg,17mg,1mg,169mg,4.6,160,5 mins
52,6572017,45 mins, 1 hr, 2 hrs 45 mins,24 ,2 loaves,24,131,4g,2g,13mg,92mg,22g,1g,13g,2g,1mg,37mg,1mg,73mg,4.2,69, 1 hr
53,6598662,15 mins, 1 hr 15 mins, 1 hr 30 mins,20 ,2 9x5-inch loaves,20,347,17g,5g,19mg,218mg,48g,2g,29g,4g,3mg,20mg,1mg,194mg,4.8,892,
54,6650882,15 mins, 1 hr, 1 hr 35 mins,10 ,1 9x5-inch loaf,10,286,11g,3g,37mg,354mg,45g,2g,,4g,4mg,27mg,2mg,210mg,4.9,15,20 mins
55,6568351,15 mins, 1 hr, 1 hr 15 mins,16 ,2 7x3-inch loaves,16,145,4g,2g,31mg,181mg,27g,1g,15g,2g,2mg,7mg,1mg,101mg,4.7,"1,688",
56,6591463,20 mins,45 mins, 1 hr 25 mins,16 ,2 7x3-inch loaves,16,413,17g,10g,86mg,265mg,63g,2g,,5g,2mg,29mg,2mg,151mg,4.5,89,20 mins
57,6598956,15 mins, 1 hr, 1 hr 15 mins,12 ,1 - 9x5 inch loaf,12,169,5g,1g,31mg,275mg,29g,1g,14g,3g,2mg,15mg,1mg,99mg,4.7,460,
58,6567092,10 mins, 1 hr, 1 hr 20 mins,10 ,1 9x5-inch loaf,10,320,13g,3g,,305mg,49g,2g,12g,4g,4mg,30mg,2mg,230mg,4.8,5,10 mins
