,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Rest Time:,Yield:
28,6650686,30 mins, 2 hrs 15 mins, 2 hrs 45 mins,6 ,6,531,31g,12g,134mg,633mg,25g,4g,7g,37g,38mg,66mg,4mg,1036mg,4.8,24,,,
29,6586960,10 mins,10 mins,50 mins,4 ,4,327,22g,5g,93mg,112mg,2g,0g,0g,30g,2mg,25mg,3mg,410mg,4.8,13,30 mins,,
30,6578288,10 mins, 5 hrs, 7 hrs 25 mins,6 ,6,285,14g,7g,100mg,465mg,11g,1g,6g,26g,15mg,38mg,6mg,244mg,4.3,38, 2 hrs 15 mins,,
31,6650057,10 mins,20 mins,45 mins,4 ,4,255,19g,8g,64mg,70mg,5g,0g,3g,15g,1mg,29mg,2mg,239mg,4.8,"1,654",15 mins,,
32,6602139,20 mins, 3 hrs, 3 hrs 20 mins,4 ,4,824,41g,9g,173mg,793mg,35g,4g,6g,61g,13mg,103mg,8mg,1191mg,4.4,62,,,
33,6603755,10 mins, 2 hrs, 2 hrs 30 mins,8 ,8,346,20g,8g,126mg,93mg,3g,0g,0g,36g,3mg,31mg,3mg,483mg,4.8,42,20 mins,,
34,6569998,10 mins,40 mins,50 mins,6 ,6,738,45g,19g,270mg,462mg,27g,2g,3g,52g,0mg,118mg,6mg,704mg,4.2,185,,,
35,6649599,20 mins, 2 hrs 25 mins, 2 hrs 45 mins,6 ,6,508,29g,12g,121mg,466mg,29g,4g,4g,32g,28mg,69mg,4mg,899mg,4.8,121,,,6 servings
36,6577735,20 mins, 1 hr 40 mins, 2 hrs,8 ,8,497,23g,6g,50mg,1808mg,56g,4g,4g,19g,16mg,110mg,3mg,447mg,4.5,44,,,8 servings
37,6595753,10 mins, 1 hr 10 mins, 1 hr 40 mins,8 ,8,189,9g,3g,39mg,60mg,5g,0g,1g,15g,4mg,22mg,1mg,323mg,4.8,16,20 mins,,
38,6595763,30 mins,25 mins, 1 hr 25 mins,8 ,8,260,18g,7g,114mg,494mg,4g,1g,1g,21g,3mg,98mg,2mg,320mg,5.0,3,30 mins,,8 kabobs
39,6664547,15 mins,15 mins, 8 hrs 40 mins,4 ,4,467,34g,9g,93mg,80mg,12g,0g,9g,29g,7mg,72mg,4mg,481mg,4.7,14, 8 hrs 10 mins,,4 steaks
40,6586248,,,,14 ,14,336,23g,8g,106mg,494mg,2g,1g,0g,30g,10mg,37mg,3mg,408mg,4.6,39,,,12 to 14 - servings
41,6650747,10 mins, 1 hr 10 mins, 2 hrs 20 mins,6 ,6,508,37g,15g,112mg,1077mg,10g,1g,6g,26g,7mg,48mg,2mg,451mg,4.4,108, 1 hr,,
42,6601540,15 mins,10 mins, 3 hrs 25 mins,4 ,4,346,29g,8g,65mg,343mg,1g,0g,0g,19g,2mg,19mg,2mg,253mg,4.6,8, 3 hrs,,
43,6594003,30 mins,20 mins, 12 hrs 50 mins,8 ,8,376,27g,11g,115mg,966mg,3g,0g,2g,29g,3mg,61mg,3mg,380mg,4.7,60, 12 hrs,,8 shawarmas
44,6582933,20 mins,30 mins,50 mins,30 ,30,105,7g,3g,12mg,135mg,7g,0g,0g,3g,8mg,6mg,1mg,54mg,4.1,45,,,30 samosas
45,6606376,25 mins,10 mins,35 mins,5 ,5,376,19g,7g,113mg,370mg,25g,2g,3g,26g,4mg,105mg,4mg,381mg,4.6,25,,,5 burgers
46,6593722,15 mins, 1 hr, 2 hrs 15 mins,6 ,6,342,17g,5g,110mg,93mg,11g,1g,9g,36g,5mg,27mg,4mg,486mg,4.2,5, 1 hr,,6 servings
47,6599369,15 mins,20 mins,35 mins,4 ,4,298,16g,7g,77mg,235mg,16g,1g,8g,22g,1mg,76mg,2mg,413mg,4.3,3,,,21 meatballs
48,6739700,15 mins,10 mins, 1 hr 25 mins,4 ,4,241,13g,6g,56mg,339mg,16g,1g,14g,15g,0mg,43mg,2mg,257mg,4.7,378, 1 hr,,4 servings
49,6566883,35 mins, 1 hr 30 mins, 14 hrs 10 mins,4 ,4,819,56g,23g,190mg,2088mg,33g,6g,16g,47g,96mg,183mg,8mg,1317mg,4.0,1, 12 hrs 5 mins,,4 servings
50,6663827,45 mins,25 mins, 1 hr 15 mins,8 ,8,386,21g,11g,97mg,561mg,30g,3g,5g,17g,16mg,149mg,3mg,710mg,4.8,386,5 mins,,8 servings
51,6571844,25 mins, 1 hr, 1 hr 25 mins,8 ,8,544,25g,9g,43mg,429mg,64g,5g,8g,17g,71mg,92mg,3mg,539mg,4.5,37,,,8 servings
52,6600812,20 mins, 2 hrs, 2 hrs 20 mins,6 ,6,365,16g,7g,58mg,302mg,38g,5g,5g,17g,42mg,46mg,3mg,1044mg,4.3,34,,,6 servings
53,6663600,20 mins, 1 hr 15 mins, 1 hr 35 mins,8 ,8,224,14g,6g,80mg,538mg,1g,0g,0g,22g,1mg,25mg,2mg,267mg,4.7,32,,,1 9x5-inch loaf
54,6601935,15 mins, 2 hrs 20 mins, 2 hrs 35 mins,4 ,4,365,20g,6g,61mg,607mg,24g,8g,10g,20g,57mg,114mg,5mg,1072mg,4.3,20,,,4 servings
55,6577462,25 mins,35 mins, 1 hr,6 ,6,321,22g,11g,115mg,115mg,8g,1g,5g,23g,6mg,50mg,2mg,324mg,4.5,92,,,6 servings
56,6569437,15 mins,40 mins,55 mins,4 ,4,572,27g,11g,103mg,1049mg,46g,20g,8g,39g,45mg,248mg,8mg,1252mg,4.7,70,,,4 servings
57,6602320,35 mins,40 mins, 1 hr 25 mins,8 ,8,485,29g,13g,132mg,1093mg,15g,2g,1g,39g,10mg,125mg,5mg,657mg,4.7,33,10 mins,,8 servings
58,6580565,35 mins, 1 hr, 2 hrs 35 mins,4 ,4,385,23g,8g,77mg,1471mg,23g,8g,12g,24g,29mg,94mg,4mg,1309mg,4.6,55, 1 hr,,4 servings
