,id_recipe,Prep Time:,Cook Time:,Stand Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Rest Time:,Yield:,Additional Time:
23,6665046,15 mins,35 mins,,50 mins,8 ,8,281,15g,5g,102mg,472mg,1g,0g,0g,34g,0mg,17mg,2mg,555mg,4.7,578,,,
24,6575344,30 mins,10 mins,, 2 hrs 40 mins,12 ,12,189,8g,2g,65mg,354mg,4g,1g,1g,24g,25mg,22mg,1mg,467mg,4.7,"1,037",,, 2 hrs
25,6587467,15 mins,10 mins,,25 mins,6 ,6,249,12g,3g,84mg,406mg,6g,0g,2g,27g,2mg,12mg,2mg,419mg,4.5,472,,6 servings,
26,6736673,10 mins,35 mins,,55 mins,6 ,6,437,24g,4g,65mg,625mg,27g,1g,1g,29g,,59mg,3mg,375mg,4.4,808,,6 servings,10 mins
27,6578612,25 mins, 1 hr,, 1 hr 25 mins,6 ,6,252,9g,2g,146mg,199mg,7g,1g,1g,33g,0mg,52mg,2mg,536mg,4.4,158,,,
28,6570225,5 mins,25 mins,,45 mins,8 ,8,165,7g,2g,63mg,123mg,5g,0g,3g,20g,1mg,6mg,1mg,339mg,4.7,20,,8 servings,15 mins
29,6650058,15 mins,35 mins,,50 mins,4 ,4,356,25g,10g,122mg,390mg,3g,1g,1g,29g,7mg,39mg,2mg,531mg,4.7,430,,4 servings,
30,6581689,10 mins,45 mins,,55 mins,6 ,6,440,11g,6g,86mg,200mg,63g,0g,43g,24g,8mg,31mg,2mg,465mg,4.6,163,,6 servings,
31,6664832,15 mins,10 mins,,25 mins,4 ,4,360,18g,3g,49mg,307mg,39g,0g,0g,24g,3mg,16mg,1mg,299mg,4.6,58,,4 servings,
32,6600569,10 mins,55 mins,, 1 hr 15 mins,8 ,8,228,6g,2g,74mg,508mg,16g,0g,15g,27g,0mg,25mg,2mg,462mg,4.8,21,,8 servings,10 mins
33,6569372,10 mins,30 mins,,40 mins,4 ,4,286,7g,2g,61mg,620mg,31g,4g,8g,25g,14mg,48mg,2mg,548mg,4.8,16,,4 servings,
34,6648198,20 mins,35 mins,,55 mins,4 ,4,297,11g,4g,82mg,515mg,23g,1g,20g,26g,12mg,35mg,2mg,573mg,4.6,309,,4 servings,
35,6648618,10 mins,20 mins,, 1 hr 30 mins,4 ,4,313,8g,3g,95mg,1121mg,28g,0g,25g,32g,4mg,24mg,2mg,544mg,4.8,169,,, 1 hr
36,6650303,5 mins, 1 hr 5 mins,, 1 hr 20 mins,4 ,4,435,34g,22g,49mg,525mg,12g,3g,2g,24g,2mg,49mg,4mg,599mg,4.7,21,,,10 mins
37,6739646,15 mins,45 mins,, 1 hr 15 mins,4 ,4,284,14g,3g,110mg,1295mg,15g,2g,7g,24g,12mg,54mg,3mg,477mg,4.3,46,,4 servings,15 mins
38,6577720,20 mins, 1 hr 30 mins,, 1 hr 50 mins,3 ,3,349,12g,6g,85mg,403mg,28g,2g,3g,32g,3mg,160mg,4mg,542mg,4.6,36,,3 servings,
39,6664653,10 mins,20 mins,, 1 hr 30 mins,4 ,4,190,4g,1g,73mg,1261mg,9g,1g,6g,28g,32mg,23mg,2mg,601mg,4.3,124,,4 servings, 1 hr
