,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6574187,Creamy Penne Pasta Primavera,15 mins,20 mins,35 mins,6 ,6 servings,6,518,22g,12g,66mg,250mg,65g,6g,6g,18g,16mg,221mg,4mg,552mg,4.5,47,
1,6738705,Shrimp Primavera,30 mins,30 mins, 1 hr,6 ,6 servings,6,460,6g,1g,230mg,559mg,66g,6g,8g,38g,40mg,131mg,8mg,921mg,4.6,96,
2,6736515,No-Cream Pasta Primavera,25 mins,35 mins, 1 hr,6 ,,6,406,15g,5g,15mg,252mg,54g,6g,4g,14g,38mg,171mg,4mg,467mg,4.5,601,
3,6579720,Pasta Primavera with Italian Turkey Sausage,20 mins,30 mins,50 mins,8 ,8 servings,8,477,22g,4g,38mg,621mg,50g,5g,3g,21g,28mg,93mg,3mg,403mg,4.7,834,
4,6574168,Healthy Pasta Primavera,20 mins,20 mins,40 mins,4 ,4 servings,4,281,8g,2g,9mg,338mg,42g,8g,5g,16g,34mg,175mg,4mg,714mg,4.8,10,
5,6589677,Penne Primavera,15 mins,20 mins,35 mins,4 ,4 servings,4,347,8g,3g,9mg,427mg,54g,6g,5g,15g,44mg,163mg,3mg,303mg,4.2,108,
6,6599920,Creamy Shrimp Pasta Primavera,20 mins,20 mins,40 mins,4 ,4 servings,4,495,32g,14g,237mg,333mg,26g,2g,2g,24g,16mg,88mg,4mg,333mg,4.8,19,
7,6599382,Chicken Primavera Alfredo,20 mins,30 mins,50 mins,6 ,,6,974,71g,43g,268mg,441mg,62g,4g,4g,27g,42mg,191mg,3mg,459mg,4.5,35,
8,6738704,Chef John's Pasta Primavera,20 mins,20 mins,45 mins,6 ,6 servings,6,590,27g,5g,8mg,607mg,73g,8g,8g,19g,38mg,204mg,6mg,708mg,4.4,201,5 mins
9,6603740,Pasta Primavera with Cauliflower Sauce,15 mins,25 mins,40 mins,4 ,4 servings,4,295,7g,2g,7mg,314mg,48g,11g,8g,15g,156mg,218mg,3mg,715mg,4.1,28,
10,6586996,Baked Pasta Primavera,25 mins,20 mins,45 mins,8 ,8 servings,8,270,12g,6g,26mg,369mg,30g,3g,5g,13g,9mg,168mg,2mg,312mg,4.5,15,
11,6600494,Lemon Orzo Primavera,15 mins,15 mins,30 mins,4 ,4 servings,4,279,6g,2g,4mg,295mg,45g,4g,4g,10g,12mg,91mg,2mg,248mg,4.2,202,
12,6599020,Shrimp Primavera with Goat Cheese,15 mins,25 mins,40 mins,4 ,4 servings,4,519,19g,9g,203mg,750mg,55g,8g,4g,38g,26mg,214mg,7mg,573mg,4.9,21,
13,6571345,Light Primavera Pasta,10 mins,20 mins,30 mins,8 ,8 servings,8,292,8g,1g,,266mg,48g,2g,5g,8g,7mg,18mg,2mg,208mg,,,
14,6601929,Skillet Gnocchi Primavera with Lemon Cream Sauce,10 mins,20 mins,30 mins,5 ,5 servings,5,358,24g,13g,63mg,421mg,29g,5g,6g,10g,76mg,186mg,2mg,607mg,4.5,2,
15,6578034,Baked Ziti Primavera,30 mins, 1 hr 30 mins, 2 hrs,24 ,24 servings,24,303,8g,3g,14mg,474mg,46g,5g,9g,12g,9mg,180mg,3mg,568mg,4.0,9,
16,6583387,Garlicky Shrimp Primavera with Shishito Peppers,15 mins,25 mins,40 mins,8 ,8 servings,8,367,13g,4g,187mg,470mg,36g,3g,3g,27g,48mg,79mg,5mg,478mg,,,
17,6584740,Creamy Pasta Primavera with Chicken and Sausage,20 mins,25 mins,45 mins,8 ,8 servings,8,594,31g,13g,59mg,1162mg,62g,6g,13g,20g,57mg,65mg,3mg,660mg,4.0,1,
18,6598850,Balsamic Pasta Primavera,10 mins,15 mins,25 mins,4 ,4 servings,4,428,23g,3g,,62mg,49g,8g,3g,10g,8mg,23mg,1mg,155mg,,,
19,6568650,Instant Pot Pasta Primavera,5 mins,20 mins,30 mins,6 ,,6,247,5g,3g,10mg,316mg,42g,5g,5g,8g,33mg,80mg,3mg,423mg,,,5 mins
20,6561412,Tortellini Primavera with Gorgonzola Sauce,15 mins,20 mins,35 mins,6 ,6 servings,6,514,32g,17g,99mg,745mg,42g,4g,5g,17g,26mg,170mg,1mg,270mg,,,
