,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Active Time:,Yield:
0,7643060,Shrimp and Pepper Stir-Fry,20 mins,8 mins,28 mins,4 ,4,353,10g,2g,360mg,2309mg,21g,3g,8g,44g,136mg,218mg,3mg,717mg,5.0,1,,,
1,7561267,Skillet Shrimp Fajitas with Cilantro-Lime Cream,25 mins,15 mins,40 mins,5 ,5,1167,48g,12g,410mg,3199mg,125g,15g,7g,62g,90mg,347mg,9mg,1367mg,5.0,2,,,
2,6588320,Chicken in Black Bean Sauce,15 mins,15 mins,50 mins,6 ,6,266,8g,1g,102mg,453mg,9g,1g,4g,38g,18mg,32mg,2mg,410mg,4.8,4,20 mins,,
3,7370277,Gochujang Noodles,10 mins,15 mins,25 mins,4 ,4,299,15g,2g,0mg,1683mg,39g,5g,15g,8g,100mg,218mg,3mg,564mg,5.0,1,,,
4,7111657,Yaki Udon,,15 mins,35 mins,4 ,4,212,11g,1g,,1183mg,23g,7g,,10g,,,,1552mg,4.0,2,,20 mins,
5,7104586,Mango Chicken Stir-Fry,25 mins,15 mins,40 mins,5 ,5,428,9g,2g,132mg,1110mg,30g,4g,,55g,,,,1053mg,5.0,1,,,
6,7104127,Teriyaki Shrimp Noodles,10 mins,10 mins,20 mins,4 ,4,491,7g,1g,173mg,2311mg,67g,5g,,34g,,,,924mg,5.0,1,,,
7,7099244,Spicy Chicken and Green Bean Stir Fry,20 mins,15 mins,35 mins,4 ,4,460,22g,4g,189mg,1077mg,16g,4g,,48g,,,,866mg,5.0,2,,,
8,7096750,Chicken Teriyaki and Noodles,10 mins,10 mins,20 mins,6 ,6,596,27g,4g,63mg,1406mg,63g,6g,,26g,,,,699mg,5.0,3,,,
9,7094398,Green Beans and Chicken,20 mins,10 mins,30 mins,4 ,4,300,10g,2g,66mg,634mg,22g,5g,,29g,,,,589mg,5.0,3,,,
10,6744700,Chicken & Vegetable Stir-Fry,30 mins,25 mins,55 mins,4 ,4,362,3g,1g,85mg,518mg,44g,2g,,38g,,,,407mg,3.0,1,,,
11,6650587,Quick Beef Stir-Fry,15 mins,10 mins,25 mins,4 ,4,268,16g,4g,49mg,526mg,9g,3g,3g,23g,70mg,92mg,3mg,563mg,4.4,422,,,4 servings
12,6664915,Chicken Stir-Fry,20 mins,20 mins,40 mins,6 ,6,700,12g,3g,161mg,1790mg,77g,5g,14g,68g,66mg,109mg,6mg,1001mg,4.5,"1,396",,,
13,6663481,Quick and Easy Pancit,15 mins,15 mins,30 mins,6 ,6,369,5g,1g,35mg,789mg,65g,7g,7g,18g,76mg,110mg,2mg,568mg,4.3,496,,,
14,6589175,Mushroom Stir-Fry,30 mins,10 mins,40 mins,4 ,4,189,11g,2g,,776mg,19g,4g,7g,5g,10mg,37mg,3mg,385mg,5.0,4,,,
15,6649138,Kung Pao Chicken,30 mins,30 mins, 1 hr 30 mins,4 ,4,437,23g,4g,66mg,596mg,25g,4g,7g,34g,6mg,49mg,2mg,621mg,4.3,"1,448",30 mins,,
16,6575536,Chop Suey,20 mins,20 mins,40 mins,4 ,4,270,18g,5g,39mg,803mg,12g,3g,4g,16g,21mg,40mg,1mg,331mg,4.6,184,,,
17,6664507,Sweet and Sour Pork,30 mins,30 mins, 2 hrs,4 ,4,663,35g,7g,43mg,1085mg,75g,2g,52g,14g,36mg,57mg,2mg,517mg,4.7,"1,172", 1 hr,,
18,6650463,Mongolian Beef and Spring Onions,15 mins,10 mins,35 mins,4 ,4,391,12g,3g,27mg,1862mg,55g,3g,39g,18g,22mg,130mg,4mg,606mg,4.6,"1,165",10 mins,,
