,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Bake Time:,Cool Time:,Stand Time:,Vitamin C
0,6663311,15 mins,15 mins,20 mins,50 mins,36 ,3 dozen,36,149,9g,3g,11mg,73mg,15g,1g,11g,4g,17mg,0mg,114mg,4.7,38,,,,,
1,6575238,20 mins,25 mins,30 mins, 1 hr 15 mins,48 ,48 cookie bars,48,165,9g,5g,19mg,108mg,21g,1g,14g,1g,21mg,0mg,20mg,,,,,,,
2,6833554,30 mins,,, 2 hrs 15 mins,30 ,30 gingerbread cookies,30,91,5g,3g,18mg,100mg,12g,0g,,0g,,,76mg,5.0,4, 1 hr,15 mins,30 mins,,
3,6830099,25 mins,10 mins,, 2 hrs 5 mins,16 ,16 cookies,16,118,6g,4g,15mg,61mg,15g,0g,,1g,,,16mg,3.0,3, 1 hr,,30 mins,,
4,6830035,15 mins,22 mins,,42 mins,21 ,21 cookies,21,157,9g,6g,23mg,110mg,18g,3g,,2g,,,103mg,5.0,3,,,,5 mins,
5,6829563,20 mins, 1 hr,, 1 hr 20 mins,90 ,90 meringues,90,16,,,,4mg,4g,,,0g,,,7mg,5.0,1,,,,,
6,6649915,20 mins,10 mins,30 mins, 1 hr,24 ,2 dozen cookies,24,185,10g,5g,28mg,82mg,22g,1g,12g,2g,27mg,1mg,43mg,4.5,131,,,,,
7,6664789,20 mins,,, 1 hr 26 mins,60 ,60 cookies,60,110,5g,3g,25mg,93mg,15g,0g,7g,2g,14mg,1mg,17mg,4.5,"11,116", 1 hr,6 mins,,,
8,6650740,20 mins,10 mins,,30 mins,48 ,4 dozen,48,86,4g,3g,14mg,60mg,12g,0g,6g,1g,6mg,0mg,11mg,4.5,"8,596",,,,,
9,6649624,20 mins,10 mins,,30 mins,48 ,4 dozen,48,146,8g,4g,10mg,76mg,19g,1g,,2g,11mg,1mg,52mg,4.6,"18,838",,,,,
10,6740992,15 mins,15 mins,,30 mins,18 ,1 1/2 dozen,18,285,14g,8g,42mg,111mg,40g,2g,28g,3g,23mg,1mg,107mg,4.6,"12,390",,,,,
11,6663365,20 mins,10 mins,,30 mins,48 ,48 cookies,48,92,4g,2g,13mg,55mg,12g,0g,7g,1g,4mg,0mg,33mg,4.8,"6,978",,,,,
12,6664203,20 mins,10 mins,5 mins,35 mins,24 ,2 dozen,24,143,6g,1g,8mg,147mg,21g,0g,11g,2g,13mg,1mg,71mg,4.7,"6,823",,,,,0mg
13,6664558,20 mins,30 mins, 4 hrs 10 mins, 5 hrs,72 ,6 dozen,72,58,2g,0g,10mg,34mg,10g,1g,6g,1g,11mg,0mg,26mg,4.7,"2,480",,,,,
14,6650775,15 mins,10 mins,15 mins,40 mins,60 ,60 cookies,60,108,6g,3g,14mg,85mg,13g,1g,9g,1g,7mg,0mg,39mg,4.6,538,,,,,
15,6650202,20 mins,15 mins,30 mins, 1 hr 5 mins,36 ,36 cookies,36,122,3g,2g,13mg,121mg,22g,1g,15g,1g,15mg,1mg,30mg,4.7,"4,565",,,,,0mg
16,6648990,20 mins,15 mins, 2 hrs, 2 hrs 35 mins,48 ,4 dozen,48,97,4g,1g,8mg,81mg,14g,0g,6g,1g,10mg,1mg,16mg,4.5,"1,619",,,,,
17,6650664,20 mins,10 mins, 4 hrs, 4 hrs 30 mins,24 ,2 dozen cookies,24,158,6g,4g,23mg,125mg,24g,1g,11g,2g,26mg,1mg,133mg,4.6,380,,,,,
