,id_recipe,name,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Prep Time:,Cook Time:,Total Time:,Total Sugars,Calcium,Iron,Vitamin C,Additional Time:,Cool Time:,Chill Time:
0,6747593,Johns Creek Chocolate Cupcakes,12 ,12 cupcakes,12,554,28g,17g,94mg,207mg,83g,12g,11g,619mg,4.8,4,,,,,,,,,,
1,6649360,Chocolate Cupcakes,16 ,16 cupcakes,16,158,4g,2g,31mg,115mg,30g,2g,3g,104mg,4.1,"1,542",15 mins,15 mins,30 mins,20g,71mg,1mg,,,,
2,6601446,Red Velvet Cupcakes,30 ,30 cupcakes,30,277,13g,8g,58mg,174mg,38g,1g,3g,73mg,4.4,"1,549",20 mins,20 mins,40 mins,28g,30mg,1mg,0mg,,,
3,6581638,Black Bottom Cupcakes,24 ,24 cupcakes,24,171,9g,4g,18mg,145mg,22g,1g,2g,63mg,4.4,869,30 mins,30 mins, 1 hr,15g,14mg,1mg,,,,
4,6663673,Pumpkin Cupcakes,24 ,24 cupcakes,24,237,10g,6g,41mg,218mg,36g,1g,3g,71mg,4.6,580,25 mins,25 mins, 1 hr 40 mins,25g,66mg,1mg,0mg,50 mins,,
5,7375874,Vanilla Bean Cupcakes with Espresso Frosting,24 servings,24 cupcakes,24,385,21g,13g,100mg,173mg,47g,0g,3g,61mg,5.0,3,30 mins,30 mins, 2 hrs,38g,56mg,1mg,0mg,,30 mins,30 mins
6,7182120,Rhubarb Upside-Down Cupcakes,18 ,18 cupcakes,18,219,12g,4g,42mg,130mg,26g,0g,3g,89mg,,,20 mins,25 mins,45 mins,20g,60mg,1mg,1mg,,,
7,6649779,Vegan Cupcakes,18 ,18 cupcakes,18,152,6g,5g,,167mg,23g,1g,2g,32mg,4.6,466,10 mins,15 mins,25 mins,12g,50mg,1mg,,,,
8,6577174,Vanilla Cupcake,12 ,12 cupcakes,12,213,12g,7g,74mg,289mg,24g,0g,3g,40mg,3.6,362,15 mins,20 mins,35 mins,13g,63mg,1mg,,,,
9,6572840,Quick and Simple Fairy Cakes,24 ,2 dozen,24,144,9g,5g,51mg,182mg,15g,0g,2g,25mg,4.4,17,15 mins,10 mins,25 mins,8g,38mg,1mg,,,,
10,6649633,Cream-Filled Cupcakes,36 ,,36,196,9g,2g,14mg,151mg,27g,1g,2g,40mg,4.4,464,15 mins,20 mins,50 mins,18g,14mg,1mg,,15 mins,,
11,6578191,Creepy Halloween Skull Cupcakes,24 ,24 cupcakes,24,276,13g,4g,25mg,234mg,39g,0g,3g,182mg,4.3,6,30 mins,20 mins, 2 hrs 35 mins,31g,27mg,1mg,, 1 hr 45 mins,,
12,6650722,Lemon Cupcakes,30 ,,30,232,13g,8g,64mg,260mg,27g,0g,3g,54mg,4.4,569,45 mins,20 mins, 1 hr 25 mins,17g,68mg,1mg,2mg,20 mins,,
13,6664676,Brownie Cupcakes,18 ,18 cupcakes,18,242,14g,9g,68mg,89mg,28g,1g,3g,60mg,4.2,176,15 mins,35 mins, 1 hr,22g,13mg,1mg,,10 mins,,
14,6591920,Strawberry Cheesecake Bites,12 ,,12,123,8g,5g,21mg,61mg,11g,1g,2g,69mg,4.9,111,25 mins,5 mins,50 mins,9g,20mg,1mg,11mg,20 mins,,
15,6594741,Mini Cheesecakes III,6 ,6 mini cheesecakes,6,219,16g,9g,72mg,171mg,15g,0g,4g,65mg,4.7,639,20 mins,25 mins, 1 hr 15 mins,12g,37mg,1mg,1mg,30 mins,,
