,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Cholesterol,Yield:
0,6664277,Quick and Easy Refried Beans,10 mins,10 mins,20 mins,6 ,6,132,6g,1g,323mg,16g,5g,0g,5g,3mg,50mg,2mg,264mg,4.6,347,,,
1,6598703,Instant Pot Pinto Beans (No Soaking),15 mins, 1 hr, 1 hr 25 mins,8 ,8,236,3g,1g,973mg,39g,9g,3g,15g,32mg,73mg,3mg,880mg,4.9,46,10 mins,7mg,
2,6739877,Refried Beans Without the Refry,15 mins, 8 hrs, 8 hrs 15 mins,15 ,15,139,1g,0g,785mg,25g,6g,1g,9g,4mg,53mg,2mg,559mg,4.7,"2,588",,,
3,6569847,Instant Pot® Refried Beans,5 mins,50 mins, 1 hr 5 mins,10 ,10,212,6g,1g,477mg,30g,7g,1g,10g,4mg,63mg,2mg,653mg,4.7,15,10 mins,,10 servings
4,6572554,Frijoles Refritos (Refried Beans),15 mins, 6 hrs 3 mins, 6 hrs 18 mins,12 ,12,215,10g,1g,210mg,24g,6g,1g,8g,3mg,56mg,2mg,533mg,4.8,12,,,12 servings
5,6738405,Chef John's Refried Beans,10 mins, 2 hrs, 12 hrs 10 mins,8 ,8,317,14g,5g,491mg,38g,12g,2g,12g,5mg,79mg,3mg,628mg,4.8,81, 10 hrs,12mg,8 servings
6,6600743,Instant Pot® Charro (Refried Beans),20 mins,55 mins, 1 hr 25 mins,8 ,8,184,1g,0g,114mg,34g,8g,3g,11g,6mg,74mg,3mg,781mg,4.6,76,10 mins,,8 servings
7,6577654,Vegetarian Refried Beans,15 mins, 4 hrs 15 mins, 4 hrs 30 mins,12 ,12,161,3g,0g,595mg,25g,6g,1g,9g,5mg,58mg,3mg,588mg,4.4,151,,,
8,6593811,Refried Black Beans,15 mins, 1 hr 20 mins, 9 hrs 35 mins,12 ,12,255,2g,1g,272mg,46g,11g,4g,15g,13mg,94mg,4mg,1168mg,4.4,23, 8 hrs,,
9,6602465,Best Refried Beans,15 mins, 1 hr 35 mins, 9 hrs 50 mins,8 ,8,169,1g,0g,295mg,31g,8g,2g,10g,6mg,69mg,3mg,659mg,5.0,2, 8 hrs,,
10,6600464,Fat-Free Refried Beans,10 mins,15 mins,25 mins,4 ,4,134,2g,0g,1044mg,23g,9g,2g,8g,5mg,54mg,3mg,430mg,4.1,124,,,
11,6569841,Rush Hour Refried Beans,10 mins,10 mins,20 mins,4 ,4,68,1g,0g,220mg,12g,4g,0g,4g,1mg,36mg,1mg,194mg,4.6,64,,,4 servings
12,6579050,Spicy Cheesy Refried Beans,10 mins,30 mins,40 mins,6 ,6,224,15g,9g,541mg,13g,4g,1g,10g,1mg,180mg,2mg,57mg,4.6,54,,46mg,
13,6584536,Frijoles I,30 mins, 4 hrs, 4 hrs 30 mins,15 ,15,224,12g,8g,427mg,21g,5g,1g,9g,3mg,96mg,2mg,457mg,4.3,75,,32mg,1 - 9x13 inch pan
14,6568421,Buffy's Refried Beans,5 mins,15 mins,20 mins,6 ,6,282,18g,7g,439mg,23g,7g,0g,7g,1mg,65mg,2mg,363mg,4.6,101,,16mg,6 servings
15,6605175,Vegan Refried Beans,5 mins,10 mins,15 mins,6 ,6,202,3g,1g,143mg,34g,11g,3g,11g,4mg,63mg,3mg,609mg,3.8,16,,,6 servings
16,6581970,Ultimate Refried Beans with Cheese,20 mins, 3 hrs 35 mins, 15 hrs 55 mins,10 ,10,173,8g,4g,785mg,17g,4g,2g,9g,1mg,132mg,2mg,412mg,,, 12 hrs,18mg,10 servings
17,6603204,Frijoles II,15 mins, 6 hrs, 6 hrs 15 mins,4 ,4,320,7g,2g,202mg,47g,11g,2g,17g,5mg,89mg,4mg,1049mg,4.1,44,,10mg,4 servings
18,6593559,Easy Refried Beans,5 mins,10 mins,15 mins,6 ,6,134,0g,0g,545mg,25g,10g,1g,9g,5mg,52mg,3mg,453mg,,,,,6 servings
