,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6664032,Strawberry Shortcake,30 mins,20 mins,50 mins,8 ,1 8-inch round cake,8,430,21g,10g,66mg,347mg,55g,4g,23g,7g,79mg,209mg,3mg,305mg,4.3,561,
1,6605150,Easy Strawberry Shortcake,15 mins,,30 mins,6 ,,6,311,9g,5g,82mg,180mg,55g,2g,37g,5g,60mg,89mg,2mg,260mg,4.9,23,15 mins
2,7552490,Blueberry Shortcake,20 mins,30 mins,50 mins,6 ,6 shortcakes,6,567,31g,19g,118mg,361mg,67g,3g,31g,7g,3mg,189mg,3mg,154mg,5.0,3,
3,6604425,Old-Fashioned Shortcake,15 mins,15 mins,40 mins,8 ,1 8-inch shortcake,8,327,13g,8g,52mg,483mg,50g,1g,26g,4g,,159mg,2mg,61mg,4.4,101,10 mins
4,6736523,Buttermilk Strawberry Shortcake,20 mins,15 mins, 1 hr 5 mins,12 ,12 servings,12,322,13g,8g,35mg,585mg,48g,3g,20g,5g,66mg,145mg,2mg,255mg,4.8,253,30 mins
5,6736624,"Red, White and Blue Strawberry Shortcake",20 mins,30 mins,50 mins,18 ,1 9x13-inch cake,18,182,6g,3g,1mg,189mg,31g,2g,18g,2g,25mg,46mg,1mg,98mg,4.6,229,
6,6578409,Mom's Sponge Cake,15 mins,30 mins,45 mins,12 ,1 9x13-inch cake,12,275,6g,3g,74mg,238mg,51g,1g,35g,5g,,82mg,1mg,78mg,4.8,62,
7,6587128,Classic Strawberry Shortcakes,20 mins,12 mins,32 mins,6 ,6 servings,6,409,21g,10g,44mg,646mg,53g,3g,21g,5g,60mg,126mg,2mg,263mg,4.8,79,
8,6578075,Skillet Strawberry Shortcake,40 mins,25 mins, 1 hr 5 mins,12 ,12 servings,12,363,20g,12g,76mg,310mg,43g,2g,15g,5g,41mg,108mg,2mg,186mg,4.8,9,
9,6581025,Super Easy Strawberry Shortcake Biscuits,10 mins,20 mins,30 mins,12 ,12 biscuits,12,232,10g,3g,33mg,584mg,31g,1g,10g,5g,0mg,247mg,2mg,86mg,3.9,7,
10,6592815,Old Fashioned Strawberry Shortcake,15 mins,15 mins,40 mins,8 ,1 8-inch cake,8,391,15g,6g,17mg,524mg,61g,2g,35g,6g,45mg,181mg,2mg,232mg,4.5,84,10 mins
11,6569139,Chocolate Strawberry Shortcake,25 mins,15 mins,50 mins,12 ,1 9-inch layer cake,12,313,16g,11g,22mg,381mg,41g,2g,,4g,35mg,111mg,2mg,204mg,4.2,57,10 mins
