,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Dietary Fiber,Total Sugars
0,6663357,Fudge,5 mins,5 mins, 2 hrs, 2 hrs 10 mins,16 ,16 pieces,16,359,18g,11g,16mg,32mg,45g,5g,1mg,70mg,0mg,92mg,4.5,"1,776",,
1,6737629,The Original Fantasy Fudge,5 mins,10 mins, 1 hr, 1 hr 15 mins,48 ,3 pounds,48,141,7g,2g,1mg,41mg,21g,1g,0mg,15mg,0mg,49mg,4.5,423,1g,
2,6649884,Old-Fashioned Chocolate Fudge,20 mins,15 mins,50 mins, 1 hr 25 mins,64 ,64 1-inch squares,64,35,1g,1g,2mg,2mg,7g,0g,,6mg,0mg,16mg,4.3,721,0g,
3,6739684,Aunt Teen's Creamy Chocolate Fudge,10 mins,20 mins, 2 hrs, 2 hrs 30 mins,48 ,1 8x8-inch pan,48,124,6g,3g,5mg,26mg,18g,1g,0mg,11mg,0mg,41mg,4.6,"2,450",0g,13g
4,6664820,Pumpkin Fudge,25 mins,25 mins, 1 hr 10 mins, 2 hrs,16 ,1 9x9-inch pan,16,256,6g,4g,9mg,71mg,50g,2g,1mg,65mg,0mg,58mg,3.8,455,0g,45g
5,6575114,Boardwalk Quality Maple Walnut Fudge,10 mins,5 mins, 1 hr, 1 hr 15 mins,18 ,1 8x8-inch baking dish,18,328,22g,10g,21mg,78mg,30g,5g,1mg,157mg,0mg,126mg,4.6,177,1g,29g
6,6576596,Million Dollar Fudge,,,,,48 ,2 9x9 inch pans,48,206,9g,4g,4mg,18mg,33g,2g,0mg,31mg,1mg,105mg,4.6,236,1g,29g
7,6606158,Toll House® Famous Fudge,10 mins,10 mins, 2 hrs, 2 hrs 20 mins,49 ,49 pieces,49,74,3g,2g,2mg,22mg,12g,1g,0mg,11mg,,33mg,4.4,44,1g,11g
8,6602673,Orange Cream Fudge,15 mins,5 mins, 2 hrs, 2 hrs 20 mins,24 ,24 servings,24,271,13g,8g,27mg,64mg,39g,1g,,43mg,,8mg,4.5,128,,36g
9,6597256,Foolproof Chocolate Fudge,,,,,32 ,2 pounds,32,146,7g,4g,4mg,31mg,14g,2g,,11mg,1mg,74mg,4.4,244,1g,13g
10,6601019,Chocolate Walnut Fudge,10 mins,15 mins, 1 hr 35 mins, 2 hrs,36 ,1 - 8x8 inch dish,36,121,6g,3g,8mg,25mg,17g,1g,0mg,16mg,0mg,44mg,4.2,115,1g,15g
11,6606150,Layered Mint Chocolate Fudge,20 mins,, 2 hrs, 2 hrs 20 mins,30 ,1 3/4 pounds,30,146,7g,4g,6mg,25mg,15g,1g,,15mg,0mg,57mg,4.4,161,1g,14g
12,6578305,Never-Never Ever-Ever Fail Fudge,15 mins,5 mins,40 mins, 1 hr,64 ,1 - 8x8 inch dish,64,48,2g,1g,1mg,23mg,9g,1g,0mg,9mg,0mg,22mg,3.7,92,0g,8g
13,6595415,Gaye's Microwave Fudge,3 mins,2 mins,10 mins,15 mins,36 ,1 9x9-inch dish,36,81,3g,2g,7mg,19mg,15g,0g,,4mg,0mg,22mg,4.3,222,0g,
14,6562106,The Best Sugar-Free Fudge,15 mins,2 mins, 2 hrs, 2 hrs 17 mins,15 ,1 8-inch square pan,15,246,23g,12g,9mg,39mg,15g,7g,1mg,115mg,6mg,375mg,1.0,1,6g,4g
15,6604810,Chocolate Peanut Butter Swirl Fudge,15 mins,, 3 hrs, 3 hrs 15 mins,24 ,1 1/2 pounds,24,207,9g,8g,8mg,96mg,16g,5g,,1mg,0mg,7mg,3.9,54,0g,15g
16,6583035,Never-Fail Fudge,15 mins,15 mins,15 mins,45 mins,12 ,1 - 9x9 inch dish,12,283,13g,5g,16mg,93mg,43g,2g,0mg,19mg,1mg,104mg,4.1,49,2g,40g
17,6593632,Chocolate Peanut Butter Fudge,,,,,32 ,2 pounds,32,115,3g,1g,3mg,33mg,21g,2g,0mg,24mg,0mg,61mg,4.1,211,1g,20g
18,6583613,Creamy Eggnog Fudge,5 mins,15 mins, 2 hrs, 2 hrs 20 mins,64 ,64 pieces,64,89,4g,3g,8mg,24mg,12g,1g,0mg,16mg,,23mg,4.3,68,0g,11g
19,6741810,German Chocolate Fudge,15 mins,6 mins, 2 hrs, 2 hrs 21 mins,80 ,80 servings,80,134,6g,3g,2mg,13mg,21g,1g,0mg,16mg,0mg,38mg,4.6,165,1g,15g
20,6573094,Old-Fashioned Fudge,15 mins,30 mins,,45 mins,50 ,50 squares,50,41,1g,0g,2mg,17mg,9g,0g,,7mg,0mg,21mg,3.9,42,0g,8g
21,6598466,Creamy Guilt-Free Fudge,5 mins,5 mins, 3 hrs, 3 hrs 10 mins,25 ,25 squares,25,79,3g,2g,1mg,9mg,12g,1g,,21mg,,33mg,4.2,21,1g,11g
22,6577423,Dark Chocolate Peppermint Fudge,10 mins,5 mins, 1 hr, 1 hr 15 mins,16 ,16 servings,16,285,15g,9g,16mg,58mg,41g,3g,1mg,81mg,1mg,207mg,4.4,18,2g,35g
23,6599685,3-Minute Fudge,5 mins,3 mins, 3 hrs, 3 hrs 8 mins,35 ,,35,78,4g,2g,3mg,12mg,11g,1g,0mg,28mg,0mg,68mg,4.5,18,1g,10g
24,6570044,Chocolate Orange Fudge,5 mins,5 mins, 2 hrs, 2 hrs 10 mins,20 ,2 pounds,20,183,10g,5g,7mg,27mg,24g,3g,1mg,65mg,1mg,161mg,4.6,59,2g,22g
25,6603726,Remarkable Fudge,,,,,58 ,1 -13x9 inch pan,58,141,7g,3g,10mg,32mg,21g,1g,0mg,19mg,0mg,48mg,4.2,135,1g,19g
26,6577238,Chocolate Tiffin,10 mins,5 mins, 1 hr, 1 hr 15 mins,20 ,20 servings,20,208,12g,7g,16mg,98mg,26g,2g,,24mg,1mg,63mg,4.0,2,0g,8g
27,6577449,Irish Cream Truffle Fudge,,30 mins, 1 hr 15 mins, 1 hr 45 mins,24 ,24 pieces,24,383,20g,10g,10mg,37mg,47g,4g,,51mg,1mg,155mg,4.5,286,3g,42g
28,6584805,Elisa's Famous Fudge,20 mins,10 mins, 2 hrs, 2 hrs 30 mins,48 ,48 pieces,48,82,3g,2g,2mg,26mg,13g,1g,0mg,11mg,0mg,30mg,4.2,56,0g,12g
29,6575443,Vegan Fudge,5 mins,5 mins, 3 hrs, 3 hrs 10 mins,25 ,25 pieces,25,120,8g,6g,,10mg,14g,1g,,,,,,,2g,
30,6569018,Caramel Peanut Fudge,30 mins,30 mins, 1 hr 20 mins, 2 hrs 20 mins,96 ,8 dozen,96,85,5g,2g,4mg,50mg,10g,2g,,15mg,0mg,41mg,4.7,148,0g,8g
31,6597197,Jack Daniel's Fudge,10 mins,5 mins, 2 hrs, 2 hrs 15 mins,24 ,24 pieces,24,115,8g,3g,2mg,22mg,12g,1g,0mg,25mg,1mg,87mg,5.0,2,1g,10g
32,6583599,Peanut Butter and Chocolate Fudge,10 mins,5 mins, 2 hrs, 2 hrs 15 mins,32 ,32 servings,32,159,9g,5g,8mg,67mg,18g,4g,0mg,54mg,0mg,88mg,5.0,2,0g,16g
33,6577857,Marian's Fudge,10 mins,30 mins,30 mins, 1 hr 10 mins,20 ,1 - 9x9 inch dish,20,103,2g,1g,3mg,10mg,21g,1g,,18mg,1mg,42mg,4.1,45,1g,21g
34,6590024,Microwave Peanut Butter Chocolate Swirl Fudge,10 mins,5 mins, 1 hr, 1 hr 15 mins,60 ,60 servings,60,105,7g,3g,3mg,37mg,9g,2g,0mg,28mg,0mg,69mg,4.7,7,0g,8g
35,6584593,Perfect Cranberry Cashew Fudge,10 mins,5 mins, 2 hrs, 2 hrs 15 mins,24 ,1 8-inch pan,24,248,12g,6g,11mg,135mg,36g,3g,0mg,40mg,1mg,77mg,5.0,5,1g,30g
36,6578676,Chocolate Almond Fudge,10 mins,5 mins, 2 hrs, 2 hrs 15 mins,36 ,36 pieces,,,,,,,,,,,,,4.4,5,,
37,6584418,Simple and Amazing Peanut Butter-Chocolate Fudge,10 mins,, 6 hrs, 6 hrs 10 mins,24 ,24 servings,24,124,8g,2g,,50mg,13g,3g,,11mg,0mg,113mg,4.7,23,1g,11g
38,6580767,'Nuff Said Maple Bacon Fudge,15 mins,30 mins, 2 hrs 30 mins, 3 hrs 15 mins,25 ,25 servings,25,103,4g,2g,6mg,59mg,17g,1g,,12mg,0mg,43mg,2.0,4,0g,17g
39,6605084,Fat Pete's Fudge,10 mins,15 mins, 1 hr, 1 hr 25 mins,72 ,1 9x13-inch baking dish,72,191,9g,4g,8mg,59mg,26g,3g,0mg,29mg,0mg,85mg,4.7,88,1g,23g
40,6583683,No Fail Chocolate Fudge,,,,,30 ,30 pieces,30,100,5g,3g,6mg,20mg,14g,1g,,5mg,0mg,14mg,4.2,34,0g,7g
41,6574047,Chocolate Sour Cream Fudge,10 mins,15 mins,15 mins,40 mins,64 ,1 1/2 pounds,64,47,2g,1g,2mg,5mg,8g,0g,,4mg,0mg,14mg,4.3,18,0g,7g
42,6569347,Made-in-Minutes No-Cook Fudge,15 mins,, 1 hr, 1 hr 15 mins,16 ,16 servings,16,162,14g,12g,,2mg,12g,1g,0mg,8mg,1mg,87mg,4.1,37,2g,9g
43,6605763,"""Oh Fuddgge"" Fudge",15 mins,10 mins, 2 hrs, 2 hrs 25 mins,78 ,78 pieces,78,79,4g,1g,1mg,29mg,11g,1g,0mg,9mg,0mg,29mg,5.0,2,0g,9g
44,6596605,Double-Decker Marshmallow Fudge,30 mins,17 mins, 10 hrs 15 mins, 11 hrs 2 mins,24 ,1 9x13-inch pan,24,258,10g,6g,11mg,39mg,44g,3g,0mg,55mg,1mg,139mg,4.4,11,1g,42g
45,6574309,Extra Easy Fudge,,,,,48 ,48 pieces,48,124,8g,3g,2mg,56mg,13g,1g,,12mg,0mg,46mg,4.3,189,0g,11g
