,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Total Sugars,Vitamin C,Calcium,Iron,Yield:,Additional Time:
0,7096286,15 mins,35 mins,50 mins,12 ,12,318,22g,9g,42mg,795mg,23g,2g,13g,277mg,5.0,2,,,,,,
1,6663249,15 mins, 8 hrs, 8 hrs 15 mins,8 ,8,473,20g,7g,100mg,1281mg,50g,7g,24g,1126mg,4.6,"2,062",7g,55mg,68mg,3mg,,
2,6649667,, 2 hrs 30 mins, 2 hrs 30 mins,6 ,6,839,41g,13g,147mg,3378mg,69g,12g,50g,2780mg,4.7,"1,388",,,,,,
3,6740935,10 mins,10 mins,20 mins,4 ,4,657,40g,18g,115mg,1930mg,44g,5g,32g,412mg,4.7,678,10g,6mg,517mg,4mg,4 sandwiches,
4,6663160,5 mins, 1 hr 30 mins, 2 hrs,4 ,4,417,28g,9g,146mg,1697mg,5g,0g,28g,253mg,4.6,209,,1mg,25mg,3mg,4 servings,25 mins
5,6664783,15 mins, 6 hrs 15 mins, 6 hrs 30 mins,6 ,6,455,34g,11g,162mg,1877mg,5g,1g,31g,307mg,4.8,"1,010",2g,4mg,28mg,3mg,,
6,6663821,15 mins, 4 hrs 30 mins, 4 hrs 45 mins,6 ,6,918,36g,12g,179mg,2248mg,107g,24g,47g,3120mg,4.7,169,25g,239mg,261mg,8mg,,
7,6664421,40 mins, 6 hrs 10 mins, 18 hrs 50 mins,10 ,10,4709,384g,103g,980mg,22099mg,33g,15g,273g,6063mg,4.6,69,2g,507mg,312mg,42mg,1 4-pound pastrami, 12 hrs
8,6649815,15 mins,30 mins,45 mins,6 ,6,450,24g,10g,82mg,2078mg,31g,5g,28g,527mg,4.4,400,10g,13mg,349mg,4mg,,
9,6664988,30 mins, 2 hrs 45 mins, 11 hrs 15 mins,6 ,6,958,24g,9g,108mg,1434mg,144g,16g,46g,2323mg,4.5,37,16g,157mg,259mg,10mg,, 8 hrs
10,6598884,15 mins, 5 hrs, 5 hrs 15 mins,8 ,8,465,26g,9g,134mg,1560mg,28g,4g,28g,851mg,4.4,68,2g,31mg,34mg,4mg,,
11,6736499,20 mins, 2 hrs 30 mins, 2 hrs 55 mins,16 ,16,286,17g,5g,61mg,1384mg,14g,,17g,355mg,4.4,"1,185",13g,31mg,19mg,2mg,,5 mins
12,6736756,15 mins, 8 hrs, 8 hrs 15 mins,6 ,6,647,34g,11g,123mg,2852mg,46g,9g,39g,1757mg,4.6,212,14g,139mg,117mg,6mg,,
13,6568903,20 mins, 4 hrs 5 mins, 4 hrs 35 mins,12 ,12,487,34g,11g,123mg,2769mg,5g,1g,34g,731mg,4.8,827,,63mg,34mg,4mg,,10 mins
14,6664782,10 mins,30 mins,45 mins,4 ,4,707,17g,8g,85mg,925mg,103g,13g,36g,2592mg,3.6,16,9g,112mg,157mg,6mg,4 servings,5 mins
15,6739494,10 mins,30 mins,40 mins,6 ,6,434,9g,4g,48mg,718mg,66g,8g,23g,1678mg,4.4,243,4g,74mg,58mg,4mg,,
16,6603121,5 mins,2 days,2 days 5 mins,12 ,12,125,9g,3g,49mg,563mg,0g,,9g,72mg,5.0,1,,,4mg,1mg,1 3-pound corned beef,
17,6582466,15 mins,20 mins,35 mins,6 ,6,450,22g,7g,96mg,1135mg,30g,3g,33g,652mg,4.5,98,3g,12mg,37mg,3mg,,
18,6738852,15 mins, 3 hrs 50 mins, 4 hrs 15 mins,8 ,8,380,20g,7g,100mg,1504mg,29g,6g,22g,973mg,4.8,259,7g,46mg,86mg,3mg,8 servings,10 mins
19,6594783,10 mins,15 mins,25 mins,4 ,4,383,12g,5g,59mg,1114mg,41g,3g,25g,367mg,4.4,24,6g,2mg,36mg,3mg,,
20,6594560,10 mins,25 mins,40 mins,4 ,4,658,42g,17g,115mg,2123mg,32g,1g,37g,402mg,4.5,74,10g,4mg,472mg,4mg,4 servings,5 mins
21,6579007,20 mins, 3 hrs, 3 hrs 20 mins,8 ,8,515,24g,9g,117mg,1348mg,49g,6g,26g,1182mg,4.7,262,8g,59mg,78mg,3mg,,
22,6663959,30 mins, 1 hr 55 mins, 2 hrs 35 mins,12 ,12,459,17g,6g,61mg,1427mg,54g,5g,21g,1356mg,4.7,30,,66mg,75mg,4mg,12 servings,10 mins
23,6586015,,,,4 ,4,443,17g,5g,78mg,2152mg,45g,5g,28g,644mg,4.9,8,7g,20mg,95mg,5mg,4 sandwiches,
24,6599963,15 mins, 3 hrs, 3 hrs 15 mins,7 ,7,463,24g,8g,125mg,1725mg,38g,0g,24g,241mg,4.7,319,28g,4mg,27mg,3mg,7 servings,
25,6663981,30 mins, 6 hrs, 6 hrs 30 mins,16 ,16,289,10g,3g,50mg,639mg,39g,5g,12g,687mg,4.4,176,21g,36mg,80mg,2mg,16 servings,
26,6585138,20 mins,30 mins,50 mins,4 ,4,544,26g,11g,104mg,1716mg,44g,6g,37g,725mg,4.1,11,11g,9mg,276mg,3mg,1 - 8x8 inch casserole,
27,6596367,5 mins,3 mins,8 mins,1 ,1,874,59g,20g,152mg,2716mg,53g,6g,36g,409mg,4.5,95,17g,13mg,527mg,5mg,1 serving,
28,6571477,10 mins,25 mins,35 mins,4 ,4,398,29g,15g,113mg,1012mg,9g,3g,25g,418mg,4.7,12,5g,33mg,56mg,2mg,4 servings,
