,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,6650512,30 mins,55 mins, 1 hr 25 mins,4 ,4,676,31g,17g,189mg,1255mg,53g,4g,13g,46g,2mg,1044mg,3mg,708mg,4.7,779,,
1,6573990,25 mins,45 mins, 1 hr 10 mins,6 ,6,576,21g,10g,82mg,1410mg,69g,9g,24g,30g,9mg,619mg,4mg,1161mg,4.6,663,,
2,6583236,10 mins,10 mins,20 mins,4 ,4,335,8g,2g,279mg,252mg,48g,2g,1g,16g,,49mg,4mg,167mg,4.9,151,,
3,6579368,20 mins,50 mins, 1 hr 10 mins,6 ,6,668,33g,15g,104mg,1249mg,51g,5g,15g,40g,3mg,346mg,4mg,843mg,4.4,231,6 servings,
4,6605469,25 mins,35 mins, 1 hr,6 ,6,612,24g,12g,96mg,1679mg,65g,8g,24g,34g,6mg,837mg,4mg,985mg,4.6,531,6 servings,
5,6739660,10 mins,30 mins,40 mins,8 ,8,909,43g,18g,127mg,2248mg,78g,9g,24g,52g,5mg,745mg,5mg,1187mg,4.5,731,8 servings,
6,6596161,,,,8 ,8,813,60g,30g,197mg,811mg,37g,2g,2g,33g,1mg,495mg,2mg,319mg,4.5,153,8 servings,
7,6577065, 1 hr,50 mins, 1 hr 50 mins,7 ,7,612,30g,13g,134mg,992mg,59g,6g,13g,28g,9mg,250mg,5mg,868mg,4.6,945,6 to 8 servings,
8,6571579,30 mins, 1 hr, 1 hr 30 mins,6 ,6,507,19g,10g,112mg,1058mg,56g,6g,18g,29g,6mg,589mg,4mg,864mg,4.5,228,,
9,6582228, 1 hr, 1 hr, 3 hrs,8 ,8,505,26g,14g,203mg,886mg,42g,4g,10g,25g,7mg,496mg,4mg,633mg,4.7,9,, 1 hr
10,6579813,10 mins, 1 hr 5 mins, 1 hr 15 mins,7 ,7,736,30g,14g,73mg,2309mg,88g,13g,41g,28g,10mg,446mg,5mg,1584mg,4.6,98,,
11,6593156,15 mins, 1 hr 20 mins, 1 hr 35 mins,6 ,6,654,26g,13g,129mg,2894mg,55g,5g,18g,53g,23mg,519mg,7mg,987mg,4.4,7,6 servings,
12,6599716,30 mins, 2 hrs 10 mins, 2 hrs 40 mins,4 ,4,779,43g,19g,131mg,1772mg,62g,8g,11g,27g,32mg,323mg,8mg,1177mg,4.2,18,4 servings,
13,6650396,45 mins,45 mins, 1 hr 40 mins,6 ,6,600,27g,13g,125mg,1984mg,59g,8g,,33g,,,,1059mg,5.0,5,6 servings,10 mins
14,6602708,15 mins,50 mins, 1 hr 5 mins,10 ,10,569,44g,22g,162mg,1146mg,23g,1g,2g,23g,0mg,205mg,2mg,263mg,5.0,3,1 9x13-inch casserole,
15,6581130,20 mins,35 mins,55 mins,4 ,4,618,41g,17g,110mg,1495mg,36g,1g,6g,29g,4mg,290mg,2mg,347mg,4.2,92,4 servings,
16,6596571,15 mins, 1 hr 5 mins, 1 hr 20 mins,7 ,7,489,26g,10g,97mg,1666mg,30g,2g,4g,35g,1mg,180mg,2mg,306mg,4.4,14,7 servings,
17,6588255,15 mins, 1 hr 15 mins, 1 hr 30 mins,5 ,5,512,26g,14g,124mg,826mg,37g,3g,5g,33g,6mg,437mg,4mg,621mg,4.2,50,5 servings,
18,6583443, 1 hr,45 mins, 1 hr 45 mins,8 ,8,974,51g,16g,152mg,1581mg,78g,6g,7g,51g,10mg,660mg,8mg,730mg,,,8 servings,
19,6587647,5 mins,10 mins,15 mins,12 ,12,66,2g,1g,48mg,26mg,9g,0g,1g,3g,,32mg,1mg,58mg,4.7,18,12 pancakes,
20,6590430,,,,6 ,6,399,16g,9g,112mg,1062mg,39g,4g,5g,26g,7mg,493mg,3mg,544mg,4.4,19,6 servings,
