,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Vitamin C
0,6590120,10 mins,15 mins,25 mins,12 ,12 cookies,12,133,11g,2g,16mg,105mg,12g,1g,2g,6g,12mg,1mg,146mg,4.1,115,,
1,6663984,30 mins, 2 hrs 30 mins, 9 hrs,12 ,,12,437,19g,5g,147mg,1576mg,31g,3g,5g,38g,57mg,3mg,487mg,4.6,85, 6 hrs,7mg
2,6650242,20 mins,, 1 hr 20 mins,6 ,1 8-inch cheesecake,6,312,21g,13g,61mg,448mg,25g,3g,12g,6g,126mg,1mg,335mg,4.6,97, 1 hr,70mg
3,6590572,25 mins, 1 hr 5 mins, 1 hr 30 mins,8 ,1 pie,8,307,11g,2g,,218mg,52g,3g,30g,2g,31mg,1mg,361mg,4.5,174,,49mg
4,6584682,10 mins, 12 hrs, 12 hrs 10 mins,8 ,,8,318,6g,2g,16mg,493mg,50g,12g,15g,18g,121mg,4mg,912mg,4.2,155,,13mg
5,6579168,10 mins,10 mins,20 mins,24 ,24 cookies,24,138,12g,2g,16mg,63mg,5g,2g,2g,6g,15mg,1mg,154mg,3.9,223,,
6,6572177,15 mins, 1 hr 5 mins, 1 hr 20 mins,12 ,1 (10-inch) Bundt cake,12,363,21g,2g,31mg,211mg,41g,3g,18g,6g,37mg,2mg,289mg,4.5,42,,5mg
7,6648731,10 mins,15 mins,25 mins,12 ,12 cookies,12,196,18g,6g,36mg,60mg,13g,2g,1g,5g,6mg,0mg,9mg,4.3,89,,
8,6664957,10 mins,20 mins,40 mins,8 ,,8,81,1g,0g,,891mg,14g,3g,1g,4g,20mg,1mg,218mg,3.8,5,10 mins,12mg
9,6663413,15 mins,30 mins,45 mins,8 ,8 servings,8,201,4g,1g,,297mg,38g,1g,0g,3g,19mg,2mg,61mg,4.4,411,,0mg
10,6595564,,,,32 ,2 (8 oz.) jars,32,16,,,,0mg,4g,0g,4g,0g,2mg,,20mg,4.7,21,,7mg
11,6737926,10 mins, 1 hr, 1 hr 10 mins,6 ,6 servings,6,332,15g,4g,,130mg,40g,8g,2g,12g,124mg,4mg,350mg,4.7,13,,0mg
12,6663656,10 mins,30 mins,45 mins,6 ,,6,115,5g,1g,,615mg,14g,4g,8g,3g,121mg,8mg,510mg,4.4,14,5 mins,25mg
13,6737829,10 mins,,10 mins,8 ,1 pie crust,8,199,13g,3g,,146mg,18g,1g,0g,2g,4mg,1mg,25mg,4.8,"1,090",,
14,6605514,,,,9 ,8 to 10 servings,9,236,9g,7g,8mg,285mg,33g,1g,31g,9g,40mg,0mg,122mg,4.6,88,,6mg
15,6575972,5 mins,10 mins,15 mins,6 ,6 servings,6,77,1g,0g,1mg,153mg,12g,2g,3g,5g,69mg,1mg,131mg,4.1,21,,0mg
16,6603609,15 mins, 1 hr, 1 hr 15 mins,15 ,1 - 1 1/2 pound loaf,15,110,1g,0g,0mg,86mg,21g,2g,1g,4g,27mg,1mg,93mg,3.8,15,,
17,6579298,15 mins,15 mins,30 mins,18 ,18 cookies,18,83,3g,1g,14mg,73mg,14g,1g,7g,2g,24mg,1mg,95mg,4.9,10,,0mg
18,6605394,15 mins,,15 mins,9 ,1 to 9 - inch square pan,9,206,12g,7g,31mg,330mg,17g,1g,7g,6g,122mg,1mg,27mg,4.2,123,,
19,6664174,15 mins,10 mins,25 mins,4 ,4 servings,4,169,5g,1g,,600mg,26g,6g,2g,7g,133mg,3mg,450mg,4.5,447,,10mg
20,6568165,15 mins,40 mins,55 mins,12 ,1 - 9x13 inch pan,12,363,21g,13g,99mg,259mg,37g,2g,6g,7g,116mg,2mg,116mg,4.6,94,,2mg
21,6586540,20 mins,25 mins,45 mins,25 ,25 squares,25,74,6g,1g,15mg,70mg,5g,1g,1g,2g,25mg,0mg,58mg,3.1,95,,
22,6572579,10 mins,, 2 hrs 10 mins,8 ,1 pie,8,357,24g,9g,2mg,315mg,34g,2g,23g,4g,62mg,1mg,165mg,4.4,67, 2 hrs,3mg
23,6572681,10 mins,, 4 hrs 10 mins,6 ,6 servings,6,125,5g,4g,11mg,148mg,15g,1g,9g,3g,18mg,0mg,86mg,4.7,48, 4 hrs,1mg
24,6596936,5 mins,1 mins,6 mins,1 ,1 serving,1,105,2g,0g,3mg,255mg,17g,1g,10g,5g,243mg,1mg,532mg,4.9,23,,0mg
25,6601905,30 mins,,30 mins,12 ,1 to 1 frosting cake,12,135,9g,7g,23mg,164mg,11g,0g,4g,3g,61mg,1mg,112mg,4.4,153,,0mg
26,6585244,30 mins, 6 hrs, 7 hrs 30 mins,18 ,1 large turkey,18,447,21g,6g,176mg,146mg,,,,60g,56mg,4mg,602mg,4.6,49, 1 hr,
27,6571635,5 mins,,35 mins,6 ,6 servings,6,183,4g,4g,5mg,519mg,18g,,9g,16g,96mg,0mg,,4.4,43,30 mins,1mg
28,6597655,20 mins,55 mins, 3 hrs 15 mins,4 ,4 servings,4,551,37g,11g,186mg,2214mg,4g,1g,0g,49g,50mg,3mg,655mg,3.9,9, 2 hrs,6mg
29,6599840,,,,8 ,1 pie,8,146,8g,3g,32mg,219mg,14g,1g,5g,5g,98mg,1mg,186mg,4.4,62,,2mg
30,6582676,20 mins, 2 hrs, 2 hrs 20 mins,10 ,10 servings,10,210,5g,1g,25mg,218mg,26g,5g,6g,11g,77mg,2mg,636mg,4.4,131,,19mg
31,6600056,15 mins, 1 hr, 1 hr 15 mins,6 ,6 servings,6,362,10g,4g,76mg,606mg,34g,1g,2g,32g,107mg,3mg,404mg,4.5,278,,2mg
32,6577779,15 mins,, 1 hr 15 mins,8 ,1 to 9 - inch pie,8,142,8g,3g,,289mg,16g,1g,2g,1g,11mg,1mg,79mg,4.5,15, 1 hr,0mg
33,6582394,5 mins,20 mins,55 mins,4 ,4 servings,4,124,4g,1g,,502mg,17g,4g,0g,5g,27mg,1mg,186mg,4.9,10,30 mins,3mg
34,6576132,30 mins,,30 mins,8 ,8 servings,8,233,1g,0g,,18mg,59g,4g,48g,5g,59mg,2mg,934mg,5.0,10,,120mg
35,6563338,5 mins,,5 mins,6 ,32 1 1/2-teaspoon servings,6,116,0g,,,11mg,29g,2g,16g,1g,86mg,0mg,530mg,4.4,42,,41mg
36,6578986,10 mins, 2 hrs, 2 hrs 10 mins,8 ,8 thighs,8,193,12g,3g,71mg,355mg,1g,0g,0g,19g,15mg,1mg,193mg,4.0,3,,1mg
37,6598994,5 mins,20 mins,30 mins,4 ,4 cups,4,1,,,,15mg,0g,,,,7mg,,2mg,4.8,5,5 mins,
38,6590833,5 mins,18 mins,23 mins,12 ,12 muffins,12,77,0g,0g,,152mg,17g,2g,3g,3g,27mg,1mg,112mg,4.5,104,,2mg
39,6564295,10 mins,,10 mins,16 ,16 servings,16,57,5g,0g,,0mg,2g,1g,0g,2g,22mg,0mg,65mg,4.2,47,,
40,6579124,10 mins,,10 mins,8 ,8 servings,8,64,6g,1g,2mg,334mg,2g,1g,,1g,52mg,1mg,7mg,4.4,36,,0mg
41,6578614,10 mins, 4 hrs, 4 hrs 10 mins,16 ,,16,76,0g,0g,,2mg,20g,4g,15g,0g,16mg,0mg,156mg,4.7,73,,7mg
42,6604265,20 mins,15 mins,35 mins,16 ,2 crusts,16,231,17g,4g,12mg,150mg,18g,1g,0g,3g,5mg,1mg,29mg,4.6,351,,
43,6585195,15 mins,15 mins,30 mins,8 ,,8,130,4g,1g,,655mg,20g,1g,1g,3g,31mg,1mg,55mg,4.6,92,,0mg
44,6602570,15 mins,10 mins,25 mins,48 ,4 dozen cookies,48,60,3g,2g,9mg,54mg,4g,0g,1g,4g,3mg,0mg,17mg,4.3,101,,
45,6562873,5 mins,,5 mins,1 ,1 cup,1,915,61g,39g,163mg,442mg,100g,0g,100g,1g,29mg,1mg,151mg,4.4,13,,1mg
46,6587261,5 mins,,5 mins,1 ,,1,112,,,,2mg,6g,1g,3g,0g,11mg,0mg,19mg,5.0,1,,10mg
47,6580429,10 mins,5 mins,25 mins,12 ,,12,15,,,,19mg,1g,,,3g,2mg,,1mg,3.5,29,10 mins,
48,6572911,10 mins,15 mins,25 mins,15 ,15 cookies,15,173,16g,2g,25mg,133mg,13g,2g,1g,5g,74mg,1mg,228mg,2.8,31,,0mg
49,6600748,15 mins,,15 mins,12 ,,12,107,5g,3g,14mg,343mg,9g,3g,3g,8g,129mg,1mg,312mg,4.5,36,,38mg
50,6564216,15 mins,30 mins,45 mins,40 ,5 cups,40,34,1g,0g,,374mg,5g,1g,2g,1g,12mg,1mg,180mg,4.3,43,,4mg
51,6593808,15 mins,10 mins,25 mins,40 ,40 crackers,40,11,1g,0g,6mg,16mg,0g,0g,0g,1g,12mg,,2mg,4.1,20,,
52,6568328,10 mins,20 mins,40 mins,8 ,,8,145,0g,0g,,53mg,36g,6g,7g,3g,102mg,2mg,838mg,4.5,35,10 mins,35mg
53,6582585,,,,6 ,1 to 2 dozen,6,483,32g,16g,92mg,581mg,44g,4g,6g,8g,38mg,3mg,287mg,3.9,44,,4mg
54,6575400,10 mins,10 mins,20 mins,1 ,,1,471,32g,20g,90mg,777mg,27g,2g,3g,18g,521mg,3mg,166mg,4.4,18,,7mg
55,6603831,5 mins,5 mins,10 mins,1 ,,1,59,1g,1g,3mg,58mg,11g,2g,7g,6g,166mg,1mg,404mg,3.9,9,,
56,6600607,10 mins,,10 mins,4 ,,4,77,1g,0g,,47mg,17g,10g,3g,2g,32mg,2mg,332mg,4.1,49,,38mg
57,6563522,5 mins,,5 mins,9 ,,9,163,4g,4g,5mg,144mg,23g,2g,14g,12g,343mg,1mg,552mg,4.0,2,,2mg
58,6569629,5 mins,,5 mins,12 ,,12,46,5g,1g,,125mg,1g,,,,0mg,,4mg,4.4,70,,
