,id_recipe,Prep Time:,Cook Time:,Refrigerate Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Bake Time:,Yield:,Additional Time:,Cool Time:
33,6591382,,,,,36 ,36,178,8g,4g,29mg,115mg,25g,1g,14g,3g,0mg,17mg,1mg,84mg,4.6,"1,100",,6 dozen,,
34,6605633,,,,,30 ,30,101,4g,3g,14mg,130mg,15g,1g,8g,1g,0mg,12mg,1mg,35mg,4.6,310,,5 dozen,,
35,6575678,,,,,18 ,18,290,15g,9g,27mg,213mg,38g,2g,22g,3g,0mg,24mg,2mg,145mg,4.6,549,,3 dozen,,
36,6584123,25 mins,10 mins,,50 mins,18 ,18,259,16g,3g,10mg,173mg,26g,4g,15g,5g,0mg,46mg,1mg,181mg,4.8,357,,18 cookies,15 mins,
37,6738332,30 mins,10 mins,,40 mins,12 ,12,397,24g,10g,48mg,343mg,42g,2g,29g,8g,,35mg,1mg,197mg,4.8,"1,390",,2 dozen,,
38,6574947,20 mins,10 mins,,30 mins,36 ,36,133,7g,4g,22mg,149mg,16g,1g,7g,2g,,12mg,1mg,41mg,4.5,37,,3 dozen,,
39,6569626,,,,,30 ,30,136,6g,1g,6mg,24mg,20g,1g,9g,2g,0mg,7mg,1mg,44mg,3.8,116,,5 dozen,,
40,6578346,20 mins,12 mins,,52 mins,36 ,36,167,8g,4g,24mg,103mg,22g,1g,12g,3g,,17mg,1mg,75mg,4.5,67,,3 dozen,20 mins,
41,6586630,,,,,30 ,30,135,6g,1g,6mg,104mg,19g,1g,11g,2g,,14mg,1mg,47mg,4.6,337,,5 dozen,,
42,6738810,25 mins,,,25 mins,18 ,18,126,4g,1g,1mg,106mg,21g,1g,13g,2g,,22mg,1mg,34mg,4.8,819,,18 cookies,,
43,6568750,15 mins,45 mins,, 1 hr,36 ,36,137,7g,4g,24mg,101mg,18g,1g,10g,2g,,23mg,1mg,47mg,4.6,36,,3 dozen cookies,,
44,6741011,10 mins,12 mins,,22 mins,24 ,24,325,14g,6g,36mg,262mg,45g,3g,24g,6g,2mg,50mg,4mg,233mg,4.3,214,,24 big cookies,,
45,6587334,20 mins,10 mins,, 1 hr,48 ,48,110,5g,3g,18mg,95mg,16g,1g,9g,1g,0mg,10mg,1mg,31mg,4.2,23,,4 dozen cookies,30 mins,
46,6583961,25 mins,,,25 mins,18 ,18,167,6g,2g,,133mg,29g,2g,17g,2g,,30mg,1mg,86mg,4.5,359,,3 dozen cookies,,
47,6588333,20 mins,10 mins,,30 mins,36 ,36,118,5g,1g,10mg,92mg,16g,1g,10g,1g,,8mg,1mg,31mg,4.6,152,,36 cookies,,
48,6601497,15 mins,25 mins,,40 mins,24 ,24,104,5g,3g,18mg,59mg,15g,0g,8g,1g,,13mg,1mg,26mg,4.5,18,,2 dozen cookies,,
49,6649758,10 mins,15 mins,,30 mins,24 ,24,145,6g,3g,18mg,93mg,21g,1g,10g,3g,0mg,26mg,1mg,106mg,4.1,20,,2 dozen,5 mins,
50,6583582,15 mins,20 mins,,35 mins,32 ,32,148,8g,3g,5mg,56mg,18g,2g,7g,3g,0mg,13mg,1mg,119mg,4.6,213,,32 bars,,
