,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:
0,6565970,Cinnamon Roll Monkey Bread,10 mins,20 mins,5 mins,35 mins,8 ,8,246,11g,5g,15mg,337mg,35g,1g,13g,2g,0mg,18mg,1mg,29mg,5.0,1,,
1,7372192,Leftover Turkey Pull-Apart Bread,20 mins,45 mins,, 1 hr 10 mins,16 servings,16,314,13g,5g,34mg,663mg,40g,2g,12g,12g,3mg,148mg,2mg,129mg,,,5 mins,
2,6649875,Best Monkey Bread,15 mins,40 mins,10 mins, 1 hr 5 mins,15 ,15,378,15g,3g,1mg,746mg,57g,1g,,5g,,52mg,2mg,133mg,4.7,"2,235",,1 tube pan
3,6651121,Monkey Bread from Scratch,25 mins,35 mins, 1 hr 30 mins, 2 hrs 30 mins,10 ,10,427,13g,8g,48mg,339mg,72g,2g,37g,6g,0mg,66mg,3mg,150mg,4.8,41,,1 10-inch bundt pan
4,6588546,Quick and Easy Monkey Bread,10 mins,30 mins, 8 hrs, 8 hrs 40 mins,12 ,12,389,15g,6g,23mg,484mg,60g,2g,31g,7g,0mg,126mg,2mg,128mg,4.5,281,,1 (9- or 10-inch) tube pan
5,6648928,Monkey Bread with Butterscotch Pudding,10 mins,25 mins, 8 hrs, 8 hrs 35 mins,10 ,10,346,19g,8g,33mg,272mg,43g,2g,26g,4g,0mg,86mg,2mg,101mg,3.8,19,,1 (9- or 10-inch) tube pan
6,6738343,Garlic Parmesan Monkey Bread,30 mins,30 mins,, 1 hr,10 ,10,339,12g,5g,56mg,684mg,44g,4g,4g,12g,2mg,55mg,4mg,36mg,4.3,203,,10 servings
7,6593232,Grands!® Monkey Bread,25 mins,,40 mins, 1 hr 5 mins,12 ,12,508,25g,12g,31mg,883mg,64g,2g,36g,6g,0mg,29mg,0mg,102mg,4.5,129,,12 servings
8,6581912,Easy Monkey Bread Muffins,15 mins,25 mins,,40 mins,24 ,24,180,9g,2g,0mg,395mg,24g,0g,11g,2g,,26mg,1mg,66mg,4.7,22,,2 dozen muffins
9,6736568,Monkey Bread Made Easy,15 mins,20 mins,10 mins,45 mins,8 ,8,403,19g,9g,31mg,618mg,57g,1g,36g,4g,0mg,59mg,2mg,116mg,4.4,98,,8 servings
10,6739202,Bread Machine Monkey Bread,30 mins,25 mins, 2 hrs 25 mins, 3 hrs 20 mins,12 ,12,389,17g,3g,,403mg,56g,2g,29g,4g,0mg,35mg,2mg,175mg,4.6,305,,1 bundt pan
11,6595397,Five-Ingredient Monkey Bread,5 mins,35 mins,,40 mins,12 ,12,393,17g,4g,1mg,787mg,57g,1g,30g,5g,0mg,56mg,2mg,125mg,4.5,375,,
12,6736929,Maple Bacon Monkey Bread,30 mins,55 mins,10 mins, 1 hr 35 mins,16 ,16,374,16g,4g,8mg,801mg,51g,1g,30g,7g,,50mg,2mg,170mg,4.8,126,,
13,6576904,Hot Chocolate Monkey Bread,15 mins,30 mins,5 mins,50 mins,12 ,12,370,17g,5g,3mg,886mg,48g,1g,20g,5g,,44mg,2mg,129mg,4.0,3,,12 servings
14,6739376,Big Ray's Mexican Monkey Bread,10 mins,40 mins,5 mins,55 mins,12 ,12,195,11g,5g,19mg,481mg,17g,0g,3g,6g,3mg,124mg,1mg,89mg,4.7,63,,1 loaf
15,6569508,Monkey Bread with a Twist,20 mins,30 mins,10 mins, 1 hr,15 ,15,385,15g,3g,1mg,756mg,59g,1g,33g,5g,0mg,53mg,2mg,142mg,4.8,102,,15 servings
16,6597663,Monkey Bread Muffins,10 mins,15 mins,,25 mins,6 ,6,313,14g,6g,16mg,612mg,45g,1g,24g,4g,,44mg,2mg,111mg,4.7,216,,6 muffins
17,6602685,Basic Sweet Dough,25 mins,25 mins, 2 hrs, 2 hrs 50 mins,48 ,48,104,2g,1g,8mg,103mg,18g,1g,2g,3g,,11mg,1mg,37mg,4.6,31,,4 dozen rolls or 4 fancy breads
18,6597676,Microwave Breakfast Ring,10 mins,5 mins,5 mins,20 mins,6 ,6,207,9g,4g,11mg,404mg,30g,1g,16g,3g,1mg,35mg,1mg,91mg,4.3,9,,1 shallow tube pan
19,6740867,Bananas Foster Monkey Bread,,35 mins,10 mins,45 mins,8 ,8,427,21g,9g,31mg,618mg,57g,2g,34g,4g,3mg,55mg,2mg,232mg,4.7,70,,8 servings
20,6582715,Healthier Monkey Bread I,15 mins,35 mins,10 mins, 1 hr,15 ,15,312,9g,3g,12mg,326mg,53g,4g,22g,6g,0mg,23mg,0mg,81mg,5.0,4,,1 10-inch tube pan
21,6602813,Amazing Monkey Bread,15 mins,40 mins, 8 hrs, 8 hrs 55 mins,12 ,12,468,16g,6g,24mg,535mg,74g,2g,27g,10g,0mg,159mg,3mg,145mg,4.6,34,,1 tube pan
22,6594387,Orange Monkey Bread,15 mins,30 mins,5 mins,50 mins,10 ,10,322,12g,5g,13mg,592mg,50g,1g,30g,4g,5mg,32mg,1mg,110mg,4.5,29,,10 servings
23,6564810,Cinnamon Roll Monkey Bread,20 mins,45 mins,10 mins, 1 hr 15 mins,12 ,12,709,39g,16g,51mg,902mg,86g,4g,23g,7g,0mg,64mg,3mg,122mg,4.0,1,,1 Bundt(R) pan
24,6602348,Apple-Walnut Cinnamon Roll Monkey Bread,20 mins,45 mins,15 mins, 1 hr 20 mins,12 ,12,389,18g,6g,13mg,667mg,54g,2g,10g,5g,1mg,35mg,2mg,85mg,4.7,53,,1 fluted tube pan
25,6650976,Monkey Bread Foil Packets,15 mins,10 mins,,25 mins,5 ,5,376,15g,6g,19mg,562mg,59g,1g,37g,4g,,54mg,2mg,140mg,,,,5 packets
26,6590935,Savory Monkey Bread,10 mins,30 mins,,40 mins,10 ,10,301,24g,13g,49mg,558mg,19g,0g,3g,3g,3mg,31mg,1mg,88mg,4.0,4,,10 servings
27,6739790,Thanksgiving Leftovers Monkey Bread,30 mins,30 mins,, 1 hr,8 ,8,448,10g,2g,21mg,941mg,66g,6g,6g,20g,2mg,73mg,5mg,177mg,4.2,5,,8 servings
