,id_recipe,name,Prep Time:,Cook Time:,Chill Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Additional Time:,Total Sugars,Vitamin C,Calcium,Iron
0,6833281,Polar Bear Cheesecake Truffles, 1 hr,3 mins, 2 hrs 10 mins, 3 hrs 13 mins,20 ,20 truffles,20,162,10g,6g,16mg,90mg,17g,0g,2g,70mg,4.0,2,,,,,
1,6750076,Easy Pumpkin Spice Truffles,20 mins,5 mins,,55 mins,20 ,20 truffles,20,219,15g,8g,22mg,130mg,20g,0g,3g,36mg,4.3,3,30 mins,,,,
2,6663882,Oreo Cookie Balls,30 mins,,, 1 hr 40 mins,48 ,48 balls,,,,,,,,,,,4.7,266, 1 hr 10 mins,,,,
3,6663649,Easy Oreo Truffles,35 mins,5 mins,, 1 hr 40 mins,42 ,42 truffles,42,122,7g,4g,6mg,68mg,14g,1g,2g,27mg,4.8,"2,991", 1 hr,,,,
4,6587700,Kentucky Bourbon Balls,20 mins,10 mins,, 16 hrs 30 mins,24 ,24 balls,24,252,14g,7g,10mg,28mg,31g,2g,2g,24mg,4.6,149, 16 hrs,29g,0mg,6mg,1mg
5,6739726,Easy Decadent Truffles,30 mins,0 mins,, 1 hr,60 ,5 dozen,60,77,4g,2g,4mg,13mg,11g,1g,1g,37mg,4.6,"1,051",30 mins,10g,0mg,7mg,0mg
6,6599263,Rum Truffles,10 mins,10 mins,, 1 hr 50 mins,24 ,24 truffles,24,98,6g,3g,8mg,9mg,10g,1g,1g,54mg,4.5,38, 1 hr 30 mins,4g,,4mg,0mg
7,6739616,Nipples of Venus (Capezzoli di Venere), 1 hr,10 mins,, 1 hr 10 mins,24 ,24 truffles,24,169,8g,4g,9mg,18mg,21g,1g,1g,81mg,4.6,5,,15g,7mg,31mg,0mg
8,6597640,Eagle Brand Chocolate Truffles,10 mins,5 mins,, 1 hr 15 mins,72 ,6 -dozen truffles,72,65,3g,2g,2mg,9mg,6g,1g,1g,29mg,4.6,25, 1 hr,6g,,3mg,0mg
9,6601826,Chocolate-Covered Peanut Butter Balls,20 mins,,, 3 hrs 20 mins,45 ,45 balls,45,75,4g,2g,2mg,42mg,10g,1g,1g,39mg,4.8,5, 3 hrs,6g,1mg,3mg,1mg
10,6570192,Basic Truffles,10 mins,10 mins,, 1 hr 50 mins,35 ,35 truffles,35,62,4g,3g,4mg,1mg,6g,1g,1g,39mg,4.3,131, 1 hr 30 mins,4g,,2mg,
11,6740936,Holiday Peanut Butter Whiskey Balls,15 mins,,,30 mins,20 ,,20,182,8g,2g,,80mg,24g,1g,3g,85mg,4.7,7,15 mins,11g,,10mg,1mg
12,6572004,Easy White Chocolate Oreo Truffles,30 mins,5 mins,, 1 hr 35 mins,24 ,24 truffles,24,194,11g,6g,13mg,129mg,22g,1g,3g,86mg,4.9,11, 1 hr,16g,0mg,40mg,1mg
13,6738043,Homemade Valentine's Chocolates,15 mins,5 mins,,50 mins,32 ,32 truffles,32,48,4g,2g,5mg,2mg,5g,1g,1g,36mg,4.4,17,30 mins,4g,,5mg,0mg
14,6577449,Irish Cream Truffle Fudge,,30 mins,, 1 hr 45 mins,24 ,24 pieces,24,383,20g,10g,10mg,37mg,47g,3g,4g,155mg,4.5,286, 1 hr 15 mins,42g,,51mg,1mg
15,6572764,Mocha Truffles,30 mins,5 mins,, 2 hrs 35 mins,66 ,5 1/2 dozen truffles,66,76,5g,3g,4mg,11mg,8g,1g,1g,45mg,4.8,12, 2 hrs,7g,,6mg,1mg
16,6737964,How to Make Chocolate Truffles,20 mins,10 mins,, 1 hr,18 ,18 truffles,18,215,14g,8g,15mg,27mg,26g,0g,2g,120mg,4.7,10,30 mins,0g,0mg,18mg,1mg
17,6739369,Salted Dark Chocolate Hazelnut Caramel Truffles,25 mins,15 mins,, 12 hrs 40 mins,28 ,28 truffles,28,135,8g,4g,8mg,219mg,17g,1g,2g,65mg,4.3,7, 12 hrs,7g,,9mg,3mg
18,6599124,Easy Chocolate Chip Cookie Dough Truffles, 1 hr 30 mins,,, 1 hr 30 mins,48 ,48 truffles,48,146,8g,5g,10mg,38mg,19g,1g,2g,107mg,4.4,52,,9g,0mg,34mg,1mg
19,6588981,Peanut Butter Cheesecake Bites,15 mins,,,45 mins,20 ,20 servings,20,182,13g,6g,14mg,101mg,13g,1g,5g,97mg,4.0,8,30 mins,11g,,39mg,0mg
20,6574185,Cheesecake Truffles,30 mins,35 mins,, 15 hrs 5 mins,20 ,20 truffles,20,231,16g,9g,45mg,88mg,18g,1g,4g,107mg,4.0,1, 14 hrs,17g,0mg,65mg,0mg
21,6571671,Chocolate Chip Cookie Dough Truffles,10 mins,,, 1 hr,24 ,24 truffles,24,261,13g,8g,11mg,56mg,33g,3g,4g,147mg,4.3,20,50 mins,21g,,19mg,1mg
22,6589877,Nichola's Chocolate Chip Cookie Dough Truffles,30 mins,1 mins,, 3 hrs 1 mins,15 ,15 truffles,15,280,16g,10g,17mg,93mg,37g,2g,2g,132mg,4.6,8, 2 hrs 30 mins,28g,,32mg,1mg
23,6584565,Easy Mint Chocolate Truffles,30 mins,30 mins,, 1 hr 35 mins,24 ,24 truffles,24,250,16g,5g,16mg,73mg,29g,2g,2g,104mg,3.0,1,35 mins,11g,0mg,11mg,1mg
24,6570110,Peanut Butter and Banana Chocolate Truffles,15 mins,5 mins,, 3 hrs 50 mins,24 ,2 dozen,24,99,6g,3g,5mg,8mg,11g,1g,2g,29mg,4.2,6, 3 hrs 30 mins,9g,0mg,3mg,1mg
