,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Yield:
47,6589697,15 mins,20 mins,35 mins,8 ,8,150,4g,1g,28mg,213mg,17g,2g,2g,12g,15mg,32mg,1mg,197mg,4.3,27,,8 servings
48,6580576,15 mins,20 mins,40 mins,16 ,16,83,3g,2g,8mg,69mg,13g,0g,7g,2g,1mg,13mg,0mg,20mg,4.0,1,5 mins,16 mini egg rolls
49,6561953,30 mins,10 mins,40 mins,30 ,30,84,3g,1g,19mg,190mg,9g,0g,0g,5g,0mg,14mg,1mg,55mg,,,,30 lumpia
50,6600549,20 mins,3 mins,23 mins,8 ,8,433,23g,11g,66mg,1240mg,37g,2g,2g,18g,33mg,334mg,2mg,138mg,4.5,2,,8 servings
51,6599796,35 mins,15 mins,50 mins,10 ,10,163,9g,1g,12mg,480mg,16g,1g,1g,6g,3mg,27mg,2mg,113mg,3.5,2,,10 egg rolls
52,6563363,30 mins,30 mins, 1 hr 10 mins,25 ,25,237,9g,3g,30mg,249mg,27g,3g,1g,12g,13mg,46mg,2mg,264mg,,,10 mins,25 lumpia
53,6590836,20 mins,30 mins, 1 hr 5 mins,10 ,10,980,42g,12g,80mg,1972mg,113g,4g,5g,34g,17mg,351mg,7mg,435mg,3.7,7,15 mins,20 egg rolls
54,6571496,30 mins,45 mins, 1 hr 15 mins,8 ,8,526,26g,7g,120mg,372mg,44g,3g,1g,27g,24mg,57mg,5mg,665mg,3.9,10,,8 servings
55,6594831,15 mins,10 mins,25 mins,6 ,6,315,15g,3g,28mg,685mg,29g,2g,2g,14g,4mg,38mg,2mg,245mg,,,,6 egg rolls
56,6561799,30 mins, 2 hrs, 3 hrs,20 ,20,208,12g,4g,34mg,534mg,16g,2g,2g,10g,17mg,132mg,1mg,124mg,,,30 mins,20 egg rolls
57,6663685,20 mins, 1 hr, 1 hr 30 mins,6 ,6,103,0g,,1mg,48mg,26g,1g,,1g,,,,79mg,5.0,1,10 mins,6 apple pie egg rolls
58,6664683,20 mins,10 mins,40 mins,8 ,8,407,34g,10g,58mg,692mg,13g,1g,,13g,,,,120mg,5.0,5,10 mins,8 egg rolls
59,6598728, 1 hr, 1 hr 45 mins, 3 hrs 15 mins,50 ,50,101,3g,1g,13mg,334mg,13g,1g,1g,5g,3mg,19mg,1mg,72mg,5.0,1,30 mins,50 lumpia
