,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:,Stand Time:,Chill Time:,Roast Time:
22,6578065,Grilled Okra,5 mins,5 mins,10 mins,4 ,4,156,12g,7g,31mg,1501mg,11g,4g,1g,3g,24mg,95mg,1mg,435mg,4.6,45,,,,,
23,6570577,Grilled Bok Choy,10 mins,10 mins,20 mins,6 ,6,90,8g,5g,20mg,306mg,4g,2g,2g,2g,68mg,166mg,1mg,394mg,4.5,54,,,,,
24,6574320,Grilled Fennel,15 mins,10 mins,25 mins,4 ,4,110,8g,1g,2mg,246mg,9g,4g,0g,3g,16mg,95mg,2mg,504mg,4.7,7,2 fennel bulbs,,,,
25,6578482,Grilled Cabbage,10 mins,35 mins,45 mins,6 ,6,201,13g,5g,32mg,623mg,12g,5g,6g,12g,72mg,82mg,1mg,475mg,5.0,5,,,,,
26,6576519,Grilled Garlic Artichokes,5 mins,30 mins,35 mins,4 ,4,402,41g,6g,,659mg,10g,5g,1g,3g,13mg,45mg,1mg,321mg,4.6,350,,,,,
27,7089403,Chef John's Duchess Potatoes,30 mins,50 mins, 1 hr 20 mins,12 ,12,168,9g,5g,73mg,331mg,21g,2g,,3g,,,,484mg,5.0,3,,,,,
28,6571032,Irish Heritage Cabbage,5 mins,20 mins,25 mins,4 ,4,139,8g,5g,20mg,672mg,14g,4g,6g,5g,77mg,107mg,1mg,467mg,4.4,30,,,,,
29,6561970,Sweet Potato Casserole with Cornflakes,15 mins,30 mins,45 mins,10 ,10,436,18g,9g,75mg,166mg,63g,6g,31g,7g,6mg,144mg,2mg,749mg,5.0,1,,,,,
30,6595354,Irish Fried Cabbage with Bacon,10 mins,15 mins,25 mins,6 ,6,220,18g,7g,30mg,468mg,7g,3g,4g,9g,44mg,50mg,1mg,310mg,4.7,88,,,,,
31,6582448,Bacon-Garlic Green Beans,15 mins,20 mins,35 mins,12 ,12,189,17g,10g,44mg,185mg,9g,4g,2g,3g,19mg,49mg,1mg,263mg,4.6,27,,,,,
32,6664235,Creamed Cabbage,10 mins,30 mins,40 mins,6 ,6,251,20g,10g,42mg,645mg,14g,5g,7g,6g,76mg,109mg,1mg,424mg,4.7,241,,,,,
33,6574985,Bubble and Squeak,15 mins,15 mins,30 mins,6 ,6,159,6g,3g,23mg,423mg,20g,3g,4g,8g,35mg,46mg,1mg,497mg,4.5,215,,,,,
34,6665005,Air Fryer Spicy Onion Rings,20 mins,10 mins, 1 hr,4 ,4,230,4g,1g,48mg,1093mg,53g,2g,,10g,,,,197mg,5.0,1,,,,30 mins,
35,6584688,Braised Cabbage,10 mins,25 mins,35 mins,6 ,6,70,4g,2g,10mg,393mg,8g,2g,5g,2g,40mg,58mg,0mg,220mg,4.6,33,3 cups,,,,
36,6744706,Ultra Creamy Mashed Potatoes,10 mins,20 mins,30 mins,6 ,6,213,7g,4g,19mg,367mg,35g,3g,,5g,,,,27mg,,,,,,,
37,6744704,Garlic Sautéed Vegetables,20 mins,10 mins,30 mins,8 ,8,30,2g,0g,1mg,127mg,3g,1g,,1g,,,,131mg,,,,,,,
38,6737343,Roasted Leeks with Lemon Butter,15 mins,30 mins,45 mins,4 ,4,233,16g,5g,15mg,71mg,22g,3g,,2g,,,,279mg,5.0,1,,,,,
39,6665719,Easy Sauteed Leeks,5 mins,16 mins,26 mins,4 ,4,97,6g,4g,15mg,16mg,11g,1g,,1g,,,,137mg,,,,,5 mins,,
40,6666250,Roasted Leeks with Parmesan,10 mins,30 mins,40 mins,4 ,4,127,8g,2g,4mg,213mg,11g,1g,,3g,,,,142mg,,,,,,,
41,6577574,Thanksgiving Sweet Potatoes,10 mins,35 mins,45 mins,6 ,6,428,15g,3g,,260mg,70g,3g,32g,4g,42mg,44mg,2mg,485mg,4.5,181,,,,,
42,6951337,TikTok Crispy Bubble Potatoes,15 mins,35 mins,50 mins,4 ,4,217,0g,0g,,723mg,49g,5g,,5g,,,,910mg,4.0,1,,,,,
