,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Total Sugars,Vitamin C,Additional Time:
0,6737549,10 mins,15 mins,25 mins,16 ,16,189,19g,6g,20mg,84mg,3g,0g,1g,2mg,0mg,8mg,4.8,21,,,,
1,6649043,20 mins, 2 hrs 55 mins, 3 hrs 15 mins,32 ,32,59,3g,1g,15mg,18mg,3g,0g,5g,8mg,0mg,68mg,4.7,452,8 cups,0g,1mg,
2,7497364,5 mins,10 mins,15 mins,8 ,8,87,7g,4g,17mg,168mg,5g,0g,2g,4mg,0mg,69mg,5.0,1,2 cups,1g,0mg,
3,6931031,25 mins, 5 hrs 10 mins, 5 hrs 35 mins,4 ,4,730,60g,27g,134mg,1435mg,14g,1g,31g,,,698mg,5.0,3,2 1/2 cups,,,
4,6651099,,25 mins,25 mins,8 ,8,170,16g,10g,45mg,346mg,7g,0g,1g,14mg,0mg,24mg,4.5,251,,0g,0mg,
5,6650771,5 mins,45 mins,50 mins,12 ,12,69,3g,1g,130mg,531mg,3g,0g,7g,27mg,2mg,116mg,4.3,104,3 cups,1g,1mg,
6,6663686,20 mins,20 mins,40 mins,4 ,4,832,29g,12g,206mg,1273mg,71g,2g,68g,559mg,9mg,1407mg,4.5,"1,474",,,2mg,
7,6663925,,20 mins,20 mins,6 ,6,300,22g,5g,13mg,455mg,20g,1g,7g,194mg,1mg,265mg,4.3,"1,025",,8g,0mg,
8,6739033,15 mins, 4 hrs, 4 hrs 15 mins,8 ,8,115,7g,3g,23mg,92mg,10g,1g,4g,33mg,1mg,163mg,4.6,478,,2g,4mg,
9,6651007,15 mins, 1 hr 15 mins, 1 hr 30 mins,8 ,8,324,30g,9g,141mg,32mg,6g,0g,7g,9mg,3mg,92mg,4.2,25,,0g,4mg,
10,6664102,10 mins,15 mins,25 mins,5 ,5,282,13g,4g,16mg,842mg,31g,1g,10g,88mg,2mg,227mg,4.1,134,,6g,0mg,
11,6596510,5 mins,10 mins,15 mins,6 ,6,65,0g,0g,1mg,111mg,8g,0g,8g,3mg,1mg,345mg,4.2,142,,,,
12,6663790,5 mins,25 mins,30 mins,6 ,6,353,31g,12g,63mg,947mg,12g,0g,14g,141mg,0mg,182mg,4.8,"2,315",,7g,,
13,6737092,5 mins,15 mins,20 mins,4 ,4,44,0g,0g,1mg,464mg,4g,0g,6g,4mg,0mg,260mg,4.9,57,,0g,,
14,6740989,5 mins,55 mins, 1 hr,6 ,6,133,9g,5g,20mg,63mg,9g,1g,6g,18mg,1mg,353mg,4.8,398,,3g,12mg,
15,6598890,5 mins,15 mins,20 mins,4 ,4,61,2g,1g,13mg,30mg,6g,0g,5g,75mg,0mg,113mg,3.8,104,,3g,0mg,
16,6562997,5 mins,10 mins,15 mins,6 ,6,98,8g,5g,21mg,276mg,6g,0g,1g,8mg,0mg,44mg,4.5,427,,1g,1mg,
17,6562041,15 mins,45 mins, 1 hr,4 ,4,226,18g,11g,46mg,514mg,11g,2g,2g,31mg,1mg,180mg,4.5,53,,4g,6mg,
18,6561784,10 mins,20 mins,30 mins,10 ,10,134,11g,1g,,382mg,7g,1g,2g,7mg,1mg,59mg,4.6,455,2 1/2 cups,3g,1mg,
19,6575580,5 mins,20 mins,25 mins,20 ,20,155,10g,3g,26mg,618mg,8g,1g,7g,58mg,1mg,180mg,4.8,19,,2g,1mg,
20,6587322,,25 mins,25 mins,6 ,6,190,13g,6g,22mg,469mg,12g,0g,6g,193mg,0mg,254mg,4.6,89,,8g,0mg,
21,6562727,5 mins,15 mins,20 mins,8 ,8,375,26g,11g,95mg,355mg,9g,0g,25g,153mg,2mg,484mg,4.1,296,,,0mg,
22,6565511,5 mins,25 mins,30 mins,8 ,8,297,25g,9g,46mg,562mg,8g,0g,10g,118mg,1mg,258mg,4.7,458,,4g,1mg,
23,6577855,5 mins,15 mins,20 mins,16 ,16,87,6g,1g,1mg,528mg,7g,0g,3g,82mg,0mg,110mg,4.0,20,4 cups,3g,0mg,
24,6566044,15 mins, 1 hr 35 mins, 1 hr 50 mins,1 ,1,407,11g,3g,688mg,335mg,27g,6g,50g,152mg,18mg,1292mg,4.7,59,3 cups,8g,39mg,
25,6567444,10 mins,20 mins,30 mins,12 ,12,195,17g,6g,31mg,277mg,5g,0g,7g,79mg,1mg,171mg,4.5,149,,3g,1mg,
26,6664550,5 mins,40 mins,45 mins,6 ,6,81,6g,4g,15mg,202mg,6g,0g,1g,9mg,0mg,31mg,4.2,26,2 cups,,1mg,
27,6572626,5 mins,10 mins,15 mins,8 ,8,103,8g,5g,21mg,171mg,6g,0g,3g,73mg,0mg,98mg,4.9,13,,3g,0mg,
28,6739544,15 mins,35 mins,50 mins,4 ,4,362,25g,11g,70mg,857mg,17g,1g,17g,205mg,1mg,474mg,4.8,143,4 servings,8g,4mg,
29,6567290,10 mins,25 mins,35 mins,16 ,16,247,20g,11g,54mg,449mg,11g,2g,8g,133mg,1mg,259mg,4.6,42,16 servings,5g,1mg,
30,6566952,5 mins,12 mins,17 mins,4 ,4,86,6g,4g,15mg,537mg,6g,0g,2g,14mg,1mg,115mg,3.9,18,4 servings,2g,2mg,
31,6584030,5 mins,10 mins,15 mins,4 ,4,170,12g,5g,15mg,316mg,11g,0g,4g,121mg,1mg,165mg,1.0,3,4 servings,5g,1mg,
32,6648299,10 mins,7 mins,17 mins,28 ,28,22,1g,0g,2mg,227mg,3g,0g,1g,14mg,0mg,26mg,4.6,641,7 cups,1g,0mg,
33,6562655,5 mins,25 mins,30 mins,6 ,6,488,27g,13g,130mg,586mg,19g,1g,39g,261mg,3mg,638mg,4.5,322,6 servings,10g,1mg,
34,6565690,,,,16 ,16,6,,,,0mg,1g,,,1mg,,1mg,3.8,192,2 cups,,,
35,6572773,5 mins,20 mins,25 mins,8 ,8,99,7g,1g,,625mg,7g,1g,2g,11mg,1mg,69mg,4.5,6,4 cups,1g,0mg,
36,6582794,5 mins,10 mins,15 mins,4 ,4,365,25g,10g,65mg,570mg,14g,0g,20g,195mg,1mg,464mg,3.3,4,4 servings,8g,2mg,
