,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Yield:
0,6591564,30 mins,35 mins,30 mins, 1 hr 35 mins,16 ,16,54,4g,1g,297mg,5g,2g,2g,1g,5mg,20mg,1mg,179mg,4.9,86,,
1,6663940,15 mins,,,15 mins,10 ,10,104,7g,3g,179mg,2g,0g,0g,7g,7mg,225mg,0mg,102mg,4.7,326,18mg,
2,6595792,20 mins,10 mins,20 mins,50 mins,5 ,5,385,21g,12g,733mg,39g,1g,1g,15g,0mg,238mg,2mg,101mg,4.0,10,161mg,
3,6650734,10 mins,,,10 mins,4 ,4,99,5g,2g,296mg,11g,1g,10g,4g,51mg,12mg,0mg,369mg,4.4,33,13mg,
4,6648683,25 mins,, 1 hr, 1 hr 25 mins,12 ,12,278,27g,7g,593mg,2g,,0g,7g,25mg,111mg,0mg,74mg,4.2,25,22mg,12 stuffed peppers
5,6572394,30 mins,,,30 mins,10 ,10,58,6g,1g,3mg,2g,,,0g,0mg,4mg,0mg,10mg,4.7,384,,20 skewers
6,6736961,20 mins,10 mins,30 mins, 1 hr,12 ,12,448,42g,8g,214mg,13g,0g,,5g,,103mg,1mg,41mg,4.8,21,31mg,12 filled squash blossoms
7,6592289, 1 hr,30 mins, 8 hrs, 9 hrs 30 mins,56 ,56,101,9g,1g,167mg,5g,1g,2g,2g,16mg,17mg,1mg,134mg,4.5,25,1mg,1 gallon
8,6738241,15 mins,45 mins,, 1 hr,10 ,10,452,29g,11g,1291mg,25g,0g,5g,20g,19mg,206mg,3mg,122mg,4.7,776,104mg,10 servings
9,6738139,15 mins,,,15 mins,8 ,8,215,17g,9g,85mg,3g,0g,1g,11g,8mg,331mg,1mg,90mg,4.7,226,45mg,16 skewers
10,6738851,30 mins,,,30 mins,4 ,4,330,20g,9g,125mg,28g,1g,24g,12g,28mg,357mg,1mg,399mg,4.8,15,45mg,4 servings
11,6576110,15 mins,,,15 mins,8 ,8,158,12g,7g,121mg,0g,0g,,12g,1mg,11mg,1mg,122mg,4.8,8,45mg,8 servings
12,6569789,15 mins,10 mins, 5 hrs, 5 hrs 25 mins,8 ,8,79,7g,1g,149mg,3g,1g,1g,2g,4mg,13mg,1mg,204mg,4.7,3,,
13,6569905,45 mins,,,45 mins,20 ,20,503,39g,18g,2209mg,7g,2g,3g,31g,17mg,594mg,2mg,369mg,4.7,57,94mg,1 party platter
14,6738114,15 mins,7 mins,,22 mins,4 ,4,183,14g,7g,650mg,3g,0g,3g,7g,21mg,8mg,5mg,25mg,4.9,17,35mg,
15,6575586,20 mins,,,20 mins,6 ,6,196,15g,9g,636mg,4g,1g,,13g,2mg,18mg,0mg,39mg,5.0,13,41mg,
16,6584344,15 mins,,,15 mins,24 ,24,31,2g,1g,21mg,1g,0g,,2g,3mg,10mg,0mg,43mg,5.0,4,7mg,24 skewers
17,6741711,20 mins,36 mins,,56 mins,6 ,6,290,21g,3g,424mg,25g,7g,14g,4g,71mg,56mg,3mg,853mg,4.8,5,,6 servings
18,6606117,10 mins,20 mins,,30 mins,6 ,6,270,28g,4g,196mg,4g,1g,2g,1g,98mg,10mg,0mg,132mg,4.5,19,,
19,6570810,15 mins,10 mins,,25 mins,12 ,12,208,9g,3g,259mg,25g,2g,1g,9g,10mg,76mg,1mg,141mg,4.6,14,24mg,12 servings
20,6588785,15 mins,,,15 mins,8 ,8,148,15g,2g,239mg,2g,1g,1g,2g,21mg,37mg,1mg,149mg,4.4,72,5mg,1 cup
21,6575712,15 mins,2 mins,,17 mins,5 ,5,243,12g,4g,270mg,24g,3g,5g,13g,40mg,272mg,1mg,695mg,5.0,2,84mg,10 stuffed blossoms
22,6575049, 1 hr,55 mins, 8 hrs, 9 hrs 55 mins,36 ,36,53,3g,0g,292mg,7g,1g,5g,1g,30mg,27mg,1mg,208mg,4.6,5,,12 8-ounce jars
23,6596558,30 mins,, 5 hrs, 5 hrs 30 mins,10 ,10,477,49g,9g,553mg,3g,1g,0g,7g,1mg,176mg,0mg,26mg,,,20mg,10 peppers
24,6586438,25 mins,,,25 mins,12 ,12,121,7g,3g,431mg,11g,1g,9g,5g,27mg,25mg,1mg,265mg,4.2,27,19mg,36 appetizers
25,6589766,15 mins,10 mins,,25 mins,6 ,6,225,6g,2g,398mg,37g,3g,3g,7g,7mg,64mg,2mg,206mg,4.0,2,5mg,6 servings
26,6601728,15 mins,,,15 mins,12 ,12,56,3g,1g,185mg,5g,0g,,2g,,2mg,0mg,9mg,5.0,3,6mg,12 servings
27,6591864,10 mins,,3 days,3 days 10 mins,6 ,6,519,52g,16g,838mg,4g,0g,4g,11g,18mg,372mg,1mg,72mg,5.0,3,67mg,6 servings
28,6583857,20 mins,20 mins,1 day,1 day 40 mins,6 ,6,158,13g,4g,223mg,7g,2g,4g,4g,18mg,137mg,1mg,309mg,4.4,5,17mg,6 servings
29,6570458,10 mins,,,10 mins,8 ,8,108,6g,4g,41mg,8g,1g,6g,6g,1mg,10mg,0mg,129mg,,,22mg,8 skewers
30,6579912,20 mins,,,20 mins,9 ,9,89,6g,1g,434mg,4g,1g,2g,5g,8mg,24mg,0mg,93mg,5.0,2,13mg,18 bites
31,6573243,15 mins,40 mins,,55 mins,12 ,12,59,1g,0g,127mg,10g,4g,4g,2g,4mg,22mg,1mg,259mg,4.8,4,,2 pints
32,6585156,20 mins,20 mins,30 mins, 1 hr 10 mins,12 ,12,60,2g,0g,216mg,8g,2g,5g,1g,5mg,26mg,1mg,176mg,4.4,10,,12 servings
33,6575680,15 mins,,,15 mins,6 ,6,348,33g,13g,867mg,5g,1g,3g,10g,25mg,338mg,1mg,95mg,,,59mg,6 servings
34,6601571,20 mins,40 mins, 1 hr, 2 hrs,10 ,10,77,6g,1g,239mg,7g,2g,4g,1g,31mg,12mg,0mg,200mg,4.5,19,,10 servings
