,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6663152,15 mins,40 mins,20 mins, 1 hr 15 mins,24 ,2 (8x4-inch) loaves,24,255,13g,2g,23mg,180mg,32g,1g,19g,3g,2mg,26mg,1mg,74mg,4.8,"11,506"
1,6648155,15 mins,20 mins,,35 mins,24 ,2 dozen,24,217,10g,2g,23mg,170mg,30g,1g,17g,3g,2mg,15mg,1mg,81mg,4.5,262
2,6738205,15 mins,50 mins,20 mins, 1 hr 25 mins,12 ,4 mini loaves,12,461,20g,3g,47mg,281mg,67g,2g,41g,5g,6mg,45mg,2mg,131mg,4.8,"3,293"
3,6650021,20 mins,20 mins,10 mins,50 mins,12 ,12 muffins,12,227,10g,2g,31mg,388mg,32g,4g,17g,5g,5mg,42mg,1mg,265mg,4.7,302
4,6739003,25 mins, 1 hr 5 mins,, 1 hr 30 mins,20 ,2 (9x5-inch) loaves,20,278,15g,4g,28mg,193mg,35g,1g,24g,3g,2mg,14mg,2mg,103mg,4.7,"1,134"
5,6578808,15 mins,45 mins,, 1 hr,20 ,2 8x4-inch loaves,20,272,11g,2g,28mg,230mg,40g,2g,21g,4g,2mg,42mg,1mg,117mg,4.6,420
6,6663858,15 mins,45 mins,10 mins, 1 hr 10 mins,10 ,1 8x4-inch loaf,10,235,12g,1g,19mg,189mg,30g,1g,16g,3g,5mg,21mg,1mg,112mg,4.6,632
7,6601261,20 mins, 1 hr,, 1 hr 20 mins,24 ,2 9x5-inch loaves,24,207,10g,2g,31mg,219mg,27g,1g,14g,3g,3mg,28mg,1mg,66mg,4.5,267
8,6665037,10 mins, 1 hr,, 1 hr 10 mins,14 ,2 loaves,14,415,23g,3g,40mg,290mg,49g,2g,28g,5g,2mg,32mg,2mg,115mg,5.0,4
9,6584659,,,,,24 ,2 loaves,24,276,13g,2g,31mg,253mg,37g,1g,21g,4g,2mg,26mg,1mg,123mg,4.5,87
10,6604599,20 mins, 1 hr,, 1 hr 20 mins,24 ,2 - 9x5 inch loaves,24,207,7g,1g,31mg,143mg,33g,1g,18g,4g,2mg,21mg,1mg,88mg,4.4,159
11,6739475,10 mins,45 mins,10 mins, 1 hr 5 mins,24 ,8 (1 pint) jars,,,,,,,,,,,,,,,4.8,273
12,6602918,15 mins,55 mins,, 1 hr 10 mins,20 ,2 - 9x5 inch loaves,20,339,18g,4g,28mg,230mg,42g,2g,25g,5g,1mg,27mg,2mg,138mg,4.6,343
13,6736639,15 mins, 1 hr,, 1 hr 15 mins,24 ,2 (8x4-inch) loaves,24,231,12g,1g,23mg,156mg,30g,1g,17g,3g,2mg,18mg,1mg,85mg,4.7,"1,222"
14,6572051,20 mins,50 mins,, 1 hr 10 mins,16 ,2 (9x5-inch) loaves,16,361,17g,3g,35mg,247mg,49g,2g,29g,5g,3mg,26mg,2mg,133mg,4.8,86
15,6597073,20 mins, 1 hr,10 mins, 1 hr 30 mins,16 ,2 (8x4-inch) loaves,16,379,19g,3g,35mg,234mg,49g,2g,29g,5g,5mg,26mg,2mg,180mg,4.7,71
16,6570420,25 mins,20 mins,,40 mins,48 ,4 dozen,48,182,10g,2g,23mg,177mg,22g,1g,12g,2g,2mg,21mg,1mg,57mg,4.5,167
17,6577610,15 mins, 1 hr 20 mins,, 1 hr 35 mins,20 ,2 9x5-inch loaves,20,279,14g,2g,35mg,196mg,36g,1g,21g,3g,3mg,29mg,1mg,101mg,4.5,136
18,6578544,15 mins,30 mins,10 mins,55 mins,12 ,12 muffins,12,171,9g,5g,40mg,444mg,16g,1g,1g,7g,2mg,136mg,1mg,111mg,4.0,127
19,6585983,20 mins,50 mins,, 1 hr 10 mins,20 ,2 9x5-inch loaves,20,339,18g,3g,28mg,188mg,42g,2g,25g,4g,3mg,24mg,2mg,147mg,4.7,472
20,6597298,25 mins, 1 hr,10 mins, 1 hr 35 mins,8 ,1 9x5-inch loaf,8,574,32g,12g,61mg,453mg,68g,4g,33g,8g,6mg,161mg,3mg,226mg,4.8,15
21,6737180,15 mins,50 mins,35 mins, 1 hr 40 mins,16 ,2 loaves,16,298,14g,6g,46mg,483mg,39g,2g,20g,5g,5mg,40mg,2mg,152mg,4.5,18
22,6577497,20 mins, 1 hr 10 mins, 2 hrs, 3 hrs 30 mins,24 ,2 9x5-inch loaves,24,225,10g,2g,23mg,73mg,32g,1g,19g,3g,2mg,16mg,1mg,79mg,4.7,37
23,6577046,10 mins,35 mins,,45 mins,10 ,1 4 1/2-x 8 1/2-inch loaf,10,391,18g,2g,37mg,357mg,52g,2g,22g,7g,0mg,74mg,2mg,106mg,3.7,15
24,6582435,25 mins,50 mins,10 mins, 1 hr 25 mins,20 ,2 9x5-inch loaves,20,280,14g,4g,3mg,268mg,38g,1g,,3g,6mg,45mg,1mg,136mg,4.7,105
25,6590134,20 mins, 1 hr,10 mins, 1 hr 30 mins,16 ,2 8x4-inch loaves,16,294,15g,1g,35mg,233mg,38g,1g,26g,3g,3mg,19mg,1mg,102mg,4.7,171
26,6585095,15 mins,20 mins,,35 mins,36 ,36 muffins,36,101,1g,0g,16mg,114mg,22g,1g,13g,2g,1mg,14mg,1mg,73mg,4.5,59
27,6596815,20 mins, 1 hr 10 mins,, 1 hr 30 mins,24 ,2 (9x5-inch) loaf pans,24,200,8g,1g,,164mg,32g,1g,19g,2g,2mg,24mg,1mg,84mg,4.8,175
28,6577184,20 mins, 1 hr 20 mins,, 1 hr 40 mins,20 ,2 9x5-inch loaves,20,298,15g,4g,3mg,75mg,40g,1g,,3g,2mg,19mg,1mg,90mg,4.5,360
29,6585914,30 mins, 1 hr, 2 hrs, 3 hrs 30 mins,4 ,4 pint jars,4,1393,79g,17g,140mg,1308mg,164g,7g,102g,18g,12mg,126mg,6mg,734mg,4.7,3
30,6567129,15 mins,20 mins,,35 mins,12 ,12 muffins,12,136,6g,4g,26mg,126mg,18g,3g,2g,4g,5mg,25mg,1mg,216mg,,
31,6592643,15 mins, 1 hr,, 1 hr 15 mins,24 ,2 (9x5-inch) loaves,24,213,9g,1g,23mg,195mg,30g,1g,17g,3g,2mg,44mg,1mg,105mg,4.5,240
