,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Vitamin C,Soak Time:
14,6579347,Thick-Style Flour Tortillas,25 mins,2 mins,37 mins,14 ,14 8-inch tortillas,14,166,4g,0g,,237mg,27g,1g,0g,4g,45mg,2mg,39mg,4.7,12,10 mins,,
15,6599770,Tortillas I,20 mins,15 mins,45 mins,60 ,5 dozen,60,42,1g,0g,,26mg,8g,0g,,1g,11mg,1mg,11mg,4.2,304,10 mins,,
16,6599230,Tortillas II,40 mins,2 mins,50 mins,6 ,12 tortillas,6,171,3g,1g,,470mg,32g,1g,0g,4g,52mg,2mg,45mg,4.4,320,8 mins,,
17,6604414,Simple Egg and Cheese Breakfast Quesadillas,10 mins,20 mins,30 mins,2 ,2 6-inch quesadillas,2,449,22g,9g,393mg,920mg,40g,3g,6g,23g,291mg,4mg,404mg,5.0,3,,17mg,
18,6596298,Sincronizada,5 mins,5 mins,10 mins,1 ,1 sincronizada,1,534,22g,9g,57mg,1569mg,58g,4g,2g,25g,364mg,4mg,351mg,5.0,1,,2mg,
19,6595201,Mexican Ham and Cheese Breakfast Casserole,15 mins, 1 hr, 1 hr 25 mins,4 ,4 servings,4,690,22g,9g,179mg,773mg,101g,14g,7g,28g,431mg,4mg,772mg,4.0,1,10 mins,11mg,
20,6588242,Easy Mexican Tortilla Soup,20 mins,35 mins,55 mins,8 ,8 cups,8,271,17g,3g,14mg,1112mg,25g,7g,4g,8g,125mg,1mg,592mg,,,,17mg,
21,6572843,Easy Grilled Shrimp Fajitas,20 mins,20 mins,40 mins,4 ,8 fajitas,4,310,7g,2g,128mg,645mg,41g,4g,5g,20g,123mg,5mg,400mg,5.0,1,,69mg,
22,6605712,Copycat Triple Layer Nachos,5 mins,15 mins,20 mins,4 ,4 servings,4,613,38g,8g,16mg,1082mg,61g,11g,3g,12g,171mg,3mg,187mg,,,,3mg,
23,6602851,Easy Air Fryer Chicken Taquitos,15 mins,10 mins,25 mins,12 ,12 taquitos,12,125,5g,2g,6mg,246mg,17g,1g,1g,4g,41mg,1mg,50mg,5.0,1,,,
24,6597547,Mexican Bean and Tortilla Soup (Sopa Tarasca),10 mins,35 mins,45 mins,4 ,4 servings,4,425,16g,4g,11mg,1099mg,55g,20g,1g,19g,190mg,6mg,938mg,5.0,1,,11mg,
25,6594369,Shrimp Tacodillas,15 mins,25 mins,40 mins,4 ,9 tacodillas,4,637,38g,14g,243mg,1298mg,38g,6g,6g,38g,460mg,4mg,574mg,,,,18mg,
26,6586435,Migas Breakfast Tacos,5 mins,10 mins,15 mins,2 ,6 tacos,2,456,19g,7g,388mg,235mg,55g,8g,6g,20g,153mg,3mg,371mg,,,,2mg,
27,6741661,Peanut Butter Burrito,5 mins,,5 mins,1 ,1 burrito,1,313,14g,3g,,335mg,40g,3g,10g,8g,27mg,2mg,175mg,4.0,2,,,
28,6605176,Twisted Air Fryer Shrimp Tacos,20 mins,6 mins,46 mins,6 ,,6,233,7g,3g,129mg,170mg,19g,4g,3g,20g,107mg,3mg,430mg,4.0,1,20 mins,44mg,
29,6579001,Flourless Crepe Tortillas,10 mins,1 mins,11 mins,9 ,9 8-inch tortillas,9,71,3g,1g,85mg,67mg,7g,0g,0g,3g,13mg,1mg,32mg,5.0,8,,,
30,6568205,"""Cheeseburger"" Quesadillas",10 mins,15 mins,25 mins,4 ,2 quesadillas,4,698,52g,16g,66mg,1584mg,35g,2g,8g,25g,479mg,3mg,406mg,3.0,1,,13mg,
31,6574674,Quick and Easy Mexican Breakfast Tacos,15 mins,11 mins,26 mins,4 ,4 tacos,4,436,17g,9g,220mg,1168mg,55g,11g,2g,27g,344mg,5mg,670mg,,,,6mg,
