,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Total Sugars,Calcium,Potassium,Average_Review,Review_Count,Protein,Vitamin C,Dietary Fiber,Iron
0,6650801,Marshmallow Fondant,30 mins,5 mins, 8 hrs, 8 hrs 35 mins,10 ,2 1/4 pounds fondant,10,555,5g,3g,12mg,90mg,127g,115g,3mg,4mg,4.6,"1,273",,,,
1,6562206,Fondant Icing,30 mins,5 mins,,35 mins,16 ,Enough fondant to cover 1 (10-inch) cake,16,293,2g,0g,,2mg,70g,61g,1mg,2mg,4.6,198,0g,,,
2,6565368,Cake Fondant,15 mins,,,15 mins,14 ,,14,314,8g,5g,22mg,66mg,62g,61g,44mg,57mg,3.6,25,1g,0mg,,
3,6738980,Rolled Buttercream Fondant,10 mins,,,10 mins,45 ,3 pounds of fondant,45,140,5g,1g,,31mg,26g,22g,1mg,1mg,3.7,749,,,,
4,6594570,Homemade Marzipan,10 mins,,,10 mins,12 ,12 ounces,12,155,8g,1g,,5mg,19g,16g,0mg,5mg,5.0,2,4g,,2g,
5,6594566,Fondant for Chocolate Cherries,15 mins,,30 mins,45 mins,40 ,40 servings,40,36,1g,1g,2mg,22mg,7g,7g,1mg,0mg,4.5,2,,,,
6,6595349,Chocolate Fondant A La Maille®,,,,,6 ,6 servings,6,712,52g,30g,308mg,492mg,50g,36g,55mg,280mg,5.0,2,11g,0mg,4g,2mg
