,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,7559227,15 mins,40 mins,55 mins,10 ,10,274,10g,6g,43mg,184mg,45g,2g,32g,3g,6mg,46mg,1mg,209mg,4.5,4,,
1,6589242,20 mins,35 mins,55 mins,10 ,10,305,11g,6g,24mg,238mg,51g,5g,24g,4g,29mg,43mg,2mg,162mg,5.0,4,,
2,6663454,30 mins,45 mins, 1 hr 15 mins,12 ,12,316,8g,5g,20mg,98mg,61g,3g,44g,2g,4mg,36mg,1mg,162mg,4.7,"8,046",1 (9x13-inch) crisp,
3,6582018,15 mins,40 mins,55 mins,8 ,8,398,12g,7g,31mg,232mg,74g,3g,50g,3g,14mg,26mg,2mg,123mg,4.7,21,,
4,6568644,15 mins,40 mins,55 mins,8 ,8,313,10g,6g,23mg,84mg,56g,4g,39g,3g,4mg,43mg,1mg,141mg,4.5,4,,
5,6664194,15 mins,30 mins,45 mins,8 ,8,238,12g,7g,31mg,162mg,31g,1g,17g,2g,27mg,32mg,1mg,89mg,4.7,712,1 (8-inch) baking dish,
6,6650808,20 mins,40 mins, 1 hr,4 ,4,618,25g,15g,61mg,177mg,99g,8g,63g,5g,10mg,69mg,2mg,360mg,4.8,"1,039",,
7,6670360,15 mins,45 mins, 1 hr 10 mins,8 ,8,423,20g,8g,31mg,93mg,59g,5g,,6g,,,,359mg,4.0,1,,10 mins
8,6648717,15 mins,10 mins,25 mins,6 ,6,382,16g,10g,41mg,119mg,60g,5g,41g,3g,7mg,49mg,2mg,252mg,4.5,160,1 (8-inch) square dish,
9,6590121,15 mins,30 mins,45 mins,9 ,9,222,8g,4g,14mg,43mg,38g,3g,28g,3g,61mg,27mg,1mg,164mg,4.5,67,1 (8-inch) square dish,
10,6649656,25 mins,40 mins, 1 hr 5 mins,8 ,8,269,12g,4g,15mg,47mg,43g,4g,32g,2g,7mg,37mg,1mg,207mg,4.6,229,1 8-inch crisp,
11,6663223,20 mins,40 mins, 1 hr,6 ,6,365,16g,10g,41mg,207mg,56g,2g,38g,2g,2mg,13mg,1mg,77mg,4.8,340,1 (8-inch square) crisp,
12,6664966,15 mins,40 mins, 1 hr 25 mins,8 ,8,416,19g,11g,97mg,124mg,58g,3g,31g,5g,10mg,51mg,2mg,114mg,4.8,137,1 2-quart baking dish,30 mins
13,6738813,15 mins,40 mins,55 mins,12 ,12,215,8g,5g,32mg,192mg,35g,1g,25g,2g,9mg,49mg,1mg,150mg,4.4,200,1 9x9-inch crisp,
14,6579976,20 mins, 1 hr, 1 hr 20 mins,12 ,12,199,2g,1g,18mg,137mg,47g,4g,33g,2g,6mg,89mg,1mg,152mg,4.4,152,1 8-inch square crisp,
15,6605267,10 mins,20 mins,30 mins,6 ,6,556,31g,5g,,398mg,67g,2g,9g,5g,1mg,31mg,2mg,119mg,3.5,66,1 8x8-inch dish,
16,6571623,10 mins,30 mins,55 mins,6 ,6,362,14g,2g,,140mg,57g,2g,16g,3g,4mg,40mg,1mg,188mg,4.5,316,,15 mins
17,6739205,20 mins,40 mins, 1 hr,8 ,8,376,12g,7g,31mg,91mg,65g,3g,44g,3g,2mg,43mg,2mg,146mg,4.5,"1,052",1 8-inch pan,
18,6600702,15 mins,40 mins,55 mins,6 ,6,414,17g,10g,72mg,631mg,65g,2g,47g,4g,13mg,88mg,2mg,246mg,4.7,198,1 8x8-inch dish,
19,6602227,15 mins,45 mins, 1 hr,9 ,9,299,11g,7g,27mg,82mg,49g,2g,35g,3g,3mg,68mg,1mg,197mg,4.7,138,1 8x8-inch pan,
20,6594716,15 mins,30 mins,45 mins,10 ,10,320,11g,5g,32mg,259mg,52g,2g,29g,4g,3mg,80mg,2mg,81mg,4.6,"1,670",1 (8x8-inch) cake,
21,6650380,20 mins, 1 hr 5 mins, 1 hr 25 mins,10 ,10,329,10g,6g,24mg,75mg,59g,2g,42g,3g,4mg,71mg,1mg,210mg,4.6,68,1 9x13-inch crisp,
22,6597658,30 mins,45 mins, 1 hr 15 mins,8 ,8,276,12g,7g,31mg,109mg,43g,2g,32g,2g,7mg,12mg,1mg,95mg,4.7,381,1 9-inch apple betty,
23,6650563,30 mins, 2 hrs, 3 hrs 30 mins,8 ,8,444,22g,8g,31mg,107mg,63g,4g,,4g,6mg,41mg,1mg,213mg,4.5,440,, 1 hr
24,6598616,20 mins,40 mins, 1 hr,8 ,8,395,16g,8g,31mg,103mg,61g,5g,40g,5g,3mg,68mg,2mg,239mg,4.5,68,,
25,6596246,15 mins,40 mins,55 mins,12 ,12,189,6g,4g,15mg,76mg,32g,1g,7g,2g,2mg,16mg,1mg,88mg,4.6,161,1 9x9-inch crumble,
26,6605695,10 mins,35 mins,45 mins,8 ,8,318,13g,7g,31mg,91mg,50g,5g,30g,4g,15mg,54mg,2mg,206mg,4.8,56,1 (8-inch) crisp,
27,6649924,15 mins,45 mins, 1 hr,18 ,18,253,11g,7g,27mg,78mg,38g,2g,25g,2g,18mg,39mg,1mg,149mg,4.7,"1,255",,
28,6739840,15 mins,50 mins, 1 hr 5 mins,12 ,12,300,12g,6g,21mg,183mg,48g,3g,37g,2g,4mg,69mg,1mg,154mg,4.7,733,1 (9x13-inch) baking dish,
29,6649855,20 mins,30 mins,50 mins,18 ,18,295,16g,10g,41mg,113mg,36g,3g,17g,3g,6mg,29mg,1mg,113mg,4.6,"1,367",,
30,6580993,20 mins,45 mins, 1 hr 15 mins,15 ,15,358,13g,8g,33mg,93mg,59g,4g,38g,3g,5mg,37mg,1mg,188mg,4.5,46,1 9x13-inch crisp,10 mins
31,6650015,15 mins,40 mins,55 mins,12 ,12,366,16g,10g,41mg,116mg,54g,2g,35g,3g,2mg,52mg,1mg,160mg,4.5,474,,
32,6576869,20 mins,35 mins, 1 hr 40 mins,4 ,4,605,16g,8g,31mg,97mg,117g,8g,85g,6g,7mg,71mg,2mg,370mg,4.1,23,4 servings,45 mins
33,6664118,45 mins,55 mins, 1 hr 40 mins,12 ,12,502,20g,11g,46mg,208mg,81g,3g,58g,5g,5mg,107mg,1mg,275mg,4.6,280,12 servings,
