,id_recipe,name,Cook Time:,Soak Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Prep Time:,Yield:,Total Fat,Total Sugars,Vitamin C,Calcium,Iron,Additional Time:,Saturated Fat,Cholesterol
20,6651125,All-Day Apple Butter, 11 hrs,, 11 hrs 30 mins,128 ,128,34,5mg,9g,1g,0g,21mg,4.7,"1,251",30 mins,4 pints,,8g,1mg,2mg,,,,
21,6650234,Chef John's Kumquat Marmalade,45 mins,, 3 hrs 30 mins,32 ,32,35,2mg,9g,1g,0g,32mg,4.8,48,45 mins,2 cups,0g,8g,9mg,11mg,0mg, 2 hrs,,
22,6738674,Peach Preserves,35 mins,,50 mins,64 ,64,59,1mg,15g,,,6mg,4.6,225,15 mins,8 cups,,15g,8mg,2mg,,,,
23,6605723,Mint Jelly,15 mins,,35 mins,32 ,32,86,1mg,22g,0g,,10mg,4.2,57,10 mins,4 1/2-pint jars,,22g,1mg,3mg,,10 mins,,
24,6577085,Strawberry-Rhubarb Jam,15 mins,, 12 hrs 45 mins,192 ,192,42,0mg,11g,0g,,14mg,4.3,125,30 mins,12 half-pint jars,,11g,2mg,3mg,, 12 hrs,,
25,6648803,Grandma's Pear Preserves,15 mins,, 12 hrs 45 mins,48 ,48,151,1mg,39g,1g,0g,30mg,3.9,126,30 mins,6 half pints,0g,38g,1mg,5mg,0mg, 12 hrs,,
26,6600959,Zucchini Pickles,30 mins,,1 day 5 hrs,96 ,96,20,2mg,5g,0g,0g,34mg,4.6,91,30 mins,3 quarts,0g,5g,2mg,3mg,0mg,1 day 4 hrs,,
27,6569907,Apricot Jam,40 mins,, 2 hrs,50 ,50,105,0mg,27g,1g,0g,66mg,4.5,69,20 mins,5 pints,0g,26g,3mg,4mg,0mg, 1 hr,,
28,6650034,Japanese-Style Pickled Cucumber (Sunomono),,,50 mins,8 ,8,51,329mg,9g,1g,1g,96mg,4.0,9,10 mins,,2g,7g,2mg,31mg,1mg,40 mins,0g,
29,6736720,Spicy Refrigerator Dill Pickles,,,10 days 2 hrs 15 mins,12 ,12,70,728mg,17g,1g,2g,338mg,4.6,288,15 mins,,0g,12g,10mg,50mg,1mg,10 days 2 hrs,0g,
30,6741680,Pear Jam,20 mins,,40 mins,64 ,64,99,1mg,25g,0g,0g,16mg,4.4,47,20 mins,8 (1/2-pint) jars,0g,25g,1mg,2mg,,,,0mg
31,6567794,Apple Jelly,40 mins,,1 day 1 hr,100 ,100,68,2mg,18g,0g,0g,17mg,4.0,24,20 mins,,0g,17g,1mg,1mg,0mg,1 day,0g,0mg
32,6562369,Onion Jam,55 mins,, 1 hr 20 mins,32 ,32,37,19mg,5g,0g,0g,35mg,4.7,47,25 mins,,2g,4g,2mg,5mg,0mg,,0g,
33,6564975,Pickled Asparagus,20 mins,, 2 hrs 50 mins,15 ,15,41,2157mg,10g,0g,0g,33mg,4.5,62,30 mins,2 pints,0g,9g,1mg,12mg,0mg, 2 hrs,,
34,6565847,Vinegar Pickled Carrots,15 mins,, 12 hrs 25 mins,32 ,32,11,85mg,3g,1g,0g,58mg,4.4,44,10 mins,4 cups,,2g,1mg,6mg,0mg, 12 hrs,,
35,6736424,Sauerkraut for Canning, 1 hr 30 mins,,21 days 15 hrs 20 mins,144 ,144,39,1470mg,9g,4g,2g,268mg,4.6,29, 1 hr,36 pints,0g,,58mg,64mg,1mg,21 days 12 hrs 50 mins,,
36,6605452,Pop's Dill Pickles,35 mins,, 3 hrs 5 mins,35 ,35,35,1585mg,9g,1g,1g,163mg,4.3,193,30 mins,7 quarts,0g,6g,4mg,22mg,0mg, 2 hrs,,
37,6575182,Pickled Red Onions,10 mins,, 1 hr 45 mins,16 ,16,8,133mg,1g,0g,0g,21mg,4.9,13,5 mins,2 cups,0g,1g,0mg,6mg,0mg, 1 hr 30 mins,0g,0mg
38,6648960,Crab Apple Jelly,50 mins,, 13 hrs 50 mins,32 ,32,94,0mg,24g,0g,0g,54mg,4.3,102, 1 hr,4 (1/2 pint) jars,0g,19g,2mg,6mg,0mg, 12 hrs,,
39,6649433,Sweet and Spicy Pepper Relish,25 mins,, 1 hr 50 mins,24 ,24,49,147mg,12g,0g,0g,54mg,4.7,23,25 mins,3 (1/2-pint) jars,0g,11g,22mg,3mg,0mg, 1 hr,,
40,6586893,Red Onion Marmalade,40 mins,,45 mins,8 ,8,112,15mg,12g,1g,1g,99mg,4.9,28,5 mins,,5g,9g,3mg,14mg,0mg,,1g,4mg
41,6581454,Pumpkin Butter,35 mins,,55 mins,40 ,40,39,49mg,10g,1g,0g,50mg,4.6,286,20 mins,5 1/2-pint jars,0g,9g,1mg,7mg,0mg,,0g,
42,6586332,Summertime Sweet Pickles,10 mins,,1 day 20 mins,24 ,24,39,488mg,9g,0g,0g,64mg,4.3,77,10 mins,1 quart,0g,,1mg,7mg,0mg,1 day,,
43,6597793,Pickled Onions,25 mins,, 1 hr,6 ,6,19,1745mg,5g,0g,0g,49mg,4.1,139,5 mins,,,2g,1mg,5mg,0mg,30 mins,,
44,6739848,Homemade Refrigerator Pickles,15 mins,,1 day 40 mins,64 ,64,27,92mg,7g,0g,0g,22mg,4.7,431,25 mins,,,,2mg,2mg,,1 day,,
45,6564952,Traditional Kimchi,,,3 days 2 hrs 45 mins,24 ,24,9,19mg,2g,0g,0g,80mg,4.4,5,45 mins,3 pints,0g,1g,7mg,20mg,0mg,3 days 2 hrs,,
46,6587610,Pickled Jalapeños,5 mins,, 1 hr,48 ,48,5,146mg,1g,0g,0g,21mg,4.8,67,10 mins,1 1/2 quarts,0g,1g,4mg,1mg,0mg,45 mins,,
47,6567642,Plum Jam,30 mins,, 13 hrs,96 ,96,48,0mg,12g,0g,,9mg,4.5,102,30 mins,6 (half-pint) jars,,12g,1mg,1mg,, 12 hrs,,
48,6738735,Pickled Hot Peppers,25 mins,, 12 hrs 55 mins,80 ,80,5,2mg,1g,1g,0g,39mg,4.3,87,30 mins,5 pints,0g,,10mg,2mg,0mg, 12 hrs,,
49,6582349,Pickled Peppers,15 mins,, 8 hrs 25 mins,6 ,6,62,70mg,15g,1g,1g,126mg,4.9,19,10 mins,,0g,14g,76mg,6mg,0mg, 8 hrs,,
50,6567226,Prickly Pear Jelly,30 mins,,1 day 1 hr,24 ,24,193,6mg,49g,4g,1g,259mg,4.3,21,30 mins,"3 pints, or 6 half-pints",1g,38g,17mg,65mg,0mg,1 day,0g,
51,6663390,Nana's Southern Pickled Peaches,45 mins,, 13 hrs 15 mins,40 ,40,88,2mg,23g,0g,0g,14mg,4.9,57,30 mins,5 quarts,,,15mg,11mg,0mg, 12 hrs,,
52,6566457,Mango Jam,30 mins,,45 mins,24 ,24,73,1mg,19g,1g,0g,59mg,4.7,70,15 mins,3 cups,0g,18g,11mg,4mg,0mg,,,
53,6650666,Chef John's Apple Butter, 10 hrs,, 10 hrs 15 mins,32 ,32,82,75mg,22g,2g,0g,86mg,4.9,99,15 mins,4 cups,,20g,4mg,9mg,0mg,,,
54,6565340,Habanero Pepper Jelly,20 mins,, 4 hrs 50 mins,64 ,64,82,2mg,21g,0g,0g,23mg,4.8,188,30 mins,8 half pint jars,,21g,2mg,1mg,, 4 hrs,,
55,6581616,Easy Homemade Sauerkraut,,,7 days 25 mins,24 ,24,28,678mg,7g,3g,1g,182mg,4.8,5,25 mins,3 pounds of sauerkraut,0g,3g,35mg,41mg,8mg,7 days,,
56,6587765,Mustard Pickles,30 mins,, 21 hrs 15 mins,32 ,32,78,21mg,19g,1g,1g,159mg,3.6,16,45 mins,4 quarts,0g,15g,3mg,20mg,0mg, 20 hrs,0g,0mg
57,6563410,Real Fig Preserves, 1 hr 25 mins,,2 days 14 hrs,64 ,64,36,9mg,7g,1g,0g,34mg,4.5,94,35 mins,8 half-pint jars,1g,,2mg,7mg,0mg,2 days 12 hrs,1g,2mg
58,6564626,Grape Jelly,5 mins,,15 mins,48 ,48,94,1mg,24g,,0g,21mg,4.5,64,10 mins,3 pints,,24g,,2mg,,,,
59,6561800,Strawberry Fig Preserves,20 mins,, 1 hr 50 mins,40 ,40,78,9mg,20g,1g,0g,39mg,4.7,44,30 mins,5 half pints,,20g,0mg,6mg,0mg, 1 hr,,
