,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Additional Time:,Yield:
37,6595417,Creamy Quinoa Risotto,10 mins,40 mins,50 mins,4 ,4,324,16g,8g,199mg,31g,3g,1g,10g,2mg,148mg,2mg,312mg,4.4,9,37mg,,4 side-dish servings
38,6578871,Easy Quinoa and Edamame Salad,30 mins,, 1 hr 30 mins,5 ,5,327,20g,2g,92mg,32g,5g,12g,8g,32mg,93mg,2mg,355mg,4.7,7,, 1 hr,
39,6578576,Southwestern Quinoa Salad,30 mins,15 mins, 1 hr 25 mins,8 ,8,195,10g,4g,197mg,22g,3g,3g,6g,18mg,91mg,1mg,189mg,4.7,156,18mg,40 mins,
40,6588134,Simple Savory Quinoa,15 mins,30 mins,45 mins,3 ,3,227,11g,2g,195mg,27g,4g,4g,5g,6mg,49mg,2mg,386mg,4.5,108,,,
41,6575563,"Spinach, Tomato, and Feta Quinoa Salad",10 mins,15 mins, 1 hr,4 ,4,388,24g,5g,446mg,35g,5g,4g,10g,19mg,160mg,4mg,627mg,4.9,7,17mg,35 mins,
42,6602478,Quinoa and Vegetable Soup,30 mins,45 mins, 1 hr 15 mins,6 ,6,280,12g,4g,1923mg,32g,9g,7g,12g,24mg,174mg,3mg,412mg,4.6,60,24mg,,
43,6606367,Mexican Quinoa,20 mins,20 mins,40 mins,4 ,4,244,6g,1g,986mg,38g,5g,3g,8g,8mg,23mg,0mg,129mg,4.7,176,2mg,,
44,6595967,Cranberry Lentil and Quinoa Salad,15 mins,45 mins, 2 hrs,12 ,12,205,9g,2g,123mg,25g,7g,5g,8g,3mg,55mg,2mg,266mg,4.5,54,6mg, 1 hr,
45,6598981,Pesto Quinoa,5 mins,20 mins,25 mins,4 ,4,198,6g,1g,70mg,29g,4g,1g,7g,5mg,59mg,0mg,110mg,4.3,99,3mg,,
46,6574411,Amazing Mexican Quinoa Salad,20 mins,, 2 hrs 20 mins,8 ,8,397,23g,3g,532mg,42g,9g,3g,9g,22mg,47mg,2mg,272mg,4.6,63,, 2 hrs,
47,6584394,Quinoa Cookies,10 mins,35 mins,50 mins,18 ,18,188,8g,3g,274mg,28g,3g,14g,4g,1mg,28mg,1mg,146mg,4.7,77,,5 mins,18 cookies
48,6605137,"Carrot, Tomato, and Spinach Quinoa Pilaf",10 mins,25 mins,35 mins,5 ,5,165,4g,1g,52mg,27g,4g,2g,6g,8mg,44mg,2mg,376mg,4.5,97,,,2 1/2 cups
49,6581378,Garlic Kale Quinoa,10 mins,25 mins,35 mins,2 ,2,188,9g,1g,19mg,22g,3g,,5g,41mg,64mg,2mg,316mg,4.4,38,,,
50,6598637,Quinoa Jambalaya,10 mins,30 mins,40 mins,6 ,6,420,28g,12g,1091mg,26g,3g,4g,15g,2mg,30mg,2mg,257mg,4.6,59,56mg,,
51,6596007,Warm Quinoa Salad,20 mins,20 mins,40 mins,4 ,4,483,18g,3g,1211mg,69g,13g,5g,16g,33mg,79mg,5mg,823mg,4.3,3,,,
52,6738435,Chicken with Quinoa and Veggies,30 mins,30 mins, 1 hr,4 ,4,445,24g,7g,361mg,35g,5g,4g,23g,15mg,174mg,1mg,347mg,4.6,531,59mg,,
53,6577484,Spiced Quinoa,20 mins,25 mins,45 mins,4 ,4,440,16g,2g,851mg,65g,9g,14g,15g,6mg,78mg,5mg,659mg,4.7,418,0mg,,2 cups
54,6571607,Quinoa Vegetable Salad,30 mins,30 mins, 1 hr 45 mins,10 ,10,99,4g,1g,649mg,14g,2g,3g,2g,17mg,22mg,1mg,193mg,4.6,151,0mg,45 mins,5 cups
55,6590451,Steel-Cut Oats and Quinoa Breakfast,5 mins,20 mins,40 mins,4 ,4,191,5g,1g,8mg,31g,5g,1g,8g,0mg,57mg,3mg,207mg,5.0,13,,15 mins,
56,6572573,Quinoa and Pepper Pilaf,10 mins,25 mins,35 mins,4 ,4,223,6g,1g,272mg,35g,4g,2g,7g,97mg,35mg,3mg,423mg,4.4,18,,,
57,6585007,New Year's Soup,20 mins,50 mins, 1 hr 10 mins,4 ,4,232,6g,1g,556mg,37g,8g,4g,10g,16mg,88mg,1mg,359mg,4.6,22,,,
58,6606053,Blackened Chicken with Avocado Cream Sauce,10 mins,30 mins,40 mins,4 ,4,367,10g,2g,356mg,33g,6g,2g,35g,8mg,35mg,5mg,416mg,4.5,70,71mg,,
59,6564706,Quinoa Veggie Salad with Zesty Vinaigrette,10 mins,20 mins, 1 hr 30 mins,24 ,24,215,13g,1g,371mg,21g,3g,1g,4g,6mg,35mg,2mg,226mg,4.6,104,, 1 hr,
60,6605701,Black Bean and Quinoa Enchilada Bake,15 mins, 1 hr, 1 hr 15 mins,6 ,6,388,18g,9g,673mg,39g,9g,2g,19g,82mg,341mg,4mg,701mg,4.7,55,40mg,,6 servings
