,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Calcium,Potassium,Average_Review,Review_Count,Cholesterol,Total Sugars,Vitamin C,Iron
0,6600263,40 mins,20 mins, 10 hrs 30 mins, 11 hrs 30 mins,15 ,30 macaron sandwich cookies,15,73,3g,0g,8mg,12g,1g,1g,0mg,0mg,4.7,35,,,,
1,6648904,10 mins,15 mins,,25 mins,12 ,1 dozen,12,287,12g,11g,187mg,41g,4g,4g,98mg,252mg,4.6,"1,584",11mg,30g,1mg,1mg
2,6582074,15 mins,5 mins,,20 mins,15 ,15 macaroons,15,228,9g,6g,62mg,38g,2g,2g,20mg,93mg,4.1,86,17mg,29g,,1mg
3,6738800,20 mins,20 mins,25 mins, 1 hr 5 mins,24 ,24 macaroons,24,133,10g,8g,43mg,11g,2g,2g,30mg,101mg,4.5,60,3mg,9g,0mg,1mg
4,6578449,20 mins,15 mins,45 mins, 1 hr 20 mins,18 ,18 macaroons,18,178,10g,8g,73mg,23g,3g,2g,7mg,134mg,4.6,151,,19g,,1mg
5,6580981,15 mins,12 mins,,27 mins,12 ,12 cookies,12,91,4g,3g,44mg,15g,1g,1g,2mg,54mg,4.5,123,,13g,,0mg
6,6587223,15 mins,20 mins,,35 mins,18 ,18 cookies,18,71,3g,3g,53mg,10g,1g,1g,2mg,47mg,4.5,81,,8g,,0mg
7,6581916,15 mins,55 mins,30 mins, 1 hr 40 mins,36 ,36 macaroons,36,103,6g,5g,79mg,12g,2g,1g,18mg,84mg,4.0,3,2mg,10g,0mg,0mg
8,6597795,,20 mins,,20 mins,36 ,3 dozen cookies,36,49,2g,2g,22mg,9g,1g,1g,2mg,27mg,4.3,81,,8g,,0mg
9,6601837,,,,,24 ,4 dozen,24,132,6g,5g,69mg,18g,2g,2g,48mg,122mg,4.0,160,6mg,15g,0mg,0mg
10,6577386,25 mins,45 mins,5 mins, 1 hr 15 mins,18 ,18 bars,18,479,29g,20g,125mg,52g,5g,7g,85mg,299mg,4.2,120,76mg,36g,1mg,2mg
11,6584547,10 mins,15 mins,,25 mins,3 ,3 coconut cakes,3,624,40g,33g,90mg,64g,9g,10g,44mg,366mg,4.0,1,186mg,54g,3mg,3mg
12,6576125,10 mins,20 mins,15 mins,45 mins,30 ,30 cookies,30,23,0g,0g,32mg,5g,0g,0g,0mg,7mg,4.2,6,,4g,0mg,0mg
13,6605708,30 mins,25 mins,45 mins, 1 hr 40 mins,16 ,16 macarons,16,118,7g,3g,22mg,12g,1g,2g,17mg,19mg,3.5,2,13mg,9g,,
14,6606435,20 mins,15 mins,5 mins,40 mins,24 ,24 macaroons,24,161,6g,5g,227mg,25g,2g,2g,53mg,133mg,4.0,6,6mg,15g,0mg,2mg
15,6572132,40 mins,20 mins,30 mins, 1 hr 30 mins,65 ,65 macaroons,65,91,4g,2g,6mg,13g,1g,1g,10mg,29mg,1.0,1,0mg,11g,0mg,0mg
16,6590323,20 mins,20 mins,20 mins, 1 hr,8 ,16 macaroons,8,166,7g,7g,120mg,26g,3g,2g,4mg,113mg,4.1,15,,22g,0mg,1mg
17,6576372,10 mins,10 mins, 1 hr, 1 hr 20 mins,24 ,2 dozen cookies,24,123,5g,3g,61mg,19g,1g,1g,12mg,49mg,4.4,25,11mg,14g,,0mg
18,6585585,15 mins,15 mins,,30 mins,18 ,18 cookies,18,242,11g,8g,110mg,33g,3g,3g,75mg,182mg,5.0,4,7mg,20g,1mg,1mg
19,6573175,10 mins,5 mins,15 mins,30 mins,24 ,24 servings,24,129,5g,3g,35mg,20g,2g,2g,14mg,73mg,4.4,20,11mg,13g,,1mg
20,6573143,20 mins,25 mins,15 mins, 1 hr,48 ,4 dozen,48,83,3g,0g,20mg,12g,1g,2g,20mg,46mg,2.5,4,,7g,,0mg
21,6594636,,,,,24 ,4 dozen,24,148,6g,4g,91mg,24g,1g,2g,12mg,45mg,4.2,14,26mg,15g,1mg,2mg
22,6581721,20 mins,20 mins,10 mins,50 mins,48 ,4 dozen,48,42,1g,1g,28mg,8g,0g,1g,1mg,21mg,4.2,186,,7g,,0mg
23,6592454,20 mins,20 mins,,40 mins,24 ,2 dozen cookies,24,90,3g,3g,85mg,16g,2g,2g,7mg,102mg,3.8,4,,12g,,1mg
24,6596384,15 mins,5 mins,10 mins,30 mins,18 ,18 cookies,18,180,10g,2g,115mg,21g,1g,5g,29mg,129mg,4.7,11,,10g,1mg,2mg
25,6582276,15 mins,21 mins,30 mins, 1 hr 6 mins,36 ,3 dozen,36,182,16g,13g,32mg,13g,4g,2g,7mg,116mg,,,,5g,0mg,1mg
26,6582242,15 mins,10 mins,,25 mins,24 ,24 servings,24,98,5g,4g,61mg,13g,2g,2g,3mg,84mg,3.3,3,,10g,,0mg
27,6580562,15 mins,12 mins,23 mins,50 mins,60 ,5 dozen,60,51,2g,2g,27mg,7g,1g,1g,19mg,48mg,3.9,47,2mg,6g,0mg,0mg
28,6588544,,,,,30 ,5 dozen,30,83,4g,1g,44mg,11g,1g,1g,10mg,32mg,3.7,7,6mg,7g,,0mg
29,6604569,,,,,24 ,4 dozen,24,143,7g,4g,68mg,20g,1g,2g,12mg,64mg,3.8,5,19mg,13g,,1mg
30,6597557,,,,,24 ,2 dozen,24,87,3g,0g,20mg,15g,1g,1g,17mg,37mg,3.3,7,,10g,,0mg
31,6593700,30 mins,20 mins,,50 mins,18 ,18 macaroons,18,62,3g,2g,22mg,9g,1g,1g,5mg,60mg,2.7,3,,7g,,0mg
32,6590855,15 mins,18 mins,,33 mins,30 ,2 1/2 dozen cookies,30,54,2g,2g,18mg,9g,1g,1g,1mg,22mg,4.2,34,,7g,1mg,1mg
33,6586974,15 mins,12 mins,,27 mins,24 ,2 dozen,24,106,5g,3g,117mg,15g,0g,1g,13mg,42mg,4.4,7,18mg,9g,2mg,0mg
34,6581103,,,,,12 ,2 dozen,12,266,16g,3g,36mg,27g,4g,7g,64mg,184mg,4.5,10,31mg,23g,,2mg
