,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6649314,15 mins, 1 hr, 1 hr 15 mins,8 ,8 cabbage rolls,8,223,13g,5g,66mg,657mg,13g,1g,3g,13g,25mg,33mg,2mg,338mg,4.4,"1,466",
1,6664721,15 mins,35 mins,50 mins,6 ,,6,398,24g,9g,93mg,1294mg,16g,5g,10g,29g,59mg,119mg,7mg,852mg,4.6,"1,630",
2,6663918,30 mins, 2 hrs, 2 hrs 30 mins,12 ,,12,441,16g,6g,43mg,801mg,60g,8g,11g,18g,102mg,125mg,5mg,929mg,4.2,183,
3,6570612,45 mins, 2 hrs 45 mins, 3 hrs 30 mins,10 ,,10,468,30g,11g,137mg,715mg,22g,4g,11g,28g,51mg,91mg,4mg,871mg,4.6,205,
4,6738723,30 mins, 8 hrs, 8 hrs 30 mins,6 ,,6,246,11g,4g,84mg,748mg,18g,2g,7g,19g,27mg,64mg,3mg,455mg,4.3,"1,678",
5,6604385,20 mins,55 mins, 1 hr 35 mins,6 ,,6,316,9g,3g,50mg,2253mg,42g,11g,16g,22g,91mg,137mg,5mg,1610mg,4.6,35,20 mins
6,6602954,30 mins, 2 hrs 30 mins, 3 hrs,8 ,,8,207,4g,2g,8mg,521mg,40g,3g,7g,6g,69mg,137mg,3mg,685mg,4.2,58,
7,6664053,25 mins, 3 hrs 5 mins, 3 hrs 30 mins,8 ,,8,315,15g,5g,119mg,1075mg,12g,2g,3g,32g,37mg,56mg,4mg,686mg,4.5,44,
8,6650975,45 mins, 1 hr 15 mins, 2 hrs 15 mins,9 ,18 golabki,9,404,17g,7g,75mg,1025mg,38g,4g,18g,25g,116mg,117mg,3mg,1355mg,4.4,38,15 mins
9,6604655,30 mins, 1 hr, 1 hr 30 mins,6 ,6 to 8 servings,6,331,21g,9g,95mg,253mg,20g,4g,9g,17g,66mg,78mg,3mg,583mg,4.2,154,
10,6739814,25 mins, 7 hrs 14 mins, 7 hrs 44 mins,8 ,8 servings,8,403,22g,8g,91mg,884mg,31g,5g,10g,22g,78mg,103mg,4mg,842mg,4.3,55,5 mins
11,6573931,10 mins, 1 hr, 13 hrs 10 mins,8 ,8 servings,8,248,13g,5g,66mg,288mg,20g,4g,8g,14g,78mg,79mg,3mg,527mg,4.2,86, 12 hrs
12,6591097,30 mins, 1 hr 30 mins, 2 hrs,8 ,8 to 10 servings,8,556,37g,14g,101mg,2096mg,32g,7g,17g,26g,110mg,102mg,5mg,876mg,4.5,265,
13,6577753,25 mins, 1 hr 20 mins, 1 hr 45 mins,8 ,8 servings,8,245,9g,2g,68mg,660mg,28g,4g,13g,14g,33mg,71mg,3mg,699mg,4.3,142,
14,6739491,20 mins, 1 hr 45 mins, 2 hrs 5 mins,8 ,8 servings,8,302,16g,6g,62mg,821mg,20g,3g,6g,20g,21mg,47mg,3mg,550mg,4.5,161,
15,6584607,40 mins, 1 hr 10 mins, 2 hrs,6 ,12 cabbage rolls,6,419,21g,8g,129mg,686mg,28g,7g,6g,32g,73mg,156mg,6mg,1057mg,4.8,6,10 mins
16,6737969,30 mins, 1 hr 45 mins, 2 hrs 45 mins,4 ,8 cabbage rolls,4,740,39g,16g,119mg,2564mg,70g,11g,17g,32g,127mg,258mg,7mg,1271mg,4.6,96,30 mins
17,6605551,30 mins, 1 hr 5 mins, 1 hr 40 mins,6 ,30 rolls,6,356,26g,14g,127mg,1390mg,17g,9g,3g,18g,71mg,329mg,7mg,1963mg,4.7,7,5 mins
18,6605791,40 mins, 1 hr, 1 hr 40 mins,8 ,,8,223,15g,7g,68mg,860mg,12g,4g,4g,12g,37mg,95mg,1mg,458mg,4.6,69,
19,6603483,30 mins, 1 hr 30 mins, 2 hrs,6 ,12 cabbage rolls,6,390,13g,5g,52mg,2457mg,46g,8g,12g,23g,101mg,146mg,6mg,949mg,4.6,5,
20,6575893,10 mins,30 mins,40 mins,8 ,,8,314,17g,6g,68mg,890mg,17g,5g,10g,22g,56mg,107mg,5mg,834mg,4.5,126,
