,id_recipe,name,Prep Time:,Refrigerate Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Chill Time:,Additional Time:,Yield:,Cook Time:
0,7559189,Sparkling Peach Sangria,10 mins, 6 hrs, 6 hrs 10 mins,6 ,6,258,0g,0g,0mg,7mg,26g,2g,21g,1g,14mg,34mg,1mg,327mg,,,,,,
1,7560880,Sparkling Mango Pineapple Sangria,10 mins,, 2 hrs 10 mins,6 ,6,289,0g,0g,0mg,10mg,29g,3g,22g,1g,69mg,36mg,1mg,381mg,,, 2 hrs,,,
2,6664300,Sangria! Sangria!,15 mins,,15 mins,6 ,,,,,,,,,,,,,,,4.8,"1,782",,,,
3,6736672,Classic Spanish Sangria,10 mins,, 2 hrs 10 mins,6 ,,,,,,,,,,,,,,,4.6,960,, 2 hrs,,
4,6571261,White Peach Sangria,10 mins,, 2 hrs 10 mins,6 ,,,,,,,,,,,,,,,4.7,505,, 2 hrs,,
5,6737900,Sangria Cocktail,15 mins,,15 mins,30 ,30,128,,,,6mg,9g,0g,6g,0g,2mg,12mg,1mg,167mg,4.3,12,,,30 servings,
6,6663657,White Peachy Sangria,30 mins,, 8 hrs 30 mins,20 ,20,376,0g,,,24mg,41g,2g,22g,1g,30mg,23mg,1mg,228mg,4.9,70,, 8 hrs,20 servings,
7,6738661,Watermelon Sangria,20 mins,, 4 hrs 20 mins,16 ,,,,,,,,,,,,,,,4.5,84,, 4 hrs,,
8,6579671,White Sangria,30 mins,, 1 hr 30 mins,32 ,,,,,,,,,,,,,,,4.7,162,, 1 hr,1 gallon,
9,6602345,Easy Berry Sangria,15 mins,, 1 hr 15 mins,8 ,8,225,1g,0g,,12mg,22g,4g,9g,1g,23mg,25mg,1mg,275mg,5.0,7,, 1 hr,8 servings,
10,6582397,Pretty in Pink Sangria,5 mins,,5 mins,20 ,20,134,0g,,,12mg,22g,1g,18g,0g,18mg,15mg,1mg,172mg,4.8,129,,,1 gallon,
11,6739762,Berrylicious Frozen Sangria Slush,5 mins,,5 mins,2 ,2,269,1g,,,7mg,32g,3g,25g,1g,30mg,22mg,1mg,272mg,4.8,23,,,2 servings,
12,6583354,Blackberry Sangria,10 mins,, 8 hrs 10 mins,8 ,8,373,0g,0g,,9mg,46g,1g,39g,1g,21mg,16mg,1mg,219mg,4.7,9,, 8 hrs,8 servings,
13,6583297,Pineapple Sangria,25 mins,, 8 hrs 25 mins,8 ,8,383,0g,,,26mg,39g,1g,30g,1g,30mg,42mg,1mg,279mg,4.9,7,, 8 hrs,1 gallon,
14,6737735,Sunset Sangria,15 mins,, 2 hrs 40 mins,6 ,6,259,0g,,,9mg,29g,2g,10g,1g,15mg,26mg,1mg,234mg,4.8,61,, 2 hrs 20 mins,6 servings,5 mins
15,6580638,Sangria (White),15 mins,,15 mins,8 ,8,210,0g,,,11mg,25g,2g,16g,1g,24mg,26mg,1mg,183mg,4.7,22,,,,
16,6650010,Sangria by the Pros,20 mins,, 2 hrs 20 mins,6 ,,,,,,,,,,,,,,,4.6,131,, 2 hrs,,
17,6570142,Game Day Sangria,10 mins,,10 mins,8 ,,,,,,,,,,,,,,,4.9,59,,,1 gallon,
18,6585194,Indian Summer Raspberry Peach Sangria,10 mins,,10 mins,8 ,8,175,0g,,,8mg,22g,3g,13g,1g,53mg,52mg,1mg,249mg,5.0,8,,,8 servings,
19,6649324,Sangria Barcelona Style,15 mins,,15 mins,6 ,6,248,0g,,,12mg,28g,2g,19g,1g,48mg,47mg,1mg,349mg,4.7,19,,,6 servings,
20,6586147,White Wine and Apple Sangria,15 mins,, 1 hr 15 mins,8 ,8,139,0g,,,10mg,14g,2g,9g,0g,24mg,32mg,1mg,144mg,,,, 1 hr,5 1/2 cups,
21,6581834,Peach Sangria,20 mins,, 4 hrs 20 mins,10 ,10,214,,,,14mg,23g,0g,20g,0g,23mg,29mg,1mg,153mg,4.9,11,, 4 hrs,10 servings,
22,6592466,White Sangria with Frozen Fruit,5 mins,, 1 hr 5 mins,6 ,6,213,0g,,,8mg,22g,0g,19g,0g,5mg,13mg,0mg,104mg,4.5,2,, 1 hr,6 servings,
23,6575352,Hibiscus Sangria,20 mins,, 9 hrs 25 mins,16 ,16,226,0g,,,11mg,29g,2g,24g,1g,38mg,38mg,1mg,226mg,4.5,2,, 9 hrs,16 servings,5 mins
24,6605654,Sangria (Red),15 mins,,15 mins,8 ,8,215,0g,,,10mg,26g,2g,15g,1g,41mg,33mg,1mg,268mg,4.8,6,,,8 servings,
25,6574013,Sheila's Perfect Sangria,30 mins,, 4 hrs 30 mins,12 ,,,,,,,,,,,,,,,4.7,46,, 4 hrs,12 servings,
26,6566128,Ultimate Sangria Margarita,10 mins,,10 mins,4 ,4,318,0g,,,11mg,32g,,25g,0g,5mg,6mg,0mg,35mg,,,,,1 pitcher,
27,6601601,Fall Sangria,15 mins,, 3 hrs 15 mins,6 ,,,,,,,,,,,,,,,,,, 3 hrs,6 cocktails,
28,6571431,Peach-Basil Sangria,5 mins,,10 mins,4 ,,,,,,,,,,,,,,,4.6,73,,,4 servings,5 mins
29,6572804,White Wine Sangria,10 mins,, 1 hr 10 mins,6 ,6,129,0g,,,12mg,10g,1g,6g,0g,14mg,17mg,1mg,172mg,3.8,5,, 1 hr,6 servings,
30,6565865,Cha Cha Cha Sangria,15 mins,, 4 hrs 15 mins,8 ,8,278,0g,,,10mg,36g,1g,32g,0g,21mg,24mg,1mg,260mg,4.0,1,, 4 hrs,8 to 10 glasses,
31,6581320,Amanda's Sangria,10 mins,,1 day,8 ,,,,,,,,,,,,,,,4.3,25,, 23 hrs 50 mins,8 servings,
32,6597724,Sangria On The Light Side,,,,20 ,20,70,,,,5mg,4g,1g,2g,0g,12mg,15mg,0mg,109mg,4.5,2,,,20 servings,
33,6566549,Holiday Sangria,20 mins,, 8 hrs 20 mins,6 ,6,287,0g,,,8mg,34g,3g,24g,1g,57mg,54mg,1mg,320mg,5.0,1,, 8 hrs,6 servings,
34,6582972,Conchi's Sangria,10 mins,,10 mins,48 ,,,,,,,,,,,,,,,4.6,65,,,48 (4 ounce) servings,
35,6738716,Cranberry Sangria,15 mins,,1 day 25 mins,8 ,8,381,0g,0g,,14mg,62g,4g,52g,1g,8mg,33mg,1mg,221mg,4.4,29,,1 day,8 servings,10 mins
36,6574727,Most Amazing Sangria Recipe Ever!,10 mins,,10 mins,6 ,6,223,0g,,,12mg,14g,0g,9g,0g,11mg,19mg,1mg,279mg,5.0,4,,,6 servings,
37,6567556,Perfect Peach White Sangria,10 mins,, 3 hrs 10 mins,8 ,8,307,0g,,,16mg,39g,1g,34g,1g,36mg,26mg,1mg,219mg,,,, 3 hrs,2 quarts,
38,6564765,Big Batch Berry Sangria,10 mins,, 3 hrs 10 mins,18 ,18,377,0g,,,19mg,54g,1g,18g,1g,40mg,23mg,0mg,220mg,,,, 3 hrs,18 servings,
39,6589576,White Sangria with Kiwi,20 mins,,20 mins,8 ,8,150,0g,,,10mg,19g,2g,14g,1g,22mg,29mg,1mg,200mg,4.3,6,,,8 servings,
40,6605315,Red Wine and Orange Sangria,15 mins,, 1 hr 15 mins,8 ,8,146,0g,,,8mg,14g,1g,10g,1g,28mg,30mg,1mg,228mg,,,, 1 hr,5 1/2 cups,
41,6582237,Rosé Wine and Berry Sangria,15 mins,, 1 hr 15 mins,8 ,8,130,0g,,,9mg,12g,2g,6g,1g,17mg,27mg,1mg,179mg,,,, 1 hr,5 1/2 cups,
42,6580518,Amazing Peach Sangria,10 mins,, 8 hrs 10 mins,4 ,4,370,1g,0g,,18mg,47g,3g,36g,1g,91mg,57mg,2mg,419mg,,,, 8 hrs,4 servings,
43,6561514,Rosé Sangria,15 mins,, 6 hrs 15 mins,12 ,12,185,0g,,,12mg,20g,3g,14g,1g,33mg,29mg,1mg,251mg,,,, 6 hrs,12 servings,
44,6562239,Refreshing Peach Sangria,10 mins,,10 mins,1 ,1,246,0g,0g,,18mg,34g,1g,22g,1g,6mg,17mg,1mg,172mg,4.7,6,,,1 serving,
45,6664251,Strawberry Sangria,10 mins,, 2 hrs 10 mins,6 ,6,229,0g,,,8mg,26g,2g,21g,1g,43mg,23mg,1mg,204mg,5.0,2,, 2 hrs,6 glasses,
46,6578788,Jill's Summer Sangria,15 mins,, 8 hrs 15 mins,20 ,,,,,,,,,,,,,,,4.6,32,, 8 hrs,20 servings,
47,6566351,White Sangria with Apples,10 mins,,10 mins,4 ,4,257,0g,,,11mg,21g,1g,16g,0g,9mg,26mg,1mg,173mg,,,,,4 servings,
48,6566318,Tropical Sangria,15 mins,, 8 hrs 15 mins,6 ,6,277,0g,,,13mg,36g,2g,29g,1g,59mg,37mg,1mg,446mg,,,, 8 hrs,6 servings,
