,id_recipe,Prep Time:,Stand Time:,Rise Time:,Bake Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Protein,Potassium,Average_Review,Review_Count,Cool Time:,Cook Time:,Total Sugars,Calcium,Iron,Additional Time:,Vitamin C
29,6590136,25 mins,,,, 1 hr 10 mins,10 ,10 rolls,10,351,18g,8g,49mg,385mg,47g,4g,4g,76mg,3.7,12,,25 mins,27g,137mg,1mg,20 mins,0mg
30,6579622,10 mins,,,,30 mins,12 ,12 cinnamon rolls,12,150,8g,2g,1mg,53mg,18g,0g,2g,25mg,5.0,1,,20 mins,9g,12mg,1mg,,
31,6582558, 1 hr 30 mins,,,, 2 hrs,12 ,1 dozen,12,370,8g,1g,31mg,595mg,66g,2g,9g,109mg,4.6,167,,30 mins,14g,20mg,4mg,,
32,6581817,15 mins,,,,30 mins,16 ,16 to 20 rolls,16,128,3g,1g,0mg,114mg,24g,1g,1g,21mg,4.4,35,,10 mins,19g,20mg,1mg,5 mins,
33,6650977,15 mins,,,,40 mins,8 ,32 cinnamon roll bites,8,175,9g,6g,23mg,3mg,25g,1g,0g,13mg,5.0,2,,25 mins,,,,,
34,6602445,45 mins,,,, 3 hrs 40 mins,18 ,18 rolls,18,735,34g,16g,85mg,444mg,102g,4g,9g,171mg,4.7,71,,25 mins,57g,56mg,3mg, 2 hrs 30 mins,0mg
35,6602578,20 mins,,,, 2 hrs 15 mins,24 ,2 dozen buns,24,367,12g,5g,40mg,340mg,59g,2g,6g,86mg,4.5,318,,30 mins,27g,53mg,2mg, 1 hr 25 mins,0mg
36,6575576,15 mins,,,, 1 hr,18 ,18 servings,18,286,11g,4g,7mg,485mg,44g,2g,4g,97mg,3.8,84,,45 mins,26g,43mg,1mg,,0mg
37,6571026,30 mins,,,, 1 hr 35 mins,12 ,1 - 8x8 inch pan,12,172,5g,3g,26mg,181mg,29g,1g,4g,54mg,4.4,367,,20 mins,10g,19mg,1mg,45 mins,
38,6738160,15 mins,,,,30 mins,5 ,5 servings,5,291,8g,3g,,543mg,49g,3g,4g,4mg,4.6,22,,15 mins,0g,0mg,,,
