,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Cholesterol,Vitamin C,Additional Time:
32,6589056,Sticky Popcorn,10 mins,,10 mins,5 ,10 cups,5,353,19g,12g,149mg,46g,2g,30g,2g,26mg,1mg,84mg,4.5,14,49mg,,
33,6601970,Peanut Butter Popcorn Balls,20 mins,5 mins,55 mins,16 ,16 balls,16,249,11g,4g,107mg,35g,3g,19g,5g,22mg,1mg,154mg,4.6,27,8mg,,30 mins
34,6596566,Soft Caramel Corn,5 mins,15 mins,30 mins,40 ,10 quarts,40,159,7g,4g,111mg,25g,1g,16g,1g,23mg,0mg,48mg,4.7,78,13mg,0mg,10 mins
35,6568642,Caramel Popcorn with Marshmallow,5 mins,15 mins,20 mins,8 ,,8,562,30g,16g,416mg,75g,3g,50g,3g,41mg,1mg,113mg,4.6,53,61mg,0mg,
36,6591754,Chocolate-Covered Caramel Corn,20 mins, 1 hr 21 mins, 1 hr 41 mins,16 ,16 servings,16,544,37g,10g,659mg,55g,5g,22g,8g,45mg,2mg,302mg,5.0,7,,,
37,6592861,Cashew Caramel Corn,15 mins, 1 hr 10 mins, 1 hr 25 mins,24 ,24 cups,24,276,17g,7g,329mg,31g,1g,20g,3g,24mg,1mg,113mg,4.9,8,20mg,,
38,6599117,Caramel Corn I,,,,25 ,5 quarts,25,347,20g,6g,181mg,40g,5g,20g,6g,40mg,1mg,182mg,4.4,65,20mg,,
39,6737990,DB's Caramel Popcorn Bacon Mix,15 mins, 1 hr 30 mins, 1 hr 45 mins,6 ,6 servings,6,1247,73g,27g,2039mg,135g,7g,74g,24g,120mg,6mg,657mg,4.8,9,102mg,1mg,
40,6605280,Vegan Caramel Popcorn,10 mins,30 mins,41 mins,16 ,16 servings,16,335,12g,9g,179mg,58g,2g,23g,2g,20mg,1mg,71mg,3.0,1,,,1 mins
41,6594348,Chocolaty Caramel-Nut Popcorn,15 mins, 1 hr 10 mins, 1 hr 25 mins,4 ,4 servings,4,1103,64g,28g,1387mg,133g,11g,81g,12g,136mg,3mg,524mg,4.7,19,61mg,0mg,
42,6586516,Grandma's Caramel Popcorn Balls,25 mins,10 mins,50 mins,20 ,20 balls,20,340,19g,4g,357mg,43g,1g,27g,3g,73mg,1mg,121mg,4.0,1,7mg,1mg,15 mins
43,6600985,Chocolate Almond Popcorn,10 mins, 1 hr 5 mins, 2 hrs 15 mins,25 ,25 servings,25,233,14g,4g,337mg,26g,3g,12g,3g,33mg,1mg,126mg,4.5,4,10mg,, 1 hr
44,6571270,Easy Caramel Popcorn Balls,15 mins,5 mins,25 mins,12 ,12 servings,12,300,11g,4g,244mg,50g,2g,31g,3g,69mg,1mg,135mg,4.8,6,16mg,1mg,5 mins
45,6589347,Maple and Honey Caramel Corn,10 mins,50 mins, 1 hr 15 mins,20 ,20 cups,20,248,14g,7g,221mg,31g,1g,26g,1g,24mg,1mg,82mg,5.0,2,24mg,0mg,15 mins
46,6588566,Crunchy Baked Caramel Corn,10 mins, 1 hr 12 mins, 1 hr 22 mins,10 ,10 servings,10,439,22g,12g,449mg,63g,2g,47g,2g,45mg,1mg,94mg,4.9,14,49mg,,
47,6586436,Reindeer Poop Popcorn,15 mins,50 mins, 1 hr 50 mins,8 ,8 servings,8,789,46g,28g,864mg,97g,4g,74g,5g,76mg,2mg,265mg,4.0,5,65mg,0mg,45 mins
48,6599386,Pop's Molasses Popcorn Balls and Taffy,45 mins,7 mins, 1 hr 2 mins,12 ,12 popcorn balls,12,312,6g,3g,207mg,67g,0g,48g,0g,36mg,1mg,213mg,,,10mg,,10 mins
49,6575497,Caramel Corn IV,20 mins,25 mins,45 mins,8 ,8 cups,8,300,13g,6g,185mg,45g,4g,22g,3g,23mg,1mg,103mg,4.6,160,23mg,,
50,6588125,Lovely Lisa's Sweet and Salty Caramel Popcorn,15 mins,15 mins,50 mins,32 ,32 cups,32,266,13g,8g,249mg,39g,1g,22g,2g,22mg,1mg,68mg,4.3,4,31mg,,20 mins
51,6585056,Caramel Corn II,,,,10 ,2 quarts,10,243,6g,2g,121mg,48g,3g,25g,3g,6mg,1mg,67mg,4.0,2,6mg,,
52,6648306,Chocolate Popcorn,10 mins,35 mins, 1 hr 45 mins,16 ,2 quarts,16,186,12g,5g,164mg,19g,2g,10g,3g,9mg,1mg,95mg,4.6,99,15mg,, 1 hr
53,6650564,White Chocolate Popcorn,10 mins,5 mins, 1 hr 15 mins,24 ,12 cups,24,158,10g,5g,98mg,16g,1g,11g,2g,57mg,0mg,19mg,5.0,4,6mg,, 1 hr
54,6576140,Stovetop Dark Chocolate Popcorn,5 mins,10 mins,15 mins,12 ,6 cups,12,94,5g,1g,0mg,12g,1g,6g,1g,2mg,0mg,31mg,3.5,4,,,
55,6584099,Dark Chocolate Popcorn,10 mins,32 mins,42 mins,16 ,8 cups,16,138,8g,4g,103mg,17g,1g,11g,1g,4mg,0mg,33mg,5.0,3,15mg,,
56,6578777,Easter Popcorn,10 mins,5 mins,15 mins,14 ,14 servings,14,526,15g,6g,78mg,88g,16g,13g,14g,65mg,3mg,335mg,,,6mg,,
57,6594676,Delicious Popcorn Crunch,15 mins,10 mins, 1 hr 25 mins,15 ,15 servings,15,348,19g,9g,99mg,45g,3g,31g,2g,18mg,1mg,77mg,5.0,4,34mg,0mg, 1 hr
58,6579716,Marshmallow Popcorn Balls,10 mins,15 mins,25 mins,8 ,8 popcorn balls,8,237,11g,6g,87mg,35g,2g,18g,2g,5mg,0mg,41mg,4.6,213,23mg,,
59,6649844,Best Ever Popcorn Balls,10 mins,10 mins,20 mins,20 ,,20,165,5g,1g,71mg,31g,1g,25g,1g,4mg,0mg,20mg,4.5,491,0mg,0mg,
60,6600711,Grandpa's Popcorn Balls,10 mins,15 mins,25 mins,10 ,10 to 3 - inch round balls,10,458,19g,7g,317mg,75g,2g,49g,2g,8mg,0mg,44mg,4.4,195,24mg,0mg,
