,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Release Pressure Time:
0,6663989,15 mins, 1 hr,15 mins, 1 hr 30 mins,24 ,24,154,11g,4g,43mg,471mg,2g,0g,1g,12g,7mg,24mg,1mg,211mg,4.9,424,,
1,6738214,15 mins, 3 hrs 30 mins,, 3 hrs 45 mins,12 ,12,250,19g,6g,63mg,2072mg,2g,0g,1g,16g,3mg,23mg,1mg,252mg,4.9,573,,
2,6663608,15 mins, 5 hrs,, 5 hrs 15 mins,8 ,8,528,23g,9g,98mg,803mg,46g,3g,17g,32g,5mg,119mg,3mg,606mg,4.5,"3,144",8 sandwiches,
3,6650619,10 mins, 8 hrs, 12 hrs 30 mins, 20 hrs 40 mins,20 ,20,442,32g,11g,104mg,2691mg,15g,1g,13g,24g,1mg,34mg,3mg,434mg,4.7,262,,
4,6648369,10 mins, 6 hrs,, 6 hrs 10 mins,8 ,8,335,5g,1g,49mg,990mg,49g,2g,21g,21g,1mg,74mg,2mg,474mg,4.6,"5,091",,
5,6664859,10 mins, 20 hrs,, 20 hrs 10 mins,12 ,12,243,15g,5g,82mg,715mg,,,,26g,0mg,20mg,9mg,348mg,4.7,"1,828",,
6,7374995,10 mins, 1 hr,, 1 hr 30 mins,6 servings,6,197,5g,1g,12mg,561mg,33g,4g,15g,7g,52mg,65mg,2mg,420mg,,,12 street tacos,20 mins
7,7369129,5 mins, 8 hrs,, 8 hrs 5 mins,12 servings,12,904,59g,23g,234mg,984mg,30g,5g,3g,63g,26mg,358mg,4mg,1072mg,5.0,1,,
8,6737809,10 mins, 10 hrs,, 10 hrs 10 mins,10 ,10,223,14g,5g,73mg,474mg,1g,0g,0g,22g,0mg,25mg,1mg,290mg,4.6,"2,058",,
9,6568528,15 mins, 7 hrs 45 mins,, 8 hrs,8 ,8,536,16g,5g,67mg,1216mg,65g,3g,16g,30g,1mg,142mg,4mg,564mg,4.7,39,,
10,6738271,15 mins, 10 hrs,, 10 hrs 15 mins,16 ,16,209,12g,4g,53mg,568mg,9g,0g,6g,15g,1mg,22mg,1mg,260mg,4.8,271,,
11,6572879,30 mins, 4 hrs 5 mins,30 mins, 5 hrs 5 mins,6 ,6,700,54g,13g,104mg,965mg,21g,1g,12g,30g,3mg,105mg,4mg,565mg,4.3,7,6 servings,
12,6648793,15 mins, 3 hrs 40 mins,, 3 hrs 55 mins,6 ,6,317,23g,6g,89mg,1036mg,2g,0g,0g,26g,2mg,35mg,2mg,371mg,4.7,184,,
13,6589445,15 mins, 6 hrs,, 6 hrs 15 mins,12 ,12,362,20g,7g,97mg,552mg,14g,1g,,30g,6mg,46mg,2mg,725mg,4.6,83,,
