,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
35,6583485,Chocolate Chip Apple Cake,15 mins, 1 hr 15 mins,, 1 hr 30 mins,14 ,1 9- or 10-inch tube cake,14,396,18g,11g,75mg,201mg,57g,2g,37g,5g,1mg,21mg,2mg,120mg,4.6,85
36,6597651,Georgia's Tennessee Jam Cake,25 mins,40 mins,, 1 hr 5 mins,12 ,1 to 3 - layer cake,12,685,26g,11g,166mg,583mg,107g,3g,73g,12g,1mg,70mg,3mg,233mg,4.8,21
37,6663998,Pumpkin Spice Cake,20 mins, 1 hr,10 mins, 1 hr 30 mins,16 ,1 10-inch Bundt cake,16,384,20g,5g,23mg,380mg,50g,2g,30g,4g,1mg,34mg,2mg,125mg,4.5,62
38,6577915,Zucchini Spice Cake,20 mins,45 mins, 2 hrs, 3 hrs 5 mins,24 ,1 9x13-inch cake,24,237,8g,1g,31mg,164mg,40g,1g,27g,3g,3mg,31mg,1mg,87mg,4.7,101
39,6570849,Boscobel Beach Ginger Cake,30 mins,45 mins,10 mins, 1 hr 25 mins,12 ,1 9-inch tube cake,12,362,18g,11g,104mg,365mg,46g,1g,25g,6g,0mg,131mg,2mg,134mg,4.5,106
40,6579752,Moist Holiday Honeycake,20 mins, 1 hr,20 mins, 1 hr 40 mins,12 ,1 10-inch Bundt cake,12,555,20g,2g,47mg,309mg,87g,2g,58g,6g,6mg,79mg,2mg,120mg,4.6,61
41,6605575,Gingerbread I,,,,,12 ,1 - 8x8 inch square,12,211,9g,2g,16mg,236mg,31g,1g,16g,2g,,34mg,2mg,224mg,4.4,88
42,6572299,Fig Spice Cake,20 mins, 1 hr,15 mins, 1 hr 35 mins,14 ,1 10-inch cake,14,315,13g,5g,44mg,280mg,48g,5g,,5g,1mg,88mg,2mg,308mg,4.8,34
43,6589438,Sausage Cake,,,,,12 ,1 to 9 - inch bundt,12,586,23g,6g,57mg,420mg,88g,2g,59g,11g,1mg,79mg,3mg,305mg,4.6,11
44,6596500,Spicy Apple Cake,25 mins,45 mins,, 1 hr 10 mins,9 ,,9,468,19g,5g,44mg,273mg,71g,2g,53g,5g,2mg,85mg,1mg,134mg,4.7,76
45,6738148,Zucchini Bars with Spice Frosting,20 mins,30 mins, 1 hr, 1 hr 50 mins,16 ,16 bars,16,359,17g,6g,39mg,270mg,51g,1g,37g,4g,3mg,35mg,1mg,137mg,4.6,67
46,6578297,Fig Cake I,30 mins, 1 hr 30 mins,, 2 hrs,18 ,1 - 9x13 inch pan,18,349,21g,11g,74mg,333mg,37g,1g,26g,4g,1mg,66mg,1mg,121mg,4.5,47
47,6570674,Mexican Chocolate Cake,15 mins,30 mins,,45 mins,36 ,1 - 12x18 inch pan,36,125,6g,1g,11mg,70mg,17g,0g,11g,1g,,9mg,1mg,27mg,4.4,105
48,6568088,Kim's Buttermilk Spice Cake,20 mins,40 mins,30 mins, 1 hr 30 mins,12 ,1 9x13-inch cake,12,587,32g,20g,131mg,499mg,71g,1g,54g,7g,0mg,123mg,2mg,145mg,5.0,12
49,6564296,Cinnabon® Cupcakes, 1 hr,20 mins, 1 hr, 2 hrs 20 mins,24 ,2 dozen cupcakes,24,329,19g,10g,51mg,154mg,39g,1g,25g,4g,0mg,76mg,2mg,83mg,3.5,20
50,6597329,Fabulous Oatmeal-Bran Cake,,,,,24 ,2 - 8 or 9 inch layer cake,24,148,5g,1g,16mg,114mg,25g,1g,17g,2g,,13mg,1mg,37mg,4.8,55
51,6586205,Harvest Pumpkin Cupcakes,20 mins,30 mins,30 mins, 1 hr 20 mins,32 ,32 servings,32,233,10g,3g,34mg,194mg,36g,1g,28g,2g,1mg,31mg,1mg,54mg,4.8,313
52,6569110,A Plus Carrot Cake,20 mins, 1 hr,, 1 hr 20 mins,24 ,24 servings,24,296,16g,3g,31mg,156mg,37g,2g,26g,3g,3mg,40mg,1mg,169mg,4.7,114
53,6741696,Raisin Cake,15 mins, 1 hr 5 mins,10 mins, 1 hr 30 mins,12 ,1 8x4-inch loaf,12,270,6g,2g,,337mg,54g,2g,32g,3g,1mg,52mg,2mg,230mg,4.8,14
54,6591135,Honey Cake I,,,,,24 ,2 to 8 - inch square cake,24,164,4g,1g,31mg,154mg,30g,1g,18g,3g,0mg,31mg,1mg,40mg,4.3,23
55,6577390,Grandma Ruby's Prune Cake,20 mins,30 mins,,50 mins,16 ,16 servings,16,386,11g,7g,64mg,331mg,70g,3g,38g,4g,0mg,21mg,1mg,46mg,4.3,4
56,6664206,Nutmeg Feather Cake,15 mins,40 mins,,55 mins,15 ,1 - 9x13 inch cake,15,218,8g,3g,46mg,200mg,34g,1g,21g,4g,0mg,42mg,1mg,59mg,4.7,17
57,6584417,Upside Down Pear Gingerbread Cake,20 mins,45 mins, 1 hr, 2 hrs 5 mins,12 ,1 10-inch cake,12,368,12g,8g,46mg,358mg,63g,2g,35g,4g,1mg,82mg,3mg,517mg,4.4,27
58,6602322,Rice Cooker Muffin Cake,15 mins,30 mins,,45 mins,8 ,8 servings,8,230,8g,1g,24mg,415mg,37g,3g,18g,4g,2mg,125mg,3mg,222mg,4.7,3
59,6594842,Easy Pumpkin Bars,,,,,24 ,1 9x13 inch pan,24,99,5g,1g,16mg,45mg,13g,0g,9g,1g,0mg,18mg,0mg,40mg,4.6,48
60,6580939,War Cake,,,,,18 ,1 -9-x13 inch cake,18,220,8g,1g,,224mg,36g,1g,17g,3g,0mg,105mg,1mg,130mg,3.8,17
61,6600534,"Moist, Tender Spice Cake: Gingerbread Variation",,,,,16 ,16 servings,16,299,13g,8g,67mg,214mg,42g,1g,21g,4g,0mg,98mg,2mg,379mg,4.1,41
62,6602653,Colonial Pumpkin Bars,15 mins,35 mins,15 mins, 1 hr 5 mins,36 ,3 dozen,36,200,9g,4g,38mg,160mg,29g,1g,22g,2g,1mg,30mg,1mg,59mg,4.6,88
