,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Cholesterol,Vitamin C
0,6589581,30 mins, 1 hr, 1 hr 30 mins,14 ,1 to 10 - inch tube cake,14,179,0g,0g,100mg,40g,1g,29g,5g,7mg,1mg,139mg,4.7,59,,,
1,6581123,30 mins,40 mins, 1 hr 10 mins,14 ,1 10-inch tube pan,14,136,0g,,131mg,30g,0g,22g,4g,4mg,1mg,112mg,4.6,503,,,
2,6604035,20 mins,35 mins,55 mins,10 ,1 (12x18-inch) cake,10,575,1g,0g,850mg,132g,1g,81g,11g,178mg,5mg,258mg,4.3,55,,,
3,6593854,30 mins,, 2 hrs 30 mins,10 ,1 9-inch dessert cake,10,357,18g,11g,335mg,47g,2g,24g,5g,86mg,1mg,116mg,4.6,8, 2 hrs,65mg,7mg
4,6589268,30 mins,50 mins, 1 hr 30 mins,12 ,1 10-inch cake,12,143,0g,,83mg,33g,0g,21g,3g,4mg,1mg,96mg,4.4,28,10 mins,,
5,6569681,10 mins,28 mins,38 mins,8 ,8 servings,8,221,0g,,294mg,47g,0g,29g,7g,7mg,2mg,178mg,4.1,25,,,
6,6565455,10 mins,40 mins, 2 hrs 50 mins,12 ,1 10-inch cake,12,166,,,325mg,38g,0g,29g,3g,46mg,1mg,57mg,4.3,12, 2 hrs,,4mg
7,6585977,,,,14 ,1 to 10 - inch tube cake,14,159,0g,,72mg,34g,0g,26g,6g,5mg,1mg,152mg,4.6,68,,,
8,6564704,4 mins,1 mins,5 mins,1 ,1 serving,1,13,,,2mg,1g,,1g,,1mg,,7mg,3.0,1,,,
9,6583374,25 mins,50 mins, 2 hrs 20 mins,10 ,1 10-inch cake,10,230,0g,0g,117mg,50g,1g,37g,7g,11mg,0mg,209mg,5.0,1, 1 hr 5 mins,,
10,6592331,20 mins,25 mins, 2 hrs 45 mins,12 ,1 10-inch tube cake,12,167,0g,,148mg,38g,0g,29g,4g,5mg,1mg,143mg,3.3,3, 2 hrs,,0mg
11,6589191,30 mins, 1 hr, 1 hr 30 mins,10 ,1 to 9 - inch tube pan,10,222,3g,2g,126mg,45g,2g,35g,6g,8mg,2mg,161mg,4.6,51,,,0mg
12,6571241,30 mins, 1 hr, 1 hr 30 mins,14 ,1 to 10 - inch tube cake,14,239,5g,3g,110mg,46g,0g,38g,4g,7mg,1mg,111mg,4.5,52,,13mg,
13,6589050,30 mins,40 mins, 1 hr 35 mins,12 ,6 slices,12,502,16g,10g,234mg,85g,2g,71g,7g,38mg,2mg,239mg,,,25 mins,46mg,19mg
14,6568350,,,,14 ,1 to 10 - inch tube pan,14,155,2g,1g,137mg,31g,0g,22g,4g,27mg,1mg,62mg,3.8,10,,88mg,
15,6648407,20 mins, 1 hr, 1 hr 20 mins,16 ,1 10-inch cake,16,137,0g,,75mg,31g,0g,22g,3g,3mg,1mg,81mg,4.5,379,,,
16,6562933,30 mins,20 mins, 3 hrs 50 mins,10 ,10 servings,10,248,0g,,109mg,59g,1g,47g,4g,6mg,1mg,117mg,,, 3 hrs,,3mg
