,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cool Time:,Yield:,Rest Time:,Marinate Time:,Stand Time:,Additional Time:
19,6649199,Roasted Pork Loin,20 mins, 1 hr 30 mins, 1 hr 50 mins,8 ,8,300,21g,6g,71mg,58mg,1g,0g,,23g,1mg,29mg,1mg,428mg,4.5,"1,377",,1 pork loin,,,,
20,6649088,Bacon-Wrapped Jalapeño Poppers,15 mins,25 mins,40 mins,6 ,6,213,18g,9g,51mg,540mg,3g,1g,1g,11g,12mg,88mg,1mg,196mg,4.7,509,,12 poppers,,,,
21,6664679,Good New Orleans Creole Gumbo, 1 hr, 2 hrs 40 mins, 3 hrs 40 mins,20 ,20,283,17g,6g,143mg,853mg,12g,2g,3g,21g,19mg,81mg,3mg,428mg,4.9,"1,233",,20 servings,,,,
22,6650811,Absolutely Ultimate Potato Soup,15 mins,30 mins,45 mins,8 ,8,594,42g,18g,91mg,879mg,44g,5g,3g,13g,44mg,66mg,2mg,1106mg,4.7,"2,996",,8 servings,,,,
23,6651006,Chef John's Italian Meatballs,20 mins,35 mins, 2 hrs 15 mins,8 ,8,390,31g,12g,91mg,617mg,5g,1g,,21g,4mg,62mg,2mg,349mg,4.8,"2,322",,,,,, 1 hr 20 mins
24,6664392,Best Jambalaya,20 mins,45 mins, 1 hr 5 mins,6 ,6,465,20g,6g,73mg,1633mg,42g,3g,2g,28g,20mg,67mg,4mg,666mg,4.7,"1,128",,6 servings,,,,
25,6664169,Split Pea Soup,15 mins, 2 hrs, 10 hrs 15 mins,6 ,6,310,1g,0g,,255mg,58g,22g,10g,20g,14mg,85mg,4mg,1084mg,4.7,"1,407",,,,,, 8 hrs
26,6651034,Seven Layer Salad,15 mins,10 mins,25 mins,12 ,12,387,33g,10g,51mg,667mg,10g,2g,6g,15g,11mg,243mg,1mg,264mg,4.7,699,,,,,,
27,6663296,Kickin' Collard Greens,10 mins, 1 hr, 1 hr 10 mins,6 ,6,127,9g,3g,12mg,1001mg,8g,3g,2g,4g,29mg,120mg,0mg,205mg,4.8,"1,828",,6 servings,,,,
28,6664293,Homemade Lasagna, 1 hr 25 mins, 1 hr 15 mins, 2 hrs 50 mins,8 ,8,638,27g,13g,161mg,2053mg,54g,5g,4g,46g,13mg,637mg,5mg,785mg,4.6,351,,1 9x13-inch lasagna,,,,10 mins
29,6651165,The Best Meatballs,30 mins,30 mins, 1 hr,8 ,8,613,53g,15g,149mg,333mg,7g,0g,0g,27g,1mg,190mg,2mg,315mg,4.7,"1,618",,,,,,
30,6648918,Ham and Split Pea Soup Recipe — A Great Soup,15 mins, 1 hr 30 mins, 1 hr 45 mins,8 ,8,374,14g,6g,40mg,1187mg,37g,15g,6g,25g,23mg,54mg,3mg,805mg,4.8,804,,,,,,
31,6665053,Oven-Baked Baby Back Ribs,15 mins, 2 hrs 50 mins, 3 hrs 20 mins,4 ,4,488,23g,8g,88mg,782mg,52g,2g,42g,19g,2mg,83mg,3mg,459mg,4.6,858,,4 servings,,,,15 mins
32,6650765,Slow Cooker Cocktail Smokies,5 mins, 2 hrs, 2 hrs 5 mins,10 ,10,346,22g,7g,50mg,1174mg,28g,0g,,10g,0mg,12mg,1mg,213mg,4.5,259,,,,,,
33,6649681,Super-Delicious Zuppa Toscana,20 mins,55 mins, 1 hr 15 mins,6 ,6,554,33g,15g,99mg,2386mg,46g,6g,5g,20g,49mg,86mg,3mg,1248mg,4.8,"3,495",,,,,,
34,6664736,Maple Roasted Brussels Sprouts with Bacon,10 mins,20 mins,30 mins,6 ,6,169,12g,2g,8mg,323mg,12g,2g,7g,5g,47mg,39mg,1mg,300mg,4.8,470,,,,,,
35,6664773,World's Best Honey Garlic Pork Chops,10 mins,20 mins,30 mins,6 ,6,290,13g,4g,95mg,419mg,14g,0g,12g,30g,1mg,34mg,1mg,472mg,4.5,650,,,,,,
