,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Cool Time:,Bake Time:,Additional Time:,Chill Time:
0,7814308,Bologna Sliders with Fried Onions,10 mins,5 mins,15 mins,8 ,8,196,7g,2g,8mg,485mg,27g,2g,5g,7g,2mg,106mg,2mg,149mg,5.0,2,,,,,
1,7503350,Mini Grilled Hot Dog Sliders,10 mins,5 mins,15 mins,12 ,12,328,19g,7g,32mg,743mg,28g,2g,2g,11g,0mg,106mg,3mg,199mg,5.0,1,24 sliders,,,,
2,7500680,Seven Layer Sliders,30 mins,15 mins,45 mins,12 ,12,310,14g,5g,64mg,421mg,30g,4g,8g,17g,7mg,110mg,3mg,459mg,,,12 sliders,,,,
3,7495217,Buffalo Chicken Pastry Sliders,10 mins,15 mins,25 mins,12 ,12,353,26g,7g,28mg,318mg,22g,1g,1g,9g,1mg,115mg,1mg,97mg,,,,,,,
4,7254949,Cuban-Style Sliders,15 mins,25 mins,45 mins,12 sliders,12,256,15g,6g,51mg,640mg,20g,1g,7g,12g,0mg,163mg,1mg,215mg,4.7,6,12 ,5 mins,,,
5,7107032,BBQ Meatball Sliders,20 mins,30 mins,50 mins,12 ,12,484,12g,10g,63mg,929mg,62g,2g,,19g,,,,111mg,5.0,1,12 sliders,,,,
6,7092656,Pizza Sliders,20 mins,,40 mins,12 ,12,421,11g,9g,68mg,707mg,46g,3g,,22g,,,,50mg,4.4,5,12 sliders,,20 mins,,
7,6663713,Baked Ham and Cheese Sliders,15 mins,20 mins,35 mins,24 ,24,208,14g,8g,43mg,439mg,11g,1g,0g,10g,1mg,183mg,1mg,102mg,4.8,"1,003",,,,,
8,7560812,Turkey Sliders,10 mins,15 mins,25 mins,8 ,8,316,17g,7g,42mg,809mg,27g,1g,4g,14g,3mg,286mg,2mg,178mg,5.0,1,,,,,
9,6587727,Hawaiian Ham and Cheese Sliders,15 mins,35 mins,50 mins,12 ,12,484,17g,13g,99mg,899mg,47g,3g,1g,26g,2mg,174mg,1mg,151mg,4.8,192,12 sliders,,,,
10,6604440,Almost White Castle Hamburgers,15 mins,10 mins,25 mins,24 ,24,155,6g,2g,27mg,283mg,16g,1g,2g,8g,0mg,59mg,2mg,102mg,4.8,136,,,,,
11,6738666,Slider-Style Mini Burgers,10 mins,35 mins,45 mins,24 ,24,232,13g,5g,36mg,428mg,16g,1g,2g,12g,0mg,125mg,2mg,130mg,4.6,"1,007",24 sliders,,,,
12,6600934,Mini Crescent Roll Burgers,15 mins,20 mins,35 mins,4 ,4,455,28g,12g,65mg,1267mg,27g,0g,5g,21g,1mg,223mg,3mg,142mg,4.2,28,4 servings,,,,
13,6575676,Cheeseburger Sliders,15 mins,30 mins,45 mins,12 ,12,453,14g,12g,90mg,447mg,45g,2g,2g,25g,1mg,147mg,1mg,123mg,4.6,14,12 sliders,,,,
14,6577879,Mini Cheeseburgers,10 mins,25 mins,35 mins,4 ,4,389,24g,11g,150mg,725mg,12g,0g,11g,32g,7mg,200mg,3mg,439mg,4.1,60,24 mini burgers,,,,
15,6738948,Baked Philly Cheesesteak Sliders,30 mins,30 mins, 1 hr,10 ,10,298,20g,10g,63mg,630mg,11g,1g,2g,18g,7mg,264mg,2mg,180mg,4.7,15,,,,,
16,6605022,Lamb Sliders,20 mins,5 mins,25 mins,8 ,8,459,46g,9g,87mg,646mg,34g,2g,5g,28g,4mg,180mg,4mg,413mg,4.9,9,8 sliders,,,,
17,6575653,Slow Cooker Philly-Style Shredded Beef Sliders,15 mins, 8 hrs 15 mins, 8 hrs 30 mins,8 ,8,429,27g,12g,88mg,688mg,177g,0g,1g,27g,1mg,235mg,2mg,244mg,5.0,5,8 sliders,,,,
