,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Stand Time:,Yield:
40,6649343,10 mins,45 mins,,55 mins,6 ,6,591,33g,20g,88mg,720mg,46g,3g,2g,27g,0mg,426mg,3mg,222mg,4.3,"3,504",,1 9x13-inch dish
41,6594063,15 mins,25 mins,,40 mins,24 ,24,182,6g,3g,27mg,190mg,30g,1g,21g,3g,2mg,28mg,1mg,80mg,4.6,65,,1 9x13-inch cake
42,6738666,10 mins,35 mins,,45 mins,24 ,24,232,13g,5g,36mg,428mg,16g,1g,2g,12g,0mg,125mg,2mg,130mg,4.6,"1,007",,24 sliders
43,6664188,20 mins,20 mins,,40 mins,4 ,4,192,8g,1g,33mg,1175mg,15g,4g,5g,17g,70mg,89mg,2mg,715mg,4.4,151,,
44,6575649,10 mins, 5 hrs,, 5 hrs 10 mins,12 ,12,524,30g,11g,120mg,1026mg,34g,0g,32g,30g,5mg,67mg,2mg,478mg,4.6,82,,
45,6648731,10 mins,15 mins,,25 mins,12 ,12,196,18g,6g,36mg,60mg,13g,2g,1g,5g,,6mg,0mg,9mg,4.3,89,,12 cookies
46,6664749,20 mins,35 mins,,55 mins,6 ,6,617,26g,10g,75mg,1089mg,69g,10g,39g,28g,6mg,128mg,5mg,565mg,4.6,368,,1 (9x13-inch) casserole
47,6575012,10 mins,, 2 hrs, 2 hrs 10 mins,,,439,27g,4g,,403mg,47g,4g,28g,5g,9mg,46mg,1mg,212mg,4.5,42,,8 servings
48,6581748,20 mins,50 mins,, 1 hr 10 mins,6 ,6,406,21g,10g,160mg,470mg,20g,3g,7g,34g,16mg,184mg,4mg,823mg,4.5,491,,1 (10-inch) pie
49,6585850,10 mins, 1 hr,, 1 hr 10 mins,8 ,8,425,35g,19g,74mg,803mg,25g,2g,0g,17g,11mg,324mg,1mg,716mg,4.3,277,,
50,6593801,20 mins, 1 hr 15 mins, 2 hrs, 3 hrs 35 mins,8 ,8,600,37g,16g,256mg,1738mg,32g,3g,7g,34g,13mg,458mg,5mg,560mg,4.6,63,,8 servings
51,6594852,10 mins, 8 hrs,, 8 hrs 10 mins,12 ,12,207,2g,1g,5mg,355mg,38g,6g,15g,10g,15mg,70mg,2mg,493mg,4.5,75,,
52,6663325,20 mins, 1 hr 20 mins, 1 hr, 2 hrs 40 mins,14 ,14,420,17g,10g,58mg,119mg,64g,1g,44g,4g,0mg,27mg,1mg,60mg,4.8,289,,1 (10-inch) Bundt cake
53,6649843,15 mins,45 mins,, 1 hr,15 ,15,318,14g,4g,12mg,77mg,45g,2g,24g,3g,4mg,27mg,1mg,62mg,4.6,895,,
54,6738767,,20 mins,20 mins,40 mins,24 ,24,344,17g,8g,48mg,193mg,48g,1g,39g,2g,0mg,20mg,1mg,52mg,4.5,423,,1 10x15-inch sheet cake
55,6582021,30 mins, 1 hr 30 mins,, 2 hrs,12 ,12,475,30g,13g,148mg,450mg,39g,5g,6g,14g,40mg,129mg,2mg,1043mg,4.5,38,,12 servings
