,id_recipe,Prep Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Cook Time:,Yield:,Additional Time:,Chill Time:
0,7506181,20 mins,20 mins,4 ,4,163,8g,1g,0mg,677mg,23g,5g,18g,4g,31mg,90mg,2mg,722mg,,,,,,
1,6768097,15 mins,40 mins,2 ,2,639,43g,24g,294mg,1264mg,37g,2g,8g,25g,4mg,542mg,3mg,374mg,4.8,4,25 mins,2 sandwiches,,
2,6649982,10 mins,35 mins,4 ,4,344,32g,6g,383mg,351mg,2g,0g,1g,13g,1mg,61mg,2mg,160mg,4.7,"2,223",15 mins,,10 mins,
3,6649567,5 mins,35 mins,6 ,6,243,16g,6g,57mg,397mg,11g,0g,,14g,10mg,16mg,2mg,340mg,4.7,"7,778",30 mins,6 sandwiches,,
4,6648727,20 mins, 8 hrs 30 mins,6 ,6,400,25g,4g,3mg,1904mg,39g,4g,8g,8g,79mg,54mg,3mg,298mg,4.6,321,10 mins,, 8 hrs,
5,6663559,10 mins,35 mins,6 ,6,207,12g,7g,32mg,528mg,17g,4g,7g,9g,106mg,165mg,1mg,647mg,4.5,"1,690",25 mins,6 servings,,
6,6663171,15 mins, 1 hr,8 ,8,206,8g,2g,72mg,335mg,31g,4g,6g,6g,28mg,37mg,2mg,647mg,4.5,"1,343",15 mins,8 servings,,30 mins
7,6649541,5 mins,15 mins,2 ,2,400,28g,17g,76mg,639mg,26g,1g,2g,11g,,285mg,2mg,83mg,4.8,866,10 mins,,,
8,6665020,5 mins,35 mins,6 ,6,80,4g,3g,12mg,743mg,9g,2g,5g,2g,16mg,19mg,1mg,298mg,4.6,"1,758",30 mins,,,
9,6664449,15 mins, 2 hrs 15 mins,6 ,6,156,10g,2g,,784mg,18g,3g,12g,2g,15mg,37mg,1mg,394mg,4.7,766,,, 2 hrs,
10,6740935,10 mins,20 mins,4 ,4,657,40g,18g,115mg,1930mg,44g,5g,10g,32g,6mg,517mg,4mg,412mg,4.7,678,10 mins,4 sandwiches,,
11,6650128,5 mins,10 mins,2 ,2,779,63g,9g,126mg,403mg,8g,3g,2g,44g,4mg,100mg,3mg,572mg,4.6,781,5 mins,,,
12,6649681,20 mins, 1 hr 15 mins,6 ,6,554,33g,15g,99mg,2386mg,46g,6g,5g,20g,49mg,86mg,3mg,1248mg,4.8,"3,495",55 mins,,,
13,6649475,25 mins, 1 hr 5 mins,10 ,10,257,14g,5g,31mg,626mg,24g,5g,8g,10g,39mg,78mg,2mg,837mg,4.6,462,40 mins,,,
14,6648718,15 mins,40 mins,6 ,6,748,49g,20g,85mg,1335mg,50g,2g,16g,27g,16mg,573mg,2mg,1073mg,4.7,"2,352",25 mins,,,
15,6650049,20 mins,40 mins,16 ,16,318,23g,8g,43mg,776mg,19g,1g,6g,9g,,79mg,2mg,136mg,4.6,945,20 mins,16 corn dogs,,
16,6736792,20 mins, 2 hrs 10 mins,8 ,8,606,25g,7g,160mg,2080mg,42g,7g,6g,52g,54mg,110mg,5mg,1490mg,4.8,69, 1 hr 50 mins,,,
17,6663688,10 mins, 1 hr 35 mins,6 ,6,272,23g,14g,78mg,667mg,12g,2g,5g,7g,7mg,47mg,1mg,578mg,4.7,592, 1 hr 25 mins,,,
18,6650681,10 mins,35 mins,12 ,12,265,18g,11g,57mg,1136mg,15g,1g,6g,10g,17mg,275mg,1mg,193mg,4.6,"3,114",25 mins,,,
19,6603465,30 mins,50 mins,2 ,2,657,25g,4g,43mg,990mg,85g,4g,30g,24g,10mg,71mg,4mg,387mg,4.7,93,20 mins,1 12-inch sandwich,,
20,6650752,30 mins,45 mins,8 ,8,443,32g,10g,39mg,836mg,25g,4g,3g,16g,35mg,242mg,3mg,259mg,4.7,276,15 mins,,,
21,6648641,15 mins, 1 hr 55 mins,10 ,10,370,7g,2g,17mg,1550mg,64g,4g,8g,12g,11mg,73mg,4mg,317mg,4.5,259, 1 hr 40 mins,,,
22,6649702,15 mins,40 mins,4 ,4,641,38g,14g,96mg,717mg,40g,3g,6g,35g,26mg,277mg,5mg,500mg,4.5,434,25 mins,4 sandwiches,,
23,6664230,15 mins, 12 hrs 15 mins,16 ,16,112,5g,1g,,299mg,16g,2g,11g,2g,2mg,20mg,1mg,12mg,4.6,304,,, 12 hrs,
