,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6650919,15 mins, 3 hrs, 3 hrs, 6 hrs 15 mins,6 ,6,286,11g,4g,81mg,2179mg,14g,1g,7g,33g,6mg,55mg,6mg,679mg,4.7,218,
1,6581203,10 mins,,30 mins,40 mins,20 ,20,114,7g,2g,,32mg,13g,2g,8g,3g,0mg,19mg,1mg,107mg,4.8,220,20 balls
2,6664784,5 mins,10 mins,5 mins,20 mins,4 ,4,139,11g,7g,36mg,214mg,0g,,0g,9g,,249mg,0mg,34mg,4.7,113,24 crisps
3,6663960,15 mins, 5 hrs, 3 hrs 15 mins, 8 hrs 30 mins,4 ,4,527,28g,7g,60mg,3319mg,47g,1g,39g,23g,7mg,85mg,5mg,674mg,4.8,302,
4,6588798,10 mins,20 mins,,30 mins,11 ,11,259,12g,7g,77mg,732mg,30g,2g,3g,8g,2mg,122mg,2mg,213mg,4.4,262,
5,6649619,10 mins,20 mins,,30 mins,4 ,4,902,61g,23g,134mg,1390mg,54g,5g,4g,35g,5mg,420mg,4mg,642mg,4.7,209,4 taco bags
6,6649743,15 mins,,,15 mins,25 ,25,174,10g,5g,21mg,397mg,17g,1g,1g,5g,0mg,107mg,1mg,112mg,4.3,217,10 rollups
7,6578658,15 mins,30 mins, 1 hr, 1 hr 45 mins,12 ,12,169,8g,1g,,148mg,21g,4g,8g,6g,3mg,28mg,2mg,264mg,4.4,87,1 dozen bars
8,6595083,10 mins,,,10 mins,4 ,4,170,10g,2g,,430mg,17g,6g,2g,5g,8mg,42mg,1mg,334mg,4.6,149,4 toasts
9,6579468,15 mins,30 mins,,45 mins,8 ,8,394,30g,15g,67mg,1260mg,15g,1g,3g,15g,,203mg,2mg,162mg,4.3,66,8 sandwiches
10,6577691,10 mins,, 1 hr, 1 hr 10 mins,12 ,12,405,22g,4g,,109mg,46g,7g,28g,10g,0mg,39mg,2mg,176mg,4.8,150,12 bars
11,6739771,15 mins,35 mins,10 mins, 1 hr,8 ,8,324,16g,6g,62mg,305mg,41g,4g,18g,8g,2mg,59mg,2mg,237mg,4.4,46,16 bars
12,6600951,10 mins, 3 hrs, 9 hrs, 12 hrs 10 mins,16 ,16,133,8g,3g,36mg,1397mg,1g,,0g,13g,,4mg,2mg,168mg,,,1 pound of jerky
13,6648640,20 mins,35 mins,,55 mins,24 ,24,92,6g,4g,33mg,216mg,6g,1g,1g,4g,4mg,110mg,1mg,107mg,4.4,"1,427",24 servings
14,6585618,15 mins,,30 mins,45 mins,24 ,24,148,10g,2g,,50mg,13g,2g,6g,5g,0mg,14mg,1mg,130mg,4.5,23,24 energy balls
15,6740995,15 mins,45 mins, 1 hr, 2 hrs,8 ,8,299,13g,8g,31mg,128mg,44g,4g,20g,4g,34mg,36mg,2mg,205mg,4.8,48,8 bars
16,6591903,15 mins,,,15 mins,30 ,30,146,8g,3g,6mg,55mg,16g,3g,8g,6g,0mg,19mg,1mg,126mg,4.7,23,30 bites
17,6738273,10 mins,5 mins,15 mins,30 mins,16 ,16,131,9g,7g,8mg,27mg,13g,2g,7g,2g,0mg,7mg,1mg,64mg,4.9,9,16 chokladbollar
