,id_recipe,name,Prep Time:,Cook Time:,Total Time:,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Servings:,Yield:,Servings Per Recipe,Additional Time:
0,7567853,Campfire Queso,15 mins,20 mins,35 mins,4573,336g,169g,975mg,8606mg,163g,28g,48g,235g,177mg,3355mg,19mg,5074mg,,,,,,
1,6581790,Chex Muddy Buddies,15 mins,,15 mins,206,9g,4g,7mg,192mg,31g,1g,18g,3g,,7mg,0mg,94mg,4.8,194,18 ,10 cups,18,
2,6650919,Homemade Beef Jerky,15 mins, 3 hrs, 6 hrs 15 mins,286,11g,4g,81mg,2179mg,14g,1g,7g,33g,6mg,55mg,6mg,679mg,4.7,218,6 ,,6, 3 hrs
3,6600990,Hot Water Cornbread,10 mins,5 mins,15 mins,95,3g,1g,,396mg,16g,2g,1g,2g,,2mg,1mg,59mg,4.4,193,6 ,12 cakes,6,
4,6569432,Calico Beans,10 mins, 1 hr 15 mins, 1 hr 25 mins,435,10g,4g,38mg,953mg,67g,10g,36g,22g,4mg,100mg,4mg,518mg,4.7,232,8 ,1 4-quart dish,8,
5,6600736,Campfire Baked Potatoes,10 mins,30 mins,40 mins,266,12g,7g,31mg,95mg,37g,5g,2g,4g,42mg,29mg,2mg,900mg,4.1,22,4 ,,4,
6,6739568,Leslie's Salty Grilled Potatoes,15 mins, 1 hr, 1 hr 15 mins,291,12g,7g,31mg,5377mg,43g,7g,3g,6g,44mg,77mg,66mg,1047mg,4.5,140,4 ,,4,
7,6663960,"Jerky Lover's Jerky - Sweet, Hot and Spicy!",15 mins, 5 hrs, 8 hrs 30 mins,527,28g,7g,60mg,3319mg,47g,1g,39g,23g,7mg,85mg,5mg,674mg,4.8,302,4 ,,4, 3 hrs 15 mins
8,6565261,Homemade Chili Sauce,5 mins,,5 mins,28,0g,,,130mg,7g,0g,6g,0g,2mg,9mg,0mg,90mg,4.5,108,10 ,,10,
9,6737636,Alabama Fire Crackers,15 mins,, 9 hrs 15 mins,181,14g,2g,,320mg,13g,0g,0g,1g,0mg,1mg,0mg,22mg,4.8,297,30 ,,30, 9 hrs
10,6592120,Grilled Tomatoes,15 mins,10 mins,25 mins,21,1g,0g,,149mg,3g,1g,2g,1g,10mg,8mg,0mg,177mg,4.4,22,16 ,,16,
11,6601206,Maple Syrup Taffy,10 mins,10 mins,25 mins,110,0g,,,12mg,28g,,25g,,,36mg,1mg,88mg,4.5,20,15 ,15 pieces,15,5 mins
12,6575513,S'mores,3 mins,2 mins,5 mins,277,14g,8g,10mg,74mg,38g,1g,31g,3g,,63mg,0mg,10mg,4.9,63,1 ,,1,
13,6663997,Campfire Foil Packs,30 mins,40 mins, 1 hr 10 mins,437,16g,2g,66mg,92mg,44g,7g,7g,33g,154mg,75mg,3mg,1441mg,4.3,95,4 ,4 packets,4,
14,6585416,Beets on the Grill,10 mins,30 mins,45 mins,208,12g,7g,31mg,274mg,24g,7g,17g,4g,12mg,43mg,2mg,803mg,4.6,77,2 ,,2,5 mins
15,6571294,Dutch Oven Mountain Man Breakfast,20 mins, 1 hr 5 mins, 1 hr 25 mins,449,37g,17g,251mg,579mg,17g,2g,2g,22g,29mg,312mg,2mg,573mg,4.7,60,12 ,,12,
16,6664855,Granola Bars,15 mins,25 mins, 1 hr 40 mins,188,5g,2g,,64mg,34g,3g,,4g,0mg,14mg,1mg,128mg,4.3,118,8 ,,8, 1 hr
17,6565069,Fresh Tomato Chili Sauce, 1 hr, 4 hrs 15 mins, 17 hrs 15 mins,14,,,,46mg,4g,,,,0mg,2mg,,8mg,4.7,34,128 ,4 quarts,128, 12 hrs
18,6648195,Awesome Grilled Walleye,5 mins,15 mins,20 mins,466,32g,19g,271mg,435mg,0g,,,44g,,260mg,3mg,893mg,4.3,7,4 ,,4,
19,6578658,"High-Fiber, High-Protein Breakfast Bars",15 mins,30 mins, 1 hr 45 mins,169,8g,1g,,148mg,21g,4g,8g,6g,3mg,28mg,2mg,264mg,4.4,87,12 ,1 dozen bars,12, 1 hr
20,6739789,Homemade Pancake Mix,10 mins,,10 mins,274,4g,2g,13mg,1120mg,50g,1g,9g,9g,1mg,400mg,3mg,234mg,4.8,99,12 ,12 servings,12,
21,6600854,Caramelized Onions on the Grill,10 mins,45 mins,55 mins,169,12g,7g,31mg,474mg,15g,3g,7g,2g,12mg,41mg,0mg,244mg,4.7,74,2 ,2 servings,2,
22,6603402,Easy Stovetop Peach Cobbler,5 mins,15 mins,35 mins,298,7g,1g,1mg,311mg,57g,3g,41g,3g,5mg,74mg,1mg,213mg,4.4,63,6 ,,6,15 mins
