,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6595987,Old-Time Mincemeat Pie,45 mins, 2 hrs 55 mins,7 days,7 days 3 hrs 40 mins,8 ,1 (9-inch) pie,8,1106,38g,16g,80mg,521mg,181g,9g,82g,21g,33mg,78mg,6mg,970mg,4.9,14
1,6575145,Green Tomato Mincemeat,45 mins, 3 hrs, 1 hr, 4 hrs 45 mins,120 ,30 pints,120,179,2g,1g,1mg,126mg,42g,2g,32g,1g,14mg,37mg,1mg,241mg,4.7,23
2,6576000,Classic Mincemeat Pie,10 mins,30 mins,,40 mins,8 ,1 9-inch pie,8,492,16g,4g,0mg,551mg,81g,2g,0g,3g,,6mg,1mg,33mg,5.0,3
3,6605377,Meatless Mincemeat Pie,30 mins,40 mins, 8 hrs, 9 hrs 10 mins,8 ,1 9-inch pie,8,463,24g,4g,,261mg,60g,6g,42g,5g,3mg,37mg,1mg,169mg,4.7,26
4,6594805,Mincemeat Pie Filling,20 mins,,,20 mins,16 ,,16,224,4g,2g,16mg,136mg,44g,2g,32g,6g,8mg,34mg,1mg,331mg,4.4,18
5,6605817,Apple Mincemeat Pie,20 mins,55 mins,, 1 hr 15 mins,8 ,1 9-inch pie,8,594,31g,8g,33mg,430mg,78g,8g,48g,6g,4mg,29mg,2mg,176mg,4.8,6
6,6664847,Traditional Mince Pies,25 mins,15 mins,,40 mins,18 ,,18,145,8g,5g,28mg,79mg,18g,1g,8g,2g,1mg,9mg,1mg,21mg,4.8,28
7,6588477,Green Tomato Mock Mincemeat Pie,15 mins, 1 hr,15 mins, 1 hr 30 mins,8 ,8 servings,8,402,17g,5g,4mg,405mg,62g,3g,38g,4g,12mg,44mg,2mg,275mg,4.7,3
8,6568210,Homemade Mince Pie with Crumbly Topping,30 mins, 1 hr, 1 hr, 2 hrs 30 mins,8 ,1 9-inch pie,8,559,21g,13g,53mg,306mg,92g,4g,55g,5g,12mg,36mg,2mg,367mg,4.6,14
9,6601462,Mock Mincemeat Pie,20 mins,30 mins,,50 mins,8 ,8 servings,8,429,15g,4g,,248mg,73g,4g,45g,4g,10mg,27mg,2mg,334mg,4.8,24
10,6566798,Christmas Mince Pies,25 mins,17 mins, 1 hr 10 mins, 1 hr 52 mins,12 ,12 mince pies,12,277,13g,6g,20mg,104mg,39g,1g,20g,3g,4mg,8mg,1mg,41mg,5.0,1
11,6565711,Mum's Mincemeat,45 mins,,3 days,3 days 45 mins,50 ,50 servings,50,226,10g,5g,6mg,150mg,36g,3g,29g,2g,2mg,36mg,1mg,292mg,5.0,2
