,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,7375475,35 mins,40 mins, 1 hr 15 mins,8 servings,8,491,30g,15g,84mg,1261mg,23g,4g,7g,32g,13mg,672mg,4mg,775mg,,,,
1,6649620,15 mins,45 mins, 1 hr,10 ,10,578,25g,13g,71mg,914mg,58g,6g,14g,28g,4mg,359mg,4mg,721mg,4.7,"8,734",1 9x13-inch casserole,
2,6663614,15 mins,30 mins, 1 hr,8 ,8,703,28g,15g,113mg,1111mg,73g,5g,14g,38g,3mg,669mg,4mg,733mg,4.5,"1,199",1 9x13-inch casserole,15 mins
3,6598678,15 mins,55 mins, 1 hr 10 mins,8 ,8,490,21g,10g,133mg,1021mg,49g,3g,7g,26g,8mg,185mg,4mg,546mg,4.3,182,1 9x13-inch dish,
4,6739199,20 mins,40 mins, 1 hr,8 ,8,649,27g,12g,86mg,1485mg,69g,6g,15g,31g,5mg,418mg,4mg,812mg,4.5,"1,032",,
5,6737172,20 mins, 1 hr 30 mins, 2 hrs,10 ,10,556,36g,19g,208mg,940mg,22g,2g,8g,34g,7mg,318mg,4mg,744mg,4.6,141,1 (9x13-inch) casserole,10 mins
6,6738503,20 mins, 1 hr 45 mins, 2 hrs 20 mins,10 ,10,627,30g,12g,72mg,1380mg,58g,5g,14g,31g,5mg,454mg,4mg,765mg,4.9,106,,15 mins
7,6590700,20 mins,20 mins,40 mins,8 ,,,,,,,,,,,,,,,4.7,128,8 servings,
8,6598569,5 mins,20 mins,25 mins,6 ,6,368,8g,3g,10mg,642mg,59g,5g,12g,13g,3mg,149mg,3mg,532mg,3.9,35,6 servings,
9,6737340,30 mins, 1 hr, 1 hr 30 mins,12 ,12,489,25g,11g,55mg,801mg,44g,4g,10g,22g,3mg,288mg,3mg,538mg,4.7,"1,257",12 servings,
10,6582446,15 mins,45 mins, 1 hr 10 mins,8 ,8,415,12g,6g,60mg,1141mg,53g,4g,6g,24g,8mg,420mg,3mg,521mg,4.6,63,8 servings,10 mins
11,6582967,20 mins,30 mins,50 mins,8 ,8,761,34g,17g,96mg,1258mg,75g,8g,19g,36g,5mg,436mg,5mg,954mg,4.7,"1,355",8 servings,
12,6595710,20 mins,40 mins, 1 hr,8 ,8,696,29g,13g,75mg,1618mg,71g,6g,18g,37g,4mg,627mg,4mg,891mg,4.5,476,8 servings,
13,6579441,10 mins,35 mins,45 mins,12 ,12,325,13g,7g,33mg,344mg,36g,2g,5g,17g,4mg,251mg,2mg,352mg,4.6,16,12 servings,
14,6581094,25 mins, 6 hrs 20 mins, 6 hrs 55 mins,20 ,20,405,15g,6g,44mg,1067mg,46g,4g,5g,22g,23mg,260mg,4mg,646mg,4.1,28,20 servings,10 mins
15,6572674,10 mins, 1 hr, 1 hr 20 mins,8 ,,,,,,,,,,,,,,,4.7,29,,10 mins
16,6650455,20 mins,50 mins, 1 hr 10 mins,8 ,8,836,43g,25g,153mg,1501mg,71g,8g,7g,43g,16mg,507mg,5mg,792mg,4.7,218,,
17,6562544,20 mins,45 mins, 1 hr 15 mins,12 ,12,416,15g,8g,63mg,791mg,44g,4g,9g,25g,4mg,556mg,3mg,463mg,4.5,2,12 servings,10 mins
18,6605554,10 mins,40 mins,50 mins,12 ,12,457,21g,12g,70mg,798mg,41g,3g,7g,26g,2mg,601mg,3mg,400mg,4.0,1,12 servings,
19,6581569,20 mins, 1 hr, 1 hr 20 mins,10 ,10,525,20g,10g,74mg,914mg,58g,6g,15g,28g,4mg,365mg,3mg,771mg,4.5,53,,
20,6580457,20 mins,20 mins,40 mins,6 ,6,541,28g,8g,50mg,1185mg,51g,4g,5g,18g,43mg,52mg,4mg,532mg,4.2,206,,
21,6563521,25 mins,50 mins, 1 hr 25 mins,8 ,8,808,37g,17g,146mg,1701mg,70g,7g,,46g,,,,898mg,4.9,20,1 9x13-inch baked ziti,10 mins
22,6595618,20 mins,40 mins, 1 hr,8 ,8,631,25g,12g,72mg,1350mg,63g,5g,11g,36g,0mg,590mg,3mg,360mg,4.7,54,8 servings,
23,6586904,15 mins,20 mins,35 mins,8 ,8,316,21g,11g,53mg,87mg,26g,4g,3g,7g,11mg,122mg,2mg,343mg,4.7,9,,
24,6593964,15 mins,55 mins, 1 hr 10 mins,12 ,12,314,10g,5g,43mg,488mg,40g,3g,7g,17g,1mg,305mg,2mg,361mg,4.6,118,12 servings,
25,6567728,20 mins, 1 hr, 1 hr 20 mins,8 ,8,781,34g,15g,242mg,1038mg,65g,5g,15g,50g,4mg,410mg,6mg,944mg,4.0,1,8 servings,
