,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:
0,6663692,15 mins,45 mins, 1 hr,8 ,1 (9-inch) pie,8,475,21g,9g,67mg,292mg,66g,2g,40g,5g,0mg,67mg,2mg,123mg,4.6,315,
1,6580175,30 mins,45 mins, 2 hrs 15 mins,8 ,1 9-inch pie,8,471,22g,10g,148mg,264mg,63g,1g,51g,6g,0mg,47mg,1mg,94mg,4.6,278, 1 hr
2,6588933,30 mins,30 mins, 1 hr,8 ,1 pie,8,346,9g,6g,29mg,252mg,63g,0g,58g,4g,1mg,172mg,1mg,225mg,4.4,105,
3,6573452,,,,8 ,1 9-inch pie,8,446,20g,9g,149mg,241mg,62g,1g,53g,6g,7mg,63mg,1mg,126mg,4.4,184,
4,6589672,15 mins,20 mins,35 mins,8 ,8 tarts,8,243,9g,3g,27mg,151mg,41g,0g,25g,3g,0mg,23mg,1mg,105mg,4.2,41,
5,6580721,30 mins, 1 hr, 1 hr 30 mins,8 ,1 to 9 - inch pie,8,472,20g,11g,108mg,312mg,69g,3g,51g,6g,5mg,27mg,2mg,181mg,4.3,31,
6,6596822,20 mins,40 mins, 1 hr,12 ,1 to 9 - inch deep-dish pie,12,394,26g,11g,51mg,177mg,41g,2g,27g,4g,0mg,30mg,2mg,152mg,4.7,117,
7,6599069,10 mins,40 mins, 1 hr,8 ,1 - 9 inch deep dish pie or 2 regular 9 inch pies,8,688,43g,8g,79mg,354mg,73g,3g,59g,8g,1mg,166mg,2mg,338mg,4.4,80,10 mins
8,6588722,15 mins,35 mins, 1 hr 5 mins,8 ,1 to 9 - inch pie,8,277,13g,8g,77mg,109mg,40g,,40g,2g,,38mg,0mg,64mg,4.5,78,15 mins
9,6593970, 1 hr 30 mins,50 mins, 4 hrs,8 ,1 to 9 - inch pie,8,617,33g,12g,138mg,314mg,78g,3g,36g,8g,0mg,48mg,2mg,153mg,4.4,42, 1 hr 40 mins
10,6583759,20 mins,40 mins, 1 hr,8 ,1 to 9 - inch pie,8,451,22g,6g,81mg,255mg,60g,2g,43g,6g,0mg,71mg,2mg,218mg,4.7,25,
11,6583100,10 mins,30 mins,40 mins,8 ,1 to 9 - inch pie,8,498,30g,11g,103mg,217mg,56g,2g,42g,7g,1mg,53mg,2mg,317mg,4.6,24,
12,6578628,20 mins,50 mins, 3 hrs 40 mins,10 ,1 9-inch pie,10,385,18g,8g,112mg,223mg,53g,2g,41g,5g,13mg,46mg,1mg,90mg,,, 2 hrs 30 mins
13,6578537,10 mins,55 mins, 2 hrs 5 mins,8 ,1 9-inch pie,8,365,16g,7g,110mg,201mg,53g,2g,38g,6g,21mg,52mg,1mg,118mg,4.0,11, 1 hr
14,6597940,10 mins,50 mins, 1 hr 20 mins,10 ,1 9-inch pie,10,415,22g,8g,81mg,313mg,46g,3g,32g,7g,0mg,65mg,2mg,171mg,5.0,2,20 mins
15,6587362,15 mins,35 mins,50 mins,16 ,2 to 9 - inch pies,16,354,24g,12g,86mg,241mg,34g,1g,23g,4g,0mg,26mg,1mg,75mg,4.4,17,
16,6581260,10 mins,40 mins,50 mins,8 ,8 servings,8,457,28g,10g,100mg,225mg,50g,2g,38g,5g,0mg,23mg,1mg,84mg,4.8,14,
17,6602165,20 mins,40 mins, 1 hr,8 ,1 to 9 - inch pie,8,455,25g,7g,85mg,250mg,57g,2g,25g,5g,0mg,40mg,1mg,117mg,4.5,17,
18,6575671,20 mins,40 mins, 1 hr,10 ,1 to 9 - inch pie,10,370,17g,5g,35mg,115mg,52g,2g,29g,4g,0mg,45mg,2mg,117mg,3.0,2,
19,6574231,,,,16 ,2 to 9 - inch pies,16,460,27g,12g,100mg,249mg,51g,2g,36g,6g,0mg,45mg,2mg,215mg,4.0,1,
20,6598469,30 mins, 1 hr 5 mins, 1 hr 35 mins,8 ,1 9-inch pie,8,292,14g,3g,50mg,272mg,38g,1g,26g,3g,,31mg,1mg,60mg,4.1,7,
21,6604915,30 mins,45 mins, 1 hr 30 mins,8 ,1 to 9 - inch pie,8,616,36g,9g,107mg,353mg,67g,3g,43g,10g,0mg,106mg,3mg,448mg,4.0,4,15 mins
22,6604053,,,,8 ,1 to 9 - inch pie,8,362,14g,5g,85mg,268mg,59g,1g,24g,5g,0mg,28mg,1mg,84mg,4.3,20,
23,6650504,15 mins,50 mins, 1 hr 5 mins,8 ,,8,460,22g,10g,126mg,242mg,62g,1g,51g,5g,0mg,40mg,1mg,80mg,4.2,305,
24,6562428,30 mins,45 mins, 1 hr 20 mins,16 ,2 to 9 - inch pies,16,394,22g,8g,62mg,189mg,46g,2g,24g,5g,0mg,24mg,1mg,104mg,4.2,5,5 mins
