,id_recipe,name,Prep Time:,Chill Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Additional Time:,Cook Time:,Yield:
13,6581347,Juicy and Spicy Ceviche,20 mins,, 2 hrs,6 ,6,199,7g,1g,221mg,813mg,11g,4g,3g,25g,28mg,76mg,5mg,652mg,4.8,17, 1 hr 40 mins,,
14,6600898,Fresh Tuna Ceviche,25 mins,, 2 hrs 25 mins,4 ,4,117,1g,0g,38mg,58mg,6g,2g,2g,21g,18mg,49mg,1mg,545mg,4.4,16, 2 hrs,,4 servings
15,6573623,Seafood Medley Ceviche,40 mins,, 2 hrs,8 ,8,159,5g,1g,63mg,491mg,14g,4g,4g,18g,46mg,74mg,2mg,566mg,,, 1 hr 20 mins,,
16,6578827,Seviche,20 mins,,50 mins,9 ,9,227,15g,2g,55mg,436mg,16g,1g,5g,8g,26mg,68mg,7mg,464mg,4.0,7,30 mins,,
17,6738932,Javi's Really Real Mexican Ceviche,30 mins,, 1 hr 30 mins,12 ,12,204,3g,1g,253mg,859mg,11g,3g,2g,35g,30mg,93mg,5mg,534mg,4.3,115, 1 hr,,
18,6575947,City Ceviche,30 mins,, 1 hr 35 mins,12 ,12,83,4g,1g,37mg,109mg,5g,2g,2g,7g,41mg,33mg,1mg,293mg,4.9,18, 1 hr,5 mins,12 servings
19,6591436,"Clamato Shrimp ""Ceviche"" Style",15 mins,,45 mins,4 ,4,210,2g,1g,346mg,503mg,9g,2g,2g,38g,20mg,97mg,6mg,500mg,5.0,6,30 mins,,
20,6592027,Shrimp and Pineapple Ceviche,30 mins,, 1 hr 30 mins,4 ,4,195,8g,1g,125mg,154mg,17g,6g,7g,16g,87mg,59mg,3mg,582mg,4.7,19, 1 hr,,4 servings
21,6741731,Sinaloa-Style Ceviche,45 mins,, 12 hrs 45 mins,10 ,10,224,3g,1g,216mg,649mg,18g,2g,6g,32g,30mg,99mg,4mg,542mg,5.0,3, 12 hrs,,10 servings
22,6562980,Ceviche de Soya,20 mins,, 1 hr 30 mins,8 ,8,333,15g,2g,,414mg,31g,9g,3g,27g,27mg,130mg,6mg,574mg,,, 1 hr,10 mins,8 servings
