,id_recipe,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:
0,6664355,15 mins,35 mins,5 mins,55 mins,4 ,4,291,15g,8g,33mg,1186mg,31g,3g,2g,9g,12mg,202mg,4mg,15mg,4.9,260,
1,6664581,30 mins,45 mins,, 1 hr 15 mins,8 ,8,618,44g,20g,270mg,1635mg,16g,1g,3g,39g,66mg,250mg,4mg,596mg,4.9,"1,165",8 servings
2,6649512,5 mins,5 mins,,10 mins,4 ,4,533,12g,5g,18mg,1186mg,87g,8g,6g,19g,34mg,301mg,10mg,20mg,4.5,15,
3,6595353,10 mins,25 mins,,35 mins,8 ,8,232,14g,8g,38mg,658mg,18g,1g,4g,8g,6mg,209mg,2mg,105mg,4.5,311,
4,6590930,10 mins,20 mins,,30 mins,4 ,4,240,9g,6g,26mg,424mg,31g,1g,0g,8g,,132mg,2mg,73mg,4.5,68,
5,6599191,5 mins,30 mins,,35 mins,4 ,4,80,0g,,,391mg,17g,1g,1g,2g,,,,,4.8,6,4 servings
6,6600877,10 mins,30 mins,,40 mins,4 ,4,428,21g,12g,57mg,1013mg,38g,3g,7g,22g,20mg,567mg,4mg,289mg,4.5,48,4 servings
7,6572856,5 mins,20 mins,,25 mins,4 ,4,110,1g,0g,,11mg,24g,2g,0g,3g,,2mg,1mg,88mg,4.3,92,4 servings
8,6576722,15 mins,50 mins,15 mins, 1 hr 20 mins,10 ,10,263,21g,12g,97mg,727mg,7g,,4g,13g,,362mg,1mg,185mg,4.7,39,10 servings
9,6580286,5 mins,10 mins,,15 mins,4 ,4,353,19g,11g,54mg,958mg,32g,1g,1g,14g,0mg,326mg,2mg,101mg,4.8,6,4 servings
10,6588200,15 mins, 1 hr 10 mins,, 1 hr 25 mins,12 ,12,267,20g,12g,56mg,453mg,15g,0g,4g,8g,0mg,229mg,1mg,160mg,4.6,88,12 servings
11,6592391,15 mins, 1 hr 5 mins,20 mins, 1 hr 40 mins,10 ,10,206,17g,11g,68mg,497mg,4g,0g,1g,10g,0mg,274mg,0mg,83mg,4.8,35,10 servings
12,6738848,25 mins,30 mins,,55 mins,4 ,4,434,20g,11g,226mg,1499mg,33g,1g,1g,30g,6mg,184mg,5mg,328mg,4.9,343,4 servings
13,6596255,15 mins,40 mins,,55 mins,6 ,6,449,26g,15g,189mg,705mg,23g,1g,1g,30g,8mg,379mg,4mg,306mg,4.8,17,
14,6596631,25 mins, 1 hr,, 1 hr 25 mins,8 ,8,281,14g,7g,117mg,750mg,20g,2g,1g,20g,21mg,279mg,3mg,283mg,4.7,247,8 servings
15,6575764,20 mins,20 mins,,40 mins,2 ,2,677,60g,30g,272mg,751mg,10g,1g,1g,21g,11mg,110mg,2mg,373mg,4.7,61,2 servings
16,6600994,20 mins,20 mins, 2 hrs, 2 hrs 40 mins,8 ,8,493,25g,8g,29mg,1436mg,54g,4g,6g,15g,22mg,302mg,6mg,116mg,4.1,28,8 servings
17,6593143,10 mins,30 mins,,40 mins,4 ,4,297,18g,10g,50mg,940mg,21g,2g,5g,14g,7mg,371mg,2mg,150mg,4.9,9,4 servings
18,6737709,10 mins,30 mins,,40 mins,8 ,8,179,9g,3g,12mg,515mg,17g,2g,5g,8g,2mg,176mg,1mg,193mg,4.4,298,
19,6601442,30 mins,30 mins,, 1 hr,4 ,4,446,24g,13g,248mg,1120mg,17g,1g,11g,39g,20mg,508mg,4mg,629mg,4.6,59,
20,6586201,20 mins,35 mins,,55 mins,6 ,6,233,11g,6g,25mg,809mg,22g,3g,7g,12g,18mg,262mg,1mg,292mg,4.4,36,1 8-inch casserole
21,6599591,20 mins,30 mins,,50 mins,6 ,6,839,71g,39g,322mg,1109mg,22g,1g,2g,30g,8mg,272mg,3mg,533mg,4.9,56,
22,6597440,15 mins,45 mins,, 1 hr,8 ,8,314,20g,9g,128mg,541mg,17g,0g,1g,16g,1mg,124mg,2mg,191mg,4.8,56,6 cups
23,6589889,10 mins,20 mins,,30 mins,6 ,6,270,9g,5g,23mg,632mg,34g,3g,12g,12g,2mg,299mg,2mg,441mg,4.6,173,
24,6649162,15 mins, 1 hr 10 mins,, 1 hr 25 mins,12 ,12,343,26g,14g,117mg,736mg,14g,1g,1g,14g,32mg,191mg,1mg,234mg,4.8,28,12 servings
25,6573393,15 mins, 1 hr 11 mins,4 mins, 1 hr 30 mins,12 ,12,258,22g,13g,107mg,1141mg,6g,0g,3g,9g,0mg,234mg,1mg,151mg,4.6,239,12 servings
26,6585694,20 mins,20 mins,,40 mins,4 ,4,634,33g,13g,341mg,1054mg,34g,2g,3g,50g,20mg,363mg,7mg,625mg,4.6,153,
27,6579546,20 mins,15 mins,,35 mins,4 ,4,563,32g,5g,,591mg,64g,15g,21g,14g,40mg,243mg,5mg,1093mg,4.5,48,4 arepas
28,6578678, 2 hrs 30 mins, 1 hr 15 mins,, 3 hrs 45 mins,4 ,4,448,19g,7g,33mg,949mg,47g,7g,6g,19g,28mg,222mg,6mg,495mg,4.6,7,4 servings
29,6739086,10 mins,40 mins,5 mins,55 mins,4 ,4,166,6g,2g,7mg,211mg,27g,3g,3g,5g,10mg,41mg,2mg,162mg,4.8,10,4 servings
