,id_recipe,name,Prep Time:,Cook Time:,Additional Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count
0,6739432,Tamales Rojos de Pollo (Red Chicken Tamales), 1 hr, 1 hr 20 mins, 2 hrs 15 mins, 4 hrs 35 mins,35 ,35 tamales,35,131,8g,3g,15mg,229mg,12g,2g,0g,5g,0mg,30mg,1mg,109mg,5.0,1
1,6648931,Real Homemade Tamales,30 mins, 3 hrs,, 3 hrs 30 mins,16 ,16 tamales,16,246,15g,6g,45mg,387mg,16g,2g,2g,12g,1mg,61mg,2mg,242mg,4.5,302
2,6581973,Beef Tamales,30 mins, 4 hrs 30 mins,, 5 hrs,36 ,6 dozen tamales,36,347,24g,9g,38mg,248mg,23g,3g,0g,9g,0mg,47mg,3mg,195mg,4.5,197
3,6584546,Poblano and Cheese Tamales (Tamales de Rajas con Queso), 1 hr, 2 hrs,25 mins, 3 hrs 25 mins,24 ,24 tamales,24,252,18g,7g,23mg,198mg,19g,4g,2g,5g,13mg,145mg,2mg,175mg,4.9,7
4,6586753,Pork for Tamales,20 mins, 1 hr,, 1 hr 20 mins,16 ,16 servings,16,32,2g,1g,10mg,15mg,1g,0g,0g,3g,0mg,6mg,0mg,56mg,4.3,16
5,6587973,Tamales Oaxaqueños (Oaxacan-Style Tamales), 1 hr, 1 hr 45 mins,15 mins, 3 hrs,36 ,36 tamales,36,210,11g,4g,18mg,47mg,22g,4g,0g,6g,1mg,43mg,2mg,110mg,4.5,2
6,6582721,Tamales de Puerco (Red Pork Tamales),30 mins, 2 hrs,15 mins, 2 hrs 45 mins,15 ,15 tamales,15,344,20g,7g,33mg,644mg,30g,3g,1g,10g,14mg,59mg,1mg,172mg,4.4,7
7,6579484,Sweet Pineapple Tamales,45 mins, 1 hr 5 mins,, 1 hr 50 mins,30 ,30 tamales,30,199,14g,6g,16mg,59mg,20g,1g,9g,1g,2mg,5mg,0mg,25mg,,
8,6583557,Tamale Casserole,15 mins,45 mins,, 1 hr,6 ,6 servings,6,680,42g,19g,93mg,1544mg,48g,8g,4g,30g,14mg,425mg,6mg,589mg,4.2,68
9,6589829,Homemade Beef Tamales, 1 hr,40 mins,, 1 hr 40 mins,25 ,50 tamales,25,375,20g,8g,66mg,454mg,30g,6g,0g,21g,5mg,135mg,5mg,348mg,3.8,6
10,6584295,Green Chicken Tamales,45 mins, 1 hr 30 mins,15 mins, 2 hrs 30 mins,35 ,35 tamales,35,115,6g,4g,21mg,232mg,11g,2g,1g,4g,2mg,35mg,1mg,94mg,4.0,7
11,6598724,Sweet Tamales with Pineapple and Coconut,25 mins,55 mins, 3 hrs 15 mins, 4 hrs 35 mins,36 ,36 tamales,36,151,7g,5g,14mg,115mg,22g,2g,11g,1g,12mg,52mg,0mg,66mg,5.0,1
12,6563782,Honduran Tamales, 1 hr 30 mins, 1 hr 10 mins,, 2 hrs 40 mins,30 ,,30,552,27g,5g,39mg,191mg,59g,10g,2g,22g,16mg,109mg,6mg,690mg,4.5,4
13,6605517,Tamales de Frijoles (Bean Tamales), 1 hr, 1 hr 30 mins, 3 hrs 15 mins, 5 hrs 45 mins,24 ,24 tamales,24,165,10g,4g,10mg,191mg,17g,3g,0g,3g,9mg,10mg,1mg,85mg,5.0,1
14,6650891,Instant Pot Tamales, 1 hr, 2 hrs,, 3 hrs,10 ,20 tamales,10,683,47g,17g,98mg,3007mg,45g,8g,4g,24g,79mg,142mg,6mg,691mg,,
15,6739190,Leftover Turkey Tamales,45 mins, 1 hr 5 mins, 1 hr, 2 hrs 50 mins,10 ,10 serving,10,442,28g,4g,37mg,656mg,31g,6g,1g,19g,10mg,84mg,4mg,418mg,4.8,17
16,6593317,Cuban Tamales, 1 hr 30 mins, 2 hrs 10 mins, 3 hrs, 6 hrs 40 mins,14 ,28 tamales,14,284,15g,4g,33mg,604mg,24g,3g,4g,11g,10mg,48mg,2mg,316mg,5.0,2
17,6570714,Sweet Tamale Pie,15 mins, 1 hr,, 1 hr 15 mins,12 ,12 servings,12,430,23g,7g,51mg,1512mg,43g,2g,8g,15g,21mg,190mg,2mg,338mg,4.6,55
18,6580541,Pork Tamales,45 mins, 5 hrs 10 mins,1 day,1 day 5 hrs 55 mins,15 ,15 tamales,15,411,31g,11g,78mg,2474mg,15g,3g,1g,18g,2mg,161mg,4mg,420mg,,
19,6585820,Sweet Orange Tamales,30 mins, 1 hr 35 mins,45 mins, 2 hrs 50 mins,40 ,40 tamales,40,231,12g,4g,10mg,122mg,31g,2g,17g,2g,15mg,62mg,0mg,93mg,,
