,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Stand Time:,Yield:,Additional Time:
46,6649275,20 mins, 5 hrs 30 mins, 5 hrs 50 mins,8 ,8,778,57g,23g,199mg,603mg,8g,2g,3g,55g,4mg,39mg,6mg,1109mg,4.7,"1,619",,,
47,6584826,5 mins, 2 hrs, 2 hrs 5 mins,12 ,12,193,15g,9g,42mg,114mg,14g,1g,3g,3g,3mg,31mg,0mg,139mg,4.6,755,,,
48,6575055,10 mins, 8 hrs, 8 hrs 10 mins,4 ,4,358,15g,8g,80mg,1057mg,36g,8g,4g,22g,54mg,72mg,4mg,1240mg,4.5,130,,,
49,6649178,30 mins, 3 hrs, 3 hrs 30 mins,8 ,8,262,11g,3g,45mg,893mg,25g,4g,4g,18g,21mg,63mg,2mg,472mg,4.7,"5,608",,,
50,6664155,10 mins, 8 hrs, 8 hrs 10 mins,12 ,12,273,2g,1g,164mg,309mg,2g,0g,0g,60g,0mg,29mg,3mg,577mg,4.6,"1,681",,,
51,6651069,15 mins, 7 hrs, 7 hrs 15 mins,8 ,8,434,18g,10g,68mg,1597mg,42g,9g,6g,27g,12mg,307mg,3mg,826mg,4.7,"7,415",,,
52,6737538,10 mins, 4 hrs 30 mins, 4 hrs 40 mins,6 ,6,429,28g,12g,127mg,1072mg,17g,1g,2g,26g,4mg,118mg,4mg,574mg,4.6,47,,,
53,6564555,15 mins, 10 hrs, 10 hrs 15 mins,6 ,6,105,9g,1g,,394mg,6g,2g,3g,1g,14mg,24mg,1mg,276mg,4.4,73,,,
54,6648887,15 mins, 5 hrs, 13 hrs 15 mins,8 ,8,366,14g,5g,36mg,1348mg,38g,13g,2g,24g,32mg,90mg,4mg,858mg,4.6,257,,, 8 hrs
55,6576405,10 mins, 10 hrs 25 mins, 10 hrs 40 mins,48 ,48,75,0g,,,2mg,20g,2g,16g,0g,5mg,8mg,0mg,127mg,4.9,16,,6 cups,5 mins
56,6649679,15 mins, 3 hrs 15 mins, 3 hrs 30 mins,12 ,12,432,25g,15g,99mg,524mg,34g,1g,5g,18g,0mg,368mg,2mg,229mg,4.5,385,,,
57,6649925,10 mins, 8 hrs, 8 hrs 10 mins,6 ,6,537,39g,17g,151mg,1479mg,6g,0g,,37g,0mg,27mg,4mg,351mg,4.8,402,,,
58,6663272,10 mins, 6 hrs, 6 hrs 50 mins,4 ,4,342,16g,6g,69mg,3521mg,29g,4g,17g,22g,8mg,55mg,5mg,557mg,4.3,107,,,40 mins
59,6651168,20 mins, 1 hr 20 mins, 1 hr 40 mins,10 ,10,193,10g,4g,53mg,85mg,15g,1g,10g,10g,9mg,19mg,1mg,183mg,4.5,"1,962",,,
60,6650004,30 mins, 2 hrs 45 mins, 3 hrs 15 mins,10 ,10,200,9g,3g,29mg,133mg,21g,5g,3g,10g,24mg,45mg,2mg,572mg,4.3,417,,,
