,id_recipe,Prep Time:,Cook Time:,Total Time:,Servings:,Servings Per Recipe,Calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Yield:,Additional Time:
0,6664123,15 mins,15 mins,30 mins,6 ,6,636,25g,15g,142mg,635mg,83g,2g,2g,19g,6mg,79mg,5mg,438mg,4.6,258,,
1,6664679, 1 hr, 2 hrs 40 mins, 3 hrs 40 mins,20 ,20,283,17g,6g,143mg,853mg,12g,2g,3g,21g,19mg,81mg,3mg,428mg,4.9,"1,231",20 servings,
2,6664392,20 mins,45 mins, 1 hr 5 mins,6 ,6,465,20g,6g,73mg,1633mg,42g,3g,2g,28g,20mg,67mg,4mg,666mg,4.7,"1,127",6 servings,
3,6648365,25 mins, 3 hrs 5 mins, 11 hrs 30 mins,8 ,8,630,24g,7g,33mg,604mg,79g,10g,3g,24g,17mg,97mg,7mg,1027mg,4.5,"1,405",8 servings, 8 hrs
4,6663711,5 mins,,5 mins,12 ,12,6,0g,,,388mg,1g,1g,0g,0g,1mg,9mg,1mg,30mg,4.8,446,1 /4 cup,
5,6665006,5 mins,15 mins,20 mins,4 ,4,534,24g,12g,60mg,146mg,73g,3g,61g,5g,8mg,133mg,1mg,537mg,4.8,"1,121",,
6,6738865,5 mins,,5 mins,20 ,20,16,0g,0g,,1048mg,3g,2g,1g,1g,2mg,30mg,1mg,90mg,4.8,504,1 1/4 cups,
7,6736714,30 mins,45 mins, 1 hr 25 mins,16 ,16,603,34g,9g,229mg,571mg,2g,0g,0g,69g,1mg,52mg,5mg,926mg,4.8,88,,10 mins
8,6649212,5 mins,10 mins,15 mins,3 ,3,65,5g,1g,,1286mg,6g,3g,1g,2g,15mg,64mg,1mg,234mg,4.7,557,,
9,6650433,20 mins,20 mins,40 mins,2 ,2,935,62g,37g,271mg,1189mg,54g,5g,7g,44g,128mg,237mg,4mg,914mg,4.7,"2,803",,
10,6600990,10 mins,5 mins,15 mins,6 ,6,95,3g,1g,,396mg,16g,2g,1g,2g,,2mg,1mg,59mg,4.4,193,12 cakes,
11,6650768,30 mins,30 mins, 3 hrs,10 ,10,543,18g,4g,45mg,277mg,83g,3g,16g,12g,1mg,86mg,4mg,202mg,4.7,321,, 2 hrs
12,6663250,30 mins, 1 hr, 1 hr 30 mins,10 ,10,541,22g,8g,286mg,1927mg,38g,10g,13g,51g,79mg,214mg,5mg,1646mg,4.6,28,,
13,6648529,45 mins, 2 hrs 30 mins, 3 hrs 15 mins,10 ,10,480,40g,9g,56mg,1183mg,15g,1g,2g,16g,15mg,26mg,2mg,262mg,4.7,639,,
14,6578083,5 mins,,5 mins,12 ,12,9,0g,,,1mg,2g,1g,1g,0g,1mg,16mg,1mg,47mg,4.7,175,1/4 cup,
15,6603477,15 mins,5 mins,30 mins,6 ,6,498,41g,21g,165mg,434mg,2g,1g,0g,31g,1mg,86mg,3mg,584mg,4.6,278,,10 mins
16,6664221,15 mins,10 mins,25 mins,4 ,4,511,38g,17g,166mg,1248mg,5g,2g,1g,37g,4mg,38mg,2mg,802mg,4.7,"1,188",,
17,6740861,30 mins,30 mins, 1 hr,16 ,16,248,17g,11g,66mg,652mg,5g,1g,2g,16g,6mg,352mg,6mg,244mg,4.8,166,,
18,6664097,35 mins,20 mins, 1 hr 15 mins,4 ,4,424,15g,7g,369mg,1114mg,30g,2g,2g,41g,20mg,105mg,7mg,526mg,4.8,575,,20 mins
19,6738206,15 mins, 1 hr, 1 hr 15 mins,4 ,4,495,25g,10g,221mg,1909mg,37g,5g,3g,30g,44mg,106mg,6mg,694mg,4.7,812,,
20,6596120,10 mins,30 mins,40 mins,8 ,8,289,6g,2g,35mg,808mg,42g,8g,4g,16g,17mg,63mg,3mg,181mg,4.4,558,,
21,6650130,20 mins, 5 hrs 10 mins, 5 hrs 30 mins,10 ,10,465,21g,7g,45mg,861mg,44g,12g,3g,26g,14mg,101mg,5mg,938mg,4.8,181,,
22,6570925,5 mins,30 mins,35 mins,20 ,20,180,9g,3g,10mg,29mg,25g,1g,24g,1g,0mg,21mg,0mg,55mg,4.5,207,,
23,6650653,20 mins, 3 hrs, 3 hrs 20 mins,12 ,12,235,14g,4g,99mg,688mg,6g,1g,3g,20g,18mg,64mg,3mg,348mg,4.5,"2,953",,
24,6606457,10 mins,10 mins,20 mins,4 ,4,466,43g,24g,144mg,546mg,2g,1g,1g,18g,2mg,35mg,1mg,396mg,4.7,68,,
25,6649902,10 mins,10 mins, 1 hr 25 mins,2 ,2,351,12g,3g,129mg,5452mg,11g,0g,7g,47g,0mg,33mg,2mg,416mg,4.5,64,, 1 hr 5 mins
26,6603834,15 mins,10 mins,25 mins,4 ,4,806,72g,44g,245mg,2312mg,6g,3g,1g,36g,6mg,105mg,2mg,849mg,4.6,257,,
27,6739044,30 mins, 2 hrs, 2 hrs 30 mins,10 ,10,142,8g,1g,23mg,689mg,11g,5g,1g,10g,51mg,213mg,1mg,354mg,4.8,450,,
28,6737405,15 mins,30 mins,45 mins,6 ,6,488,14g,4g,74mg,1083mg,59g,2g,3g,29g,20mg,52mg,4mg,498mg,4.5,783,,
29,6599357,10 mins,10 mins,20 mins,6 ,6,243,14g,5g,54mg,546mg,1g,0g,,27g,,10mg,1mg,317mg,4.6,260,,
30,6650435,15 mins,20 mins,35 mins,5 ,5,253,9g,5g,210mg,2054mg,21g,3g,9g,24g,36mg,149mg,3mg,787mg,4.6,390,,
31,6649371,15 mins,15 mins, 1 hr,10 ,10,536,48g,4g,67mg,620mg,2g,1g,0g,25g,1mg,28mg,1mg,243mg,4.5,483,,30 mins
